ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene_Symbol_1	Gene description
ENSG00000051108	NaN		homocysteine inducible ER protein with ubiquitin like domain 1	HERPUD1	9709	10.04800792	37.434925	803	40.070101	1376	30.472401	844	43.241018	1176	1126.836645	0.806882537	1.128766654	0.532839491	0.742945831	0.32795481	10.22282485	80.87193	1679	18.369793	359	82.140157	2232	18.342597	580	9.94337386	10.11502562	9.77275406	10.18745781	10.56735447	9.30561837	10.5758432	9.30630617	NM_001010989,NM_001272103,NM_014685	0.942860561	0.185411223	0.942860561	HERPUD1	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q15011]
ENSG00000054118	191.0985223962142	Q9Y2W1	thyroid hormone receptor associated protein 3	THRAP3	9967	11.67283464	60.804879	3006	42.27608	3392	59.644668	3807	42.766767	2681	3393.190761	0.512262895	1.078651849	0.135573218	0.420424586	0.805684852	11.78195609	68.431494	3277	63.826509	2875	55.290334	3501	69.465658	5058	11.78534143	11.59977776	11.76915782	11.60324583	11.82585345	11.73679546	11.64608615	11.81261195	NM_001321471,NM_001321473,NM_005119	1.07311085	0.101687025	1.07311085	THRAP3	Thyroid hormone receptor-associated protein 3 (Thyroid hormone receptor-associated protein complex 150 kDa component)(Trap150) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y2W1]
ENSG00000055130	68.05117173261286	Q13616	cullin 1	CUL1	8454	10.29692759	27.758881	994	25.459166	1475	27.812712	1285	27.281071	1238	1528.778174	0.013494588	1.430565315	0.188578689	0.006155848	2.739362394	10.8134176	35.989735	1248	55.590004	1813	35.768028	1633	54.719711	2885	10.36339365	10.4090537	10.36480139	10.4626912	10.52036151	10.87225622	10.51443425	10.86101828	NM_003592	11.01901751	0.046872601	11.01901751	CUL1	Cullin-1 (CUL-1) [Source:UniProtKB/Swiss-Prot;Acc:Q13616]
ENSG00000060762	NaN		mitochondrial pyruvate carrier 1	MPC1	51660	7.59390282	7.987462	108	14.494836	316	9.198061	160	11.738897	201	239.7695975	0.075554573	1.479508545	0.280378632	0.043846725	2.015553132	8.161614053	18.133587	234	22.655709	275	14.578952	250	22.301484	437	7.41028358	7.98976178	7.51071027	7.81187511	7.98881266	8.15225029	7.81390782	8.14079893	NM_001270879,NM_016098,NR_073093	2.121895151	0.267549145	2.121895151	BRP44L	Brain protein 44-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y5U8]
ENSG00000063046	520.391666293773	P23588	eukaryotic translation initiation factor 4B	EIF4B	1975	13.18230989	231.744629	10509	93.00254	6827	230.016837	13415	95.606228	5499	6953.368611	0.008419604	-2.015802718	0.347746276	0.003633863	-2.908311381	12.170952	112.601704	4934	72.037947	2970	112.759012	6491	69.294684	4629	13.2572672	12.56587748	13.24712282	12.5854551	12.54468634	12.15838555	12.54334604	12.13288266	NM_001300821,NM_001330654,NM_001417	2.588594073	0.390697754	-2.588594073	EIF4B	Eukaryotic translation initiation factor 4B (eIF-4B) [Source:UniProtKB/Swiss-Prot;Acc:P23588]
ENSG00000065427	511.5664713627239	Q15046,Q15046-2	lysyl-tRNA synthetase	KARS	3735	11.12670138	68.960327	1596	78.496252	2951	72.304933	2104	78.688392	2284	2527.743682	0.095268478	1.260884448	0.175821322	0.057153376	1.902136009	11.46121961	94.257961	2065	127.711704	2685	94.344139	2799	126.126236	4313	11.0721972	11.3009576	11.08927731	11.28655901	11.2520638	11.50311299	11.27610424	11.50038483	NM_001130089,NM_005548	2.71248357	0.12332544	2.71248357	KARS	Lysyl-tRNA synthetase (EC 6.1.1.6)(Lysine--tRNA ligase)(LysRS) [Source:UniProtKB/Swiss-Prot;Acc:Q15046]
ENSG00000065882	NaN		TBC1 domain family member 1	TBC1D1	23216	10.21823747	16.610867	1049	15.47064	1271	18.789732	1440	12.001228	961	1007.11606	0.008733081	-1.4470692	0.184137836	0.003787987	-2.895298037	9.684750613	11.089847	566	17.112085	811	9.985366	810	16.212597	1281	10.16386995	10.03492575	10.21900623	10.00019645	9.61328583	9.93048042	9.67869244	9.91350229	NM_001253912,NM_001253913,NM_001253914,NM_001253915,NM_015173	5.136947137	0.1038529	-5.136947137	TBC1D1	TBC1 domain family member 1  [Source:UniProtKB/Swiss-Prot;Acc:Q86TI0]
ENSG00000066044	2653.218117462686	Q15717	ELAV like RNA binding protein 1	ELAVL1	1994	10.12972137	11.054667	747	13.639235	1491	11.998644	1047	13.988962	1199	1419.05247	0.017745648	1.533194243	0.233858255	0.00837945	2.636385388	10.74631661	17.143745	1122	27.710556	1706	18.451496	1590	28.783945	2865	10.08776512	10.36647532	10.14993378	10.38445665	10.37932761	10.76491159	10.44086565	10.80083296	NM_001419	4.097116077	0.15049494	4.097116077	ELAVL1	ELAV-like protein 1 (Hu-antigen R)(HuR) [Source:UniProtKB/Swiss-Prot;Acc:Q15717]
ENSG00000067225	55031.679907912985	P14618,P14618-2	muscle,pyruvate kinase	PKM	5315	15.27174406	727.815924	22213	1245.489769	61763	717.0092	28243	1223.911082	47237	31985.04893	0.026495476	-1.620616625	0.281163692	0.013235943	-2.477357016	14.57520787	657.433071	19425	799.31795	22209	658.673171	25551	780.96511	35020	14.78716336	15.39330997	14.77473115	15.36667435	14.64335283	14.77712492	14.64193722	14.75892646	NM_001206796,NM_001206797,NM_001206798,NM_001206799,NM_001316318,NM_002654,NM_182470,NM_182471	2.012721467	0.346066856	-2.012721467	PKM2	Pyruvate kinase isozymes M1/M2 (EC 2.7.1.40)(Pyruvate kinase muscle isozyme)(Pyruvate kinase 2/3)(Cytosolic thyroid hormone-binding protein)(CTHBP)(THBP1) [Source:UniProtKB/Swiss-Prot;Acc:P14618]
ENSG00000067829	115.72158561769672	P51553	isocitrate dehydrogenase 3 (NAD(+)) gamma	IDH3G	3421	9.326190346	31.506058	535	27.109516	740	29.222162	638	29.253873	626	630.3006385	0.684879305	-1.035749853	0.097691038	0.603946582	-0.518733521	9.273114146	33.321662	545	31.077872	475	33.534142	713	35.017323	869	9.32143297	9.3088281	9.25484659	9.37025296	9.3035542	9.21174941	9.29750362	9.31820031	NM_004135,NM_174869	1.119324614	0.047418058	-1.119324614	IDH3G	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial Precursor (EC 1.1.1.41)(Isocitric dehydrogenase)(NAD(+)-specific ICDH) [Source:UniProtKB/Swiss-Prot;Acc:P51553]
ENSG00000078668	1059.0006030160332	Q9Y277	voltage dependent anion channel 3	VDAC3	7419	9.73064764	36.292917	623	37.590697	1043	38.042053	844	40.093716	873	924.378579	0.483496343	1.176124213	0.273278527	0.391767049	0.85641721	9.964561274	34.646049	577	69.39595	1085	37.007572	811	70.058167	1771	9.66594333	9.81316242	9.70607402	9.86565691	9.57128026	10.13427379	9.62342542	10.14604543	NM_001135694,NM_005662	2.526524086	0.09258318	2.526524086	VDAC3	Voltage-dependent anion-selective channel protein 3 (VDAC-3)(hVDAC3)(Outer mitochondrial membrane protein porin 3) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y277]
ENSG00000079277	NaN		MAP kinase interacting serine/threonine kinase 1	MKNK1	8569	8.236699113	8.673703	261	6.127983	303	10.340239	393	6.27532	239	327.7700887	0.254573537	1.173975388	0.172780536	0.180478317	1.339283748	8.467185746	9.470815	275	11.450803	316	9.459913	366	12.066877	533	8.32008839	8.16616491	8.44967115	8.16811253	8.33055978	8.47086656	8.33886947	8.51009187	NM_001135553,NM_003684,NM_198973,NR_024174,NR_024176,NR_146512	1.689875118	0.136392702	1.689875118	MKNK1	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1)(MAP kinase signal-integrating kinase 1)(Mnk1) [Source:UniProtKB/Swiss-Prot;Acc:Q9BUB5]
ENSG00000079432	NaN		capicua transcriptional repressor	CIC	23152	10.41466468	16.59765	1213	10.361619	1500	15.873537	1471	10.814341	1208	1128.211476	2.29E-8	-1.531757924	0.103917982	3.22E-9	-5.919940928	9.799997775	9.747905	845	8.510421	712	9.137619	1039	8.392913	1100	10.35732291	10.2453264	10.30223331	10.26532162	10.01103957	9.8931541	9.95366594	9.85891233	NM_001304815,NM_015125	12.49423681	0.049196035	-12.49423681	CIC	Protein capicua homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q96RK0]
ENSG00000079459	NaN		farnesyl-diphosphate farnesyltransferase 1	FDFT1	2222	11.56748166	73.469277	1793	115.681319	4537	71.501612	2263	115.747599	3602	2058.614158	6.04E-7	-2.804759949	0.279938557	1.07E-7	-5.31501383	10.07978678	47.478551	1117	33.627594	751	44.158714	1365	34.861418	1252	10.97735945	11.5164347	10.95793015	11.5244779	10.54517057	10.26088962	10.48499999	10.28550909	NM_001287742,NM_001287743,NM_001287744,NM_001287745,NM_001287747,NM_001287748,NM_001287749,NM_001287750,NM_001287751,NM_001287756,NM_004462	4.659511439	0.319281302	-4.659511439	FDFT1	Squalene synthetase (SQS)(SS)(EC 2.5.1.21)(Farnesyl-diphosphate farnesyltransferase)(FPP:FPP farnesyltransferase) [Source:UniProtKB/Swiss-Prot;Acc:P37268]
ENSG00000079616	8.087280009655291	Q14807	kinesin family member 22	KIF22	3835	7.925575748	7.575735	191	6.88212	281	9.001435	276	6.879022	220	489.1208348	3.4E-6	3.023443151	0.32140915	6.83E-7	4.966232151	9.521822379	16.557741	380	37.779713	867	17.770367	537	38.23741	1333	8.23875417	8.27259699	8.32310047	8.26930827	8.75550093	9.52844017	8.8154092	9.48431837	NM_001256269,NM_001256270,NM_007317	45.68760587	0.034938286	45.68760587	KIF22	Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein)(Kinesin-like protein 4) [Source:UniProtKB/Swiss-Prot;Acc:Q14807]
ENSG00000079805	504.0827528954098	P50570,P50570-2	dynamin 2	DNM2	1785	10.49826219	29.975333	1226	26.199916	1733	28.037322	1479	25.090378	1301	1935.301075	1.49E-10	1.675659177	0.110501679	1.59E-11	6.739524195	11.24328754	57.703739	2285	51.399904	1914	56.956352	2967	47.844523	2879	10.67752512	10.68305044	10.62260902	10.64444763	11.17988471	11.04672785	11.16674966	10.98633394	NM_001005360,NM_001005361,NM_001005362,NM_001190716,NM_004945	26.12289534	0.028520014	26.12289534	DNM2	Dynamin-2 (EC 3.6.5.5) [Source:UniProtKB/Swiss-Prot;Acc:P50570]
ENSG00000081154	412.983398002008	Q8WW12	PEST proteolytic signal containing nuclear protein	PCNP	57092	11.28458298	74.819351	1961	65.202415	2759	72.462676	2432	82.035585	2696	2326.446398	0.212773867	-1.155416087	0.143456154	0.146280481	-1.45279572	11.07568622	61.75237	1562	77.886592	1853	80.666903	2690	78.061157	3006	11.19661627	11.19847572	11.16264908	11.38621725	10.97382628	11.13824547	11.19716593	11.14388191	NM_001320395,NM_001320397,NM_001320398,NM_001320399,NM_001320400,NM_001320401,NM_020357,NR_135223,NR_135224,NR_135225,NR_135226,NR_135227,NR_135228,NR_135229,NR_135230,NR_135231,NR_135232	2.05816345	0.101496681	-2.05816345	PCNP	PEST proteolytic signal-containing nuclear protein (PEST-containing nuclear protein)(PCNP) [Source:UniProtKB/Swiss-Prot;Acc:Q8WW12]
ENSG00000081665	NaN		zinc finger protein 506	ZNF506	440515	3.427032569	0.239155	9	0.202036	13	0.26918	13	0.167432	8	92.55332367	4.88E-47	16.14707237	0.272972968	6.27E-49	14.70182462	7.445850204	3.686527	133	4.274292	145	4.475567	212	4.494193	246	4.87230078	4.85662614	4.89733802	4.78501699	6.67922547	6.78578364	6.86175863	6.8399239	NM_001099269,NM_001145404	83.35781051	0.048211651	83.35781051	ZNF93	Zinc finger protein 93 (Zinc finger protein 505)(Zinc finger protein HTF34) [Source:UniProtKB/Swiss-Prot;Acc:P35789]
ENSG00000084070	5.387495207463304	Q8WU79	small ArfGAP2	SMAP2	64744	8.928800704	9.867532	323	13.735782	671	10.374479	438	12.55829	521	503.9820687	0.7664609	1.067777319	0.240940106	0.694560602	0.39267356	9.024083532	12.593645	360	18.580637	554	11.110462	463	17.651414	800	8.75919537	9.08431012	8.79840587	9.07251883	8.81402303	9.20112905	8.79438038	9.10686986	NM_001198978,NM_001198979,NM_001198980,NM_022733	0.548270757	0.173787908	0.548270757	SMAP2	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like) [Source:UniProtKB/Swiss-Prot;Acc:Q8WU79]
ENSG00000085872	121.75763017629893	Q8IWX8	calcium homeostasis endoplasmic reticulum protein	CHERP	10523	9.967606346	16.831903	769	17.882519	1322	16.030642	946	16.548447	959	1229.559796	0.023064816	1.455891498	0.213815424	0.01126265	2.53444223	10.50963235	23.042974	1020	35.942467	1496	21.463846	1250	35.172958	2366	10.01486465	10.18287072	9.97598923	10.11440996	10.21706515	10.5782248	10.15572912	10.56144977	NM_006387	5.759130486	0.094115944	5.759130486	CHERP	Calcium homeostasis endoplasmic reticulum protein (SR-related CTD associated factor 6)(ERPROT 213-21) [Source:UniProtKB/Swiss-Prot;Acc:Q8IWX8]
ENSG00000086232	NaN		eukaryotic translation initiation factor 2 alpha kinase 1	EIF2AK1	27102	11.34843986	26.913847	1340	43.206423	3480	45.260224	2910	44.628797	2818	2605.936504	0.994998333	-1.001393825	0.225958369	0.992904448	-0.008893073	11.34673207	51.667516	2493	44.687967	2028	48.324138	3068	43.928107	3221	10.95003056	11.46117665	11.37878652	11.48611871	11.43148778	11.2778876	11.37221448	11.26559321	NM_001134335,NM_014413	0.006824689	0.250237045	-0.006824689	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1)(Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase)(Hemin-sensitive initiation factor 2-alpha kinase)(Heme-regulated inhibitor)(Heme-controlled repressor)(HCR) [Source:Un
ENSG00000086589	30.63439402834951	Q9NW64	RNA binding motif protein 22	RBM22	55696	10.22713277	40.355728	1056	32.494431	1376	38.396854	1297	30.740837	1020	1047.264968	0.003378054	-1.337422307	0.130495179	0.001307475	-3.214333954	9.807244508	27.741709	703	34.497223	823	26.371845	880	35.214066	1357	10.19750188	10.13226347	10.15420279	10.0802475	9.81862948	9.97236769	9.77695611	9.99172501	NM_018047	8.610514385	0.048764597	-8.610514385	RBM22	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22)(Zinc finger CCCH domain-containing protein 16) [Source:UniProtKB/Swiss-Prot;Acc:Q9NW64]
ENSG00000086666	8.74931546063615	Q6FIF0-2	zinc finger AN1-type containing 6	ZFAND6	54469	9.196510375	33.744703	629	16.233674	487	25.125949	613	23.268208	541	593.7763491	0.915152025	1.024525498	0.227797687	0.878042259	0.153451469	9.230837081	36.564518	638	26.609199	446	30.270866	711	25.109082	676	9.41984096	8.92053581	9.1776317	9.20310518	9.39747124	9.11505904	9.25221845	9.06426036	NM_001242911,NM_001242912,NM_001242913,NM_001242914,NM_001242915,NM_001242916,NM_001242917,NM_001242918,NM_001242919,NM_019006	0.167907785	0.204437847	0.167907785	ZFAND6	AN1-type zinc finger protein 6 (Zinc finger A20 domain-containing protein 3)(Associated with PRK1 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q6FIF0]
ENSG00000087086	18.404762917611578	P02792	ferritin light chain	FTL	2512	13.05619919	826.430847	8026	588.499084	9249	781.21106	9797	535.169312	6591	18272.5539	5.68E-9	3.290639591	0.279030354	7.35E-10	6.158355171	14.77456559	3454.138672	32497	1889.372681	16721	3265.595703	40448	1758.962524	25166	13.53511696	13.38406051	13.49183515	13.31096197	14.73259396	14.14227163	14.67831859	14.08163911	NM_000146	16.86276248	0.101903019	16.86276248	FTL	Ferritin light chain (Ferritin L subunit) [Source:UniProtKB/Swiss-Prot;Acc:P02792]
ENSG00000090487	NaN		SPG21,maspardin	SPG21	51324	9.627498517	31.639433	647	28.36004	938	31.498005	831	28.142918	726	913.8269368	0.035841192	1.310428501	0.165813245	0.018658887	2.352276744	10.01774555	51.001636	1003	39.269218	731	54.641929	1419	38.587874	1153	9.69730722	9.72394103	9.69334754	9.70999856	10.0395384	9.78960448	10.10316553	9.77147482	NM_001127889,NM_001127890,NM_016630	28.2266977	0.013825458	28.2266977	SPG21	Maspardin (Spastic paraplegia 21 autosomal recessive Mast syndrome protein)(Acid cluster protein 33) [Source:UniProtKB/Swiss-Prot;Acc:Q9NZD8]
ENSG00000090674	NaN		mucolipin 1	MCOLN1	57192	7.62071562	7.900064	185	5.552511	211	7.40467	224	5.276622	157	268.960431	4.64E-5	1.734290722	0.181204149	1.17E-5	4.383706255	8.41406463	14.627942	332	11.283869	241	15.007822	448	11.544716	398	7.8978947	7.7336632	7.84664963	7.69137071	8.3594895	8.10619596	8.38114734	8.12725843	NM_020533	8.251960815	0.096140666	8.251960815	MCOLN1	Mucolipin-1 (Mucolipidin)(MG-2) [Source:UniProtKB/Swiss-Prot;Acc:Q9GZU1]
ENSG00000091164	897.6378309358003	O43396	thioredoxin like 1	TXNL1	9352	10.4455573	84.039374	1241	57.931417	1385	87.507305	1669	64.356897	1206	1389.013685	0.969321061	-1.007557496	0.171675182	0.949550206	-0.06327163	10.43411019	69.186974	990	94.899704	1277	73.641243	1387	101.188026	2202	10.5023258	10.30812227	10.53809209	10.39254504	10.27854701	10.51685195	10.32903152	10.57560886	NM_004786,NR_024546	0.109043456	0.104977505	-0.109043456	TXNL1	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein) [Source:UniProtKB/Swiss-Prot;Acc:O43396]
ENSG00000095059	210.42394961341597	P49366	deoxyhypusine synthase	DHPS	1725	8.577779467	27.169215	394	14.66835	348	25.56454	486	14.278216	271	445.5961983	0.073412771	1.3337769	0.204786198	0.042455221	2.02903014	8.991803958	31.200089	442	29.738086	401	30.557274	584	32.771241	712	8.84538569	8.46627111	8.80710204	8.45836739	8.91008923	8.8503733	8.91260923	8.93411706	NM_001206974,NM_001930,NM_013406,NR_038192	1.964835085	0.210717171	1.964835085	DHPS	Deoxyhypusine synthase (DHS)(EC 2.5.1.46) [Source:UniProtKB/Swiss-Prot;Acc:P49366]
ENSG00000099341	425.1932930407696	P48556	non-ATPase 8,proteasome 26S subunit	PSMD8	5714	10.87997293	71.821365	1233	99.279724	2757	67.202599	1490	95.522942	2079	2368.697633	0.020123742	1.513661312	0.231089193	0.009655487	2.587929035	11.47820655	134.11734	2230	176.145554	2755	126.590935	2771	164.363403	4155	10.80912424	11.19339	10.75759238	11.15662823	11.26920832	11.48175891	11.21829045	11.42223824	NM_002812	2.628539778	0.227591618	2.628539778	PSMD8	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit S14)(p31) [Source:UniProtKB/Swiss-Prot;Acc:P48556]
ENSG00000099817	211.83243049808604	P19388	RNA polymerase II subunit E	POLR2E	5434	10.24027868	33.734029	1079	25.902228	1333	32.923424	1349	25.382721	1024	1402.082248	0.044168813	1.317627876	0.175904165	0.023680633	2.262271522	10.63897378	46.251689	1427	55.904142	1629	44.20992	1795	34.654182	1603	10.38337685	10.2765378	10.35669442	10.25657293	10.59023342	10.73302473	10.54961313	10.3053209	NM_001316323,NM_001316324,NM_002695	6.506778068	0.061273813	6.506778068	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1)(DNA-directed RNA polymerase II subunit E)(RPB5)(DNA-directed RNA polymerase II 23 kDa polypeptide)(XAP4) [Source:UniProtKB/Swiss-Prot;Acc:P19388]
