name	MDAMB231	MCF10A	Pert
MTOR:RPTOR	0.102062	0	0.102062073
MVD	0.132939	0.845232	0.133162859
MVK	0.531756	0.380928	0.532651436
NDC80	0.490333	-0.089794	0.491476836
NFKBIA	0.276546	-0.099116	0.267383497
NOTCH1	0.571079	-0.013533	0.55048346
NUF2	0.490333	-0.089794	0.491476836
OGT	0.467483	0.072436	0.393256363
PAG1	0.509667	0.089794	0.508523164
PAK1	0.015829	0.527042	0.013991471
PAK2	0.5	0	0.5
PBK	0.5	0	0.5
PDPK1	0.027084	0.398338	0.018590872
PIAS1	0.148353	0.659506	0.663599203
PIAS3	0.007329	0.460677	0.01677369
PKIA	-0.015708	0.411458	-0.015219574
PKM	0.069436	0.510824	0.062045492
PKN1	0.644338	0	0.644337567
PLK1	0.77482	0.157661	0.740627021
PMVK	0.265878	0.690464	0.266325718
PPM1A	0	0.5	0
PPM1D	0.058335	0.33823	0.053130623
PPP2CA	0.258919	0.003561	0.256741784
PPP3CA	0	0.5	0
PPP3CB	0	0.5	0
PPP3CC	0	0.5	0
PPP4C	0.5	0	0.5
PRKACA	0	0.5	0
PRKCA	0.036084	0.625	0.036084392
PRKCD	0.482162	-0.007122	0.486516432
PRMT5	0.5	0	0.5
PRPF4	0.5	0	0.5
PTK6	0.679895	-0.000865	0.680185483
PTPN1	0.36253	-0.017123	0.506671219
PTPN11	0.544985	0.14417	0.549441211
PTPRA	0.029586	0.455063	0.070500285
RAC1	0.36253	-0.017123	0.506671219
RAD23A	0.5	0	0.5
RAF1	0.353671	0.080325	0.43689118
RARA	0.107662	0.592831	0.086213487
RASGRF1	0.508186	0.006464	0.515739098
RB1	-0.144338	0.5	-0.144337567
RELA	0.519612	0.081001	0.464305947
RFWD2	-0.066988	0.386712	-0.063843209
RHOA	0.53144	0.504453	0.531702949
RHOD	0.002179	0.437926	0.007982482
RICTOR	0.532517	-0.072436	0.606743637
ROCK1	-0.007329	0.539323	-0.01677369
RPS6KA1	0.604654	0.142535	0.590508215
RPS6KA2	0.025516	0.572169	0.025515518
RPS6KA3	0.508819	-0.002448	0.509641507
RPS6KA5	0.598644	0.152828	0.580147928
RPS6KB1	0.639917	0.101726	0.624750937
RRM2B	0.008186	0.506464	0.015739098
S100A2	-0.007329	0.539323	-0.01677369
SELPLG	0.551777	0.013434	0.479570181
SERPINA1	0.551777	0.013434	0.479570181
SETD7	0	0.5	0
SH3YL1	-0.008619	0.480539	-0.02133477
SHC1	-0.008619	0.480539	-0.02133477
SIRT1	0.784718	0.130412	0.781022746
SKIL	0.008186	0.506464	0.015739098
SKP2	0.5	0.375	0.5
SMAD4	0.069436	0.510824	0.062045492
SNAI1	0.677207	0.06551	0.711114051
SNAP29	0.066988	0.613288	0.063843209
SNRPA	0.508619	0.019461	0.52133477
SPI1	0.109366	0.015907	0.096428595
SREBF2	0.127026	0.52371	0.130605745
SRPK1	0.492671	0.039323	0.48322631
STAT3	0.746741	0.193741	-0.29464304
STK10	0.544985	0.14417	0.549441211
STK11	0.366139	-0.034173	0.37027498
STX6	0.00039	0.527417	-0.010866665
SUMO1	0.533173	0.14747	0.648385293
TAB1	0	0.5	0
TACC1	-0.008186	0.493536	-0.015739098
TAF12	0.007329	0.460677	0.01677369
TAF1B	0.492671	0.039323	0.48322631
TAOK1	0	0.5	0
TAOK2	0	0.5	0
TARDBP	0.5	0	0.5
TBL1X	0.507329	-0.039323	0.51677369
TCF3	-0.324097	0.492265	-0.772291932
TGFA	0.470414	0.044937	0.429499715
TGFB1	0.16374	0.587226	0.144754172
TNIK	0.515708	0.088542	0.515219574
TNK2	0.009667	0.589794	0.008523164
TOP2A	0.490333	-0.089794	0.491476836
TP53	0.508102	0.094841	0.522422978
TP53:SMAD2	0.127026	0.02371	0.130605745
TP63	-0.063513	-0.011855	-0.065302872
TPR	-0.007329	0.539323	-0.01677369
TPX2	0.490333	-0.089794	0.491476836
TRIM28	0.644338	0	0.644337567
TRIM33	0.651428	0.014648	0.659009936
TRIOBP	0.057532	0.477723	0.035405166
UBE2D3	-0.161084	0.5	-0.161084392
UBE2I	0.668082	0.080279	0.73229413
USP22	0	0.5	0
VDR	0.127026	0.52371	0.130605745
VIM	0.067095	0.574558	0.00565642
WNT	0.063513	0.261855	0.065302872
WNT5A	0.022455	0.504191	0.023088052
XIAP	0.051777	0.513434	-0.020429819
YAP1	0.485843	0.075796	0.468330945
YWHAZ	0.5	0	0.5
ZBTB17	0.054683	0.507954	0.048214297
ubiquitin	0.014947	0.148215	-0.005897581
