ID	Gene_Symbol	Average Intensity	UniProt ID	Description	Gene_Symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000014216	CAPN1	580.4306600310467	P07384	calpain 1	CAPN1	823	11.24526498	59.941679	2036	51.914982	2852	56.932768	2496	52.074454	2240	2231.824694	0.147213209	-1.192321457	0.151942533	0.094881326	-1.670192285	10.9916165	60.924321	2007	47.239187	1462	61.649231	2673	45.902956	2300	11.2041455	11.20223744	11.15972417	11.20034349	11.15739813	10.91422224	11.16666149	10.89447524	NM_001198868,NM_001198869,NM_005186,NR_040008	11.89967804	0.021315575	-11.89967804
ENSG00000026025	VIM	NaN		vimentin	VIM	7431	15.72742598	1914.830078	45600	1645.080078	63405	1892.540283	58202	1594.22998	48149	40373.6257	1.45E-93	-2.047755942	0.049693378	3.63E-96	-20.80848251	14.69336986	977.768372	22559	1033.622803	22433	963.586243	29269	1042.043579	36561	15.54729566	15.53858246	15.53737064	15.50618782	14.91051981	14.9283795	14.89815008	14.93748026	NM_003380	57.45103586	0.017998912	-57.45103586
ENSG00000026103	FAS	NaN		Fas cell surface death receptor	FAS	355	9.612010153	11.432822	502	15.02095	1063	12.215348	692	15.771662	876	431.4509729	9.92E-32	-9.726277288	0.272728247	2.37E-33	-12.03354534	6.328543172	1.303952	56	2.001316	81	1.136506	64	2.140955	139	8.81805898	9.21582535	8.88122151	9.2606395	7.09779994	7.3362087	7.01443893	7.37206713	NM_000043,NM_001320619,NM_152871,NM_152872,NR_028033,NR_028034,NR_028035,NR_028036,NR_135313,NR_135314,NR_135315	14.4920221	0.226570658	-14.4920221
ENSG00000026508	CD44	3747.004446580857	P16070-4	CD44 molecule (Indian blood group)	CD44	960	13.34202211	165.420392	8418	149.79572	12107	170.493234	11169	150.305856	9554	9443.350373	0.082505337	-1.221151552	0.146123296	0.048541586	-1.972596205	13.05376963	123.570902	6240	176.991177	8271	124.053779	8233	168.152731	12956	13.26508459	13.28614555	13.28932752	13.28838003	12.97850345	13.2395805	12.97957242	13.21509962	NM_000610,NM_001001389,NM_001001390,NM_001001391,NM_001001392,NM_001202555,NM_001202556,NM_001202557	25.04195804	0.01151078	-25.04195804
ENSG00000033800	PIAS1	2.469548292043112	O75925	protein inhibitor of activated STAT 1	PIAS1	8554	10.14675394	15.052029	1063	10.578957	1209	15.643192	1427	8.876501	795	879.7488544	5.43E-6	-1.812271525	0.176253388	1.13E-6	-4.866851839	9.289678055	7.978193	546	8.677272	559	8.120329	732	7.18784	748	10.08320282	9.90076822	10.11744676	9.74628329	9.48901681	9.5292538	9.50232263	9.38705458	NM_001320687,NM_016166	4.972231261	0.17237249	-4.972231261
ENSG00000035115	SH3YL1	NaN		SH3 and SYLF domain containing 1	SH3YL1	26751	8.724331468	13.152427	343	11.12021	459	13.215459	470	9.480726	403	250.0632509	1.24E-21	-5.482467692	0.248413493	4.98E-23	-9.882013171	6.270154655	1.980728	74	1.450108	50	4.154601	125	1.279043	71	8.26306625	8.21966307	8.32025846	8.32092549	6.97993139	6.74865522	7.15218381	6.66482374	NM_001159597,NM_001282682,NM_001282687,NM_015677,NR_104223,NR_104224,NR_104225,NR_104226,NR_104227	50.02933253	0.049054758	-50.02933253
ENSG00000039068	CDH1	NaN		cadherin 1	CDH1	999	2.90186554	0.157692	9	0.142147	13	0.081407	6	0.027819	2	53.3653757	1.76236E-4	13.2631589	0.919408345	4.99E-5	4.056252633	6.633094463	2.820121	149	0.232293	12	3.217824	224	0.192806	16	4.14705392	4.1438827	3.85485867	3.64686165	6.33644409	4.28987751	6.47683617	4.16861082	NM_001317184,NM_001317185,NM_001317186,NM_004360	15.34597466	0.243140563	15.34597466
ENSG00000041982	TNC	0.31618175795701053	P24821,P24821-5	tenascin C	TNC	3371	8.74492826	0.760552	73	6.114068	949	0.534143	67	5.615818	683	389.3849732	0.774155636	-1.226992072	0.775700696	0.703601266	-0.380463662	8.450146703	4.815816	448	1.800827	158	4.630105	567	1.804062	255	7.33167909	9.13297111	7.1318549	9.04620351	8.70740412	7.85331506	8.67117711	7.85297182	NM_002160	0.273885753	1.07629387	-0.273885753
ENSG00000047410	TPR	164.6296920296047	P12270	nuclear basket protein,translocated promoter region	TPR	7175	12.28631479	37.645939	4074	32.919132	5766	39.651203	5541	32.577122	4471	4123.460072	7.47E-6	-1.536054613	0.129066698	1.6E-6	-4.79774814	11.66700572	23.268023	2440	30.896204	3047	23.605812	3259	30.896572	4926	12.15219639	12.15939536	12.19896465	12.14611605	11.68570337	11.89113192	11.69653166	11.89382698	NM_003292	25.99495939	0.023824198	-25.99495939
ENSG00000047932	GOPC	21.675970642105302	Q9HD26,Q9HD26-2	golgi associated PDZ and coiled-coil motif containing	GOPC	57120	10.55908769	15.438439	794	25.739371	2141	19.347408	1285	28.386137	1851	1168.186523	0.002474866	-1.822836036	0.261460633	9.23443E-4	-3.312868894	9.692921824	12.910509	646	15.268639	715	13.541125	892	16.354026	1238	9.99022746	10.56275779	10.18226397	10.64927233	9.79061878	9.89439777	9.82768752	9.9530483	NM_001017408,NM_020399	2.77470239	0.312165322	-2.77470239
ENSG00000048392	RRM2B	NaN		ribonucleotide reductase regulatory TP53 inducible subunit M2B	RRM2B	50484	11.74635851	46.259016	2501	44.212032	3932	58.504747	4128	45.366618	3163	1935.198578	3.12E-121	-7.905547381	0.125870134	3.78E-124	-23.69795974	8.764102686	7.430669	396	6.768858	340	7.608329	534	6.662351	541	11.12655433	11.23575196	11.36542262	11.25673222	9.56644764	9.48425572	9.58132795	9.47455738	NM_001172477,NM_001172478,NM_015713	30.46441143	0.097893105	-30.46441143
ENSG00000050820	BCAR1	NaN		BCAR1,Cas family scaffolding protein	BCAR1	9564	10.20862954	20.493003	776	28.441827	1669	24.48707	1172	25.134836	1150	1154.338772	0.731769253	-1.05215248	0.164571053	0.655838198	-0.445666456	10.13616249	24.403331	927	29.564991	1026	25.196074	1176	29.152857	1564	9.99669212	10.35869511	10.12698712	10.24327231	10.11087255	10.2208811	10.07908717	10.17331724	NM_001170714,NM_001170715,NM_001170716,NM_001170717,NM_001170718,NM_001170719,NM_001170720,NM_001170721,NM_014567	0.46667384	0.155284149	-0.46667384
ENSG00000051180	RAD51	NaN		RAD51 recombinase	RAD51	5888	6.526633442	0.788452	21	4.592021	191	0.523573	18	4.551696	148	142.6857832	0.217172757	2.094650807	0.740643292	0.149797348	1.440247645	7.593768251	2.546221	62	9.049892	212	4.644836	153	11.290594	421	5.837845	7.12297435	5.64399969	7.10852739	6.46586455	7.50810053	6.95435288	7.70676034	NM_001164269,NM_001164270,NM_002875,NM_133487	1.337740071	0.797714617	1.337740071
ENSG00000058335	RASGRF1	NaN		Ras protein specific guanine nucleotide releasing factor 1	RASGRF1	5923	3.251430369	0.121027	9	0.083787	10	0.147605	14	0.052051	5	98.33371745	1.25E-22	19.59054918	0.424398956	4.82E-24	10.11332823	7.548007613	3.076955	213	1.683569	110	3.140728	286	1.503646	158	4.8430555	4.72637475	4.90116704	4.61617047	7.12270635	6.51918939	7.14474432	6.42009375	NM_001145648,NM_002891,NM_153815	33.9331088	0.126619028	33.9331088
ENSG00000061938	TNK2	NaN		tyrosine kinase non receptor 2	TNK2	10188	9.243207496	10.674426	531	8.712024	691	9.962691	639	8.768406	537	464.4123055	4.55E-18	-1.877381493	0.101025693	2.36E-19	-8.994957782	8.334543848	5.670727	271	6.315739	274	6.219891	394	5.550778	406	9.1168786	9.04985175	9.05513183	9.03841231	8.51793913	8.54859576	8.59566871	8.48196314	NM_001010938,NM_001308046,NM_005781	25.78655398	0.035237886	-25.78655398
ENSG00000064012	CASP8	41.871167986078945	Q14790	caspase 8	CASP8	841	8.246578145	10.530892	291	5.514414	283	9.694293	364	6.073915	254	349.7738028	0.043550017	1.305909794	0.169736644	0.023295999	2.268545178	8.628743735	12.854468	347	11.814039	313	10.306645	409	13.459361	600	8.44766133	8.15045315	8.42162917	8.25435622	8.56340407	8.49915834	8.46866987	8.64898221	NM_001080124,NM_001080125,NM_001228,NM_033355,NM_033356,NM_033358,NR_111983	2.709725557	0.141034796	2.709725557
ENSG00000066027	PPP2R5A	3.440201871022983	Q15172	protein phosphatase 2 regulatory subunit B'alpha	PPP2R5A	5525	9.850366682	25.803047	900	12.904212	729	26.198326	1180	17.96579	795	735.47523	9.33581E-4	-1.68388741	0.208625857	3.13889E-4	-3.603559456	9.097598665	12.760764	432	14.858299	473	13.647384	608	15.404977	792	9.84434276	9.36626929	9.85896113	9.64474955	9.1848166	9.28005244	9.23726497	9.3111027	NM_001199756,NM_006243	3.272934083	0.229997916	-3.272934083
ENSG00000067560	RHOA	6213.495058418708	P61586	ras homolog family member A	RHOA	387	12.49603587	168.459919	3569	235.839108	8055	184.437224	5083	243.778085	6476	5792.954925	0.984177341	1.005638674	0.29157662	0.977804684	0.027821292	12.50412026	207.044912	4187	200.549189	3881	380.367652	10112	208.878035	6485	12.23696881	12.64192256	12.31839757	12.66071983	12.33631176	12.29629639	12.86848139	12.32642896	NM_001313941,NM_001313943,NM_001313944,NM_001313945,NM_001313946,NM_001313947,NM_001664	0.037016222	0.218401274	0.037016222
ENSG00000067606	PRKCZ	NaN		protein kinase C zeta	PRKCZ	5590	6.563526768	3.714481	97	2.466241	104	2.753575	93	2.118241	77	178.0897924	1.46E-6	2.770271044	0.28603961	2.76E-7	5.139243254	8.03119347	11.082665	279	6.218613	148	11.922165	396	6.875997	264	7.06886001	6.86838446	6.8494626	6.82716825	7.92698501	7.39577089	7.99675569	7.4817941	NM_001033581,NM_001033582,NM_001242874,NM_001350803,NM_001350804,NM_001350805,NM_001350806,NM_002744,NR_146911	13.15819341	0.111540138	13.15819341
ENSG00000067900	ROCK1	26.623311994149287	Q13464	Rho associated coiled-coil containing protein kinase 1	ROCK1	6093	11.16661938	24.815426	1840	21.9139	2629	26.26531	2514	22.826366	2146	1903.22775	8.87E-12	-1.52452918	0.084983825	8.15E-13	-7.158583009	10.55816102	16.914656	1215	19.86072	1342	17.096966	1617	19.598269	2141	11.01881824	11.03435708	11.06935893	11.06651919	10.63405411	10.73857501	10.64207224	10.73016452	NM_005406	24.60419624	0.024729861	-24.60419624
ENSG00000068028	RASSF1	NaN		Ras association domain family member 1	RASSF1	11186	7.555832697	4.064776	88	10.778113	341	4.213524	118	8.06232	221	209.0899131	0.575836761	1.221278411	0.415391371	0.48751538	0.694266046	7.845600875	7.831772	149	14.52402	259	6.255897	172	13.368022	385	7.14991287	7.96122817	7.17534837	7.79230596	7.51649741	8.00675802	7.41175882	7.93661342	NM_001206957,NM_007182,NM_170712,NM_170713,NM_170714	0.692954547	0.418163326	0.692954547
ENSG00000069399	BCL3	NaN		B-cell CLL/lymphoma 3	BCL3	602	7.9987785	13.383451	279	7.369369	248	11.030117	297	6.712006	177	325.2359009	0.165358841	1.543078958	0.390515669	0.109039132	1.602526954	8.624570528	25.492079	514	10.678405	203	22.654387	601	9.164965	281	8.33262066	7.96002807	8.17181749	7.88542396	8.84135041	8.06088284	8.73186871	7.94053056	NM_005178	3.074642221	0.203533284	3.074642221
ENSG00000070087	PFN2	55.567805336462115	P35080-2	profilin 2	PFN2	5217	10.98197151	88.754322	1787	62.232719	2024	95.689158	2476	66.679586	1704	1307.6554	2.46E-18	-3.409426579	0.195230192	1.26E-19	-9.063808709	9.211265784	21.063186	418	28.634227	531	21.914922	564	33.745246	1015	10.71911595	10.52070907	10.78625553	10.58223744	9.47354285	9.67072856	9.48993667	9.80293633	NM_002628,NM_053024	14.51703843	0.121974309	-14.51703843
ENSG00000070831	CDC42	4564.005834817055	P60953,P60953-1	cell division cycle 42	CDC42	998	11.88891479	105.240286	2526	134.541822	5292	87.699779	2882	145.291356	4436	4364.253417	0.161703164	1.301551237	0.235316086	0.106129865	1.61583559	12.26914303	157.482365	3688	202.043035	4439	165.087124	5092	214.357631	7630	11.78085524	12.11604238	11.68270323	12.17084603	12.06304654	12.24905114	12.1032987	12.30657688	NM_001039802,NM_001791,NM_044472	1.570767907	0.242065195	1.570767907
ENSG00000072062	PRKACA	206.6057858634363	P17612	protein kinase cAMP-activated catalytic subunit alpha	PRKACA	5566	11.0110227	48.639301	1450	58.485153	2821	50.684818	1951	54.200668	2049	1799.25257	0.007458077	-1.34504662	0.144981974	0.003180624	-2.949719647	10.58383286	44.662231	1290	50.160046	1363	43.023415	1636	48.12418	2113	10.78332729	11.06922727	10.81910769	10.99734451	10.6516871	10.7209326	10.62004651	10.6883914	NM_001304349,NM_002730,NM_207518	3.09700383	0.137936491	-3.09700383
ENSG00000074319	TSG101	96.13663241217054	Q99816	tumor susceptibility 101	TSG101	7251	9.939355052	43.308315	748	43.803288	1224	45.129528	1006	42.807125	937	1044.915323	0.128058394	1.128221671	0.099557196	0.080421293	1.748246845	10.11372031	59.156658	990	54.291573	854	59.588764	1312	58.44273	1487	9.90662771	10.03524259	9.94086774	10.01158925	10.11026542	10.00764603	10.11527357	10.07373917	NM_006292	2.906130799	0.059999109	2.906130799
ENSG00000075624	ACTB	NaN		actin beta	ACTB	60	16.50812929	1388.665771	28054	5432.624023	177623	1396.428589	36431	5411.253906	138641	85190.79335	0.682100288	-1.207701975	0.5206967	0.601054297	-0.522884981	16.23586407	2924.158203	57233	4004.188232	73719	2903.427246	74813	3989.036133	118727	15.57146131	16.84715102	15.57605596	16.83919837	16.10084156	16.34242555	16.09413891	16.34191714	NM_001101	0.371486574	0.732907295	-0.371486574
ENSG00000075643	MOCOS	8.72910540201138	Q96EN8	molybdenum cofactor sulfurase	MOCOS	55034	7.992060813	6.565988	223	5.462943	300	5.735259	251	5.415569	233	424.4300043	4.54314E-4	2.333713494	0.321090734	1.40247E-4	3.807731975	9.214962395	23.104662	758	10.352784	320	19.719059	851	9.805597	489	8.29443636	8.26047913	8.18833719	8.25063102	9.32645004	8.57788754	9.17644178	8.53344322	NM_017947	27.62781684	0.044263417	27.62781684
ENSG00000076641	PAG1	1.8980093467752301	Q9NWQ8	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	PAG1	55824	7.491323899	1.145532	138	1.082225	210	1.309397	203	1.08688	166	478.1777503	1.97E-70	4.309270247	0.116837351	9.91E-73	18.03741317	9.600696285	5.320852	618	6.059389	662	6.282742	960	5.720756	1010	7.95850235	8.01291839	8.04928475	8.01718186	9.15013242	9.23986025	9.30423676	9.18961837	NM_018440	56.01455078	0.037657579	56.01455078
ENSG00000077238	IL4R	NaN		interleukin 4 receptor	IL4R	3566	8.664763558	7.568374	321	7.271222	487	8.085258	430	7.009612	377	542.5973316	1.37962E-4	1.671651181	0.180025236	3.83E-5	4.117610681	9.408023342	16.987229	654	15.676929	606	15.772621	851	10.665493	650	8.78784073	8.84978143	8.81743038	8.83653609	9.35751193	9.31431635	9.34653027	8.96390291	NM_000418,NM_001257406,NM_001257407,NM_001257997	27.65090509	0.026880125	27.65090509
ENSG00000077312	SNRPA	333.2695982603265	P09012	small nuclear ribonucleoprotein polypeptide A	SNRPA	6626	9.547032821	34.084297	620	30.889881	908	32.5322	764	29.495275	680	1079.405729	2.21E-7	1.885980557	0.166204412	3.65E-8	5.50716308	10.46223612	57.710644	1016	82.955429	1374	57.291088	1328	83.02774	2222	9.75202706	9.78450351	9.71683578	9.74622355	10.12556361	10.41144302	10.11868186	10.41470817	NM_004596	32.99102065	0.027740982	32.99102065
ENSG00000077942	FBLN1	NaN		fibulin 1	FBLN1	2192	14.58877514	758.616999	22119	577.46019	26896	741.134641	27753	567.808102	20680	12350.43737	0.0	-412.5731213	0.149167797	0.0	-58.24652626	5.903071482	1.737311	56	1.867949	46	1.842448	73	1.687303	74	13.73149935	13.57825665	13.70149731	13.55336632	9.73703171	9.71477583	9.73276639	9.70995695	NM_001996,NM_006485,NM_006486,NM_006487	98.20709318	0.088442732	-98.20709318
ENSG00000080815	PSEN1	NaN		presenilin 1	PSEN1	5663	10.38959336	19.382546	1316	14.31554	1573	19.895983	1744	8.332478	717	1314.857852	0.884269471	-1.041229986	0.285030157	0.837962522	-0.204500345	10.33119802	16.174205	1064	14.381203	890	23.0325	1994	14.740684	1474	10.5120691	10.37187628	10.53567737	9.92435035	10.29389048	10.16786843	10.60117365	10.1903901	NM_000021,NM_007318	0.205768002	0.283792131	-0.205768002
ENSG00000080824	HSP90AA1	22266.332198739416	P07900,P07900-2	heat shock protein 90 alpha family class A member 1	HSP90AA1	3320	13.51742262	183.096449	7037	272.115929	17005	186.320205	9228	283.549061	13793	14912.80895	0.224152369	1.543547186	0.441158216	0.155736458	1.419557803	14.14367209	210.109579	7651	653.368079	22405	218.342333	10580	668.526666	36930	13.36450649	13.79450914	13.37594691	13.82028654	13.39608545	14.31803009	13.4314555	14.33726597	NM_001017963,NM_005348	2.478592578	0.252663336	2.478592578
ENSG00000080986	NDC80	51.96958395166867	O14777	NDC80,kinetochore complex component	NDC80	10403	7.355127614	5.162037	126	5.190228	204	5.412418	170	4.964048	153	456.0021207	5.84E-8	4.569685712	0.381148618	8.86E-9	5.751286609	9.547433644	15.809472	371	41.801125	923	14.088306	436	40.562141	1448	7.80829626	7.90750378	7.83775803	7.87397925	8.62731661	9.50133149	8.52874152	9.47593791	NM_006101	50.8275008	0.043132281	50.8275008
ENSG00000082701	GSK3B	33.167216033505284	P49841	glycogen synthase kinase 3 beta	GSK3B	2932	10.86355976	19.790171	1565	15.843063	2025	20.308029	2072	17.089692	1712	1434.242713	1.07609E-4	-1.853596375	0.213021519	2.92E-5	-4.179517322	9.973402558	13.963064	1069	8.895763	644	13.956685	1406	8.899316	1036	10.7007353	10.62804171	10.72389264	10.6917195	10.33503625	9.95142719	10.33347286	9.9496478	NM_001146156,NM_002093	21.70723581	0.041007395	-21.70723581
ENSG00000082781	ITGB5	40.16744531496851	P18084	integrin subunit beta 5	ITGB5	3693	13.29991095	139.373032	6806	173.711319	13729	143.123169	9026	174.4189	10802	5808.285716	1.83E-21	-6.584669397	0.27628032	7.43E-23	-9.841855568	10.58087932	35.349819	1673	20.200045	899	36.047596	2246	21.092258	1518	12.63758946	12.98699639	12.66348652	12.98656851	11.41391638	11.01017442	11.42756463	11.03889809	NM_002213	13.98545127	0.194418584	-13.98545127
ENSG00000085117	CD82	NaN		CD82 molecule	CD82	3732	8.553694278	20.104389	380	11.429786	349	20.364732	496	10.618289	254	619.80794	3.19E-7	2.299735271	0.220904429	5.36E-8	5.438857892	9.754635267	44.714794	817	38.834675	668	44.075069	1060	37.457127	1041	8.97828892	8.64819926	8.98739176	8.59156922	9.60629366	9.44946571	9.59243147	9.41996102	NM_001024844,NM_002231	5.695523054	0.210857015	5.695523054
ENSG00000085365	SCAMP1	276.30135066242417	O15126	secretory carrier membrane protein 1	SCAMP1	9522	9.90580707	13.077509	913	7.938117	895	9.148016	824	12.393059	1087	997.5515428	0.701089234	1.080088353	0.225291134	0.621759185	0.493358663	10.01656292	16.843635	1139	12.175436	774	11.083749	986	13.439212	1381	10.04079255	9.7407978	9.74213443	10.10534046	10.19825745	9.89009502	9.83877455	9.97635128	NM_001290229,NM_004866,NR_110885	0.57310616	0.193255382	0.57310616
ENSG00000086758	HUWE1	207.64239845626474	Q7Z6Z7	E3 ubiquitin protein ligase,HECT,UBA and WWE domain containing 1	HUWE1	10075	11.44304887	13.781879	2265	12.107211	3221	14.346006	3045	12.137582	2530	3814.246358	4.79E-7	1.739825824	0.149049578	8.31E-8	5.360249219	12.24206933	30.103451	4794	22.849449	3423	30.055557	6301	23.131811	5601	11.60316694	11.61320438	11.63542415	11.61159949	12.20578702	11.93633774	12.20364458	11.94959744	NM_031407	58.01420549	0.013772842	58.01420549
ENSG00000087586	AURKA	48.20868280640476	O14965	aurora kinase A	AURKA	6790	8.440808981	9.7124	281	9.018834	415	11.121462	391	8.134315	298	1311.431926	1.72E-12	6.547791762	0.366844719	1.47E-13	7.390070783	11.15189074	39.282801	1040	111.62813	2747	43.575754	1501	114.714016	4429	9.06755978	9.10139478	9.11889841	9.039134	10.07625999	11.02582441	10.15813787	11.02671988	NM_001323303,NM_001323304,NM_001323305,NM_003600,NM_198433,NM_198434,NM_198435,NM_198436,NM_198437	76.34167454	0.035512474	76.34167454
ENSG00000088325	TPX2	76.33775254705671	Q9ULW0	TPX2,microtubule nucleation factor	TPX2	22974	10.51637929	27.007797	1103	27.797476	1837	27.921946	1473	27.552675	1427	3737.825745	9.98E-9	4.103855693	0.335973538	1.34E-9	6.06291797	12.55338015	77.043076	3048	190.281693	7080	79.229088	4126	188.238953	11323	10.89827039	11.02495845	10.92312064	11.01511735	11.68788875	12.50099707	11.71174006	12.49368163	NM_012112	31.79587733	0.064064936	31.79587733
