Attr bn phenotype phenotype2
is_041494 183 attr_183 Other Other
is_041495 221 attr_221 Other Other
is_041496 20 attr_20 Other Other
is_041497 242 attr_242 Other Other
is_041498 168 attr_168 Other Other
is_041499 180 attr_180 Apoptosis Other
is_041500 286 attr_286 Other Other
is_041501 166 attr_166 Apoptosis Other
is_041502 155 attr_155 Other Other
is_041503 22 attr_22 Other Other
is_041504 15 attr_15 Other Other
is_041505 174 attr_174 Apoptosis Other
is_041506 200 attr_200 Other Other
is_041507 76 attr_76 Apoptosis Other
is_041508 189 attr_189 Other Other
is_041509 202 attr_202 Apoptosis Other
is_041510 10 attr_10 Other Other
is_041511 278 attr_278 Other Other
is_041512 189 attr_189 Other Other
is_041513 154 attr_154 Other Other
is_041514 283 attr_283 Other Other
is_041515 9 attr_9 Other Other
is_041516 4 attr_4 Apoptosis Other
is_041517 195 attr_195 Apoptosis Apoptosis
is_041518 189 attr_189 Other Other
is_041519 202 attr_202 Apoptosis Other
is_041520 204 attr_204 Apoptosis Other
is_041521 154 attr_154 Other Other
is_041522 209 attr_209 Apoptosis Other
is_041523 188 attr_188 Other Other
is_041524 184 attr_184 Apoptosis Other
is_041525 6 attr_6 Other Other
is_041526 4 attr_4 Apoptosis Other
is_041527 606 attr_606 Other Other
is_041528 170 attr_170 Other Other
is_041529 701 attr_701 Other Other
is_041530 79 attr_79 Other Other
is_041531 148 attr_148 Other Other
is_041532 195 attr_195 Apoptosis Apoptosis
is_041533 168 attr_168 Other Other
is_041534 174 attr_174 Apoptosis Other
is_041535 168 attr_168 Other Other
is_041536 698 attr_698 Other Other
is_041537 170 attr_170 Other Other
is_041538 15 attr_15 Other Other
is_041539 209 attr_209 Apoptosis Other
is_041540 193 attr_193 Other Other
is_041541 195 attr_195 Apoptosis Apoptosis
is_041542 180 attr_180 Apoptosis Other
is_041543 211 attr_211 Other Other
is_041544 159 attr_159 Other Other
is_041545 79 attr_79 Other Other
is_041546 16 attr_16 Apoptosis Other
is_041547 203 attr_203 Leukemia Other
is_041548 8 attr_8 Leukemia Other
is_041549 197 attr_197 Apoptosis Other
is_041550 228 attr_228 Apoptosis Other
is_041551 754 attr_754 Other Other
is_041552 166 attr_166 Apoptosis Other
is_041553 629 attr_629 Other Other
is_041554 18 attr_18 Apoptosis Other
is_041555 2 attr_2 Apoptosis Other
is_041556 166 attr_166 Apoptosis Other
is_041557 16 attr_16 Apoptosis Other
is_041558 155 attr_155 Other Other
is_041559 188 attr_188 Other Other
is_041560 152 attr_152 Other Other
is_041561 12 attr_12 Leukemia Other
is_041562 179 attr_179 Other Other
is_041563 13 attr_13 Leukemia Other
is_041564 234 attr_234 Other Other
is_041565 5 attr_5 Apoptosis Other
is_041566 165 attr_165 Other Other
is_041567 188 attr_188 Other Other
is_041568 73 attr_73 Other Other
is_041569 42 attr_42 Other Other
is_041570 155 attr_155 Other Other
is_041571 92 attr_92 Apoptosis Other
is_041572 157 attr_157 Other Other
is_041573 242 attr_242 Other Other
is_041574 95 attr_95 Apoptosis Other
is_041575 207 attr_207 Apoptosis Other
is_041576 170 attr_170 Other Other
is_041577 8 attr_8 Leukemia Other
is_041578 232 attr_232 Apoptosis Other
is_041579 242 attr_242 Other Other
is_041580 3 attr_3 Other Other
is_041581 167 attr_167 Apoptosis Other
is_041582 3 attr_3 Other Other
is_041583 89 attr_89 Apoptosis Other
is_041584 168 attr_168 Other Other
is_041585 155 attr_155 Other Other
is_041586 184 attr_184 Apoptosis Other
is_041587 166 attr_166 Apoptosis Other
is_041588 232 attr_232 Apoptosis Other
is_041589 170 attr_170 Other Other
is_041590 152 attr_152 Other Other
is_041591 15 attr_15 Other Other
is_041592 699 attr_699 Other Other
is_041593 188 attr_188 Other Other
is_041594 234 attr_234 Other Other
is_041595 6 attr_6 Other Other
is_041596 20 attr_20 Other Other
is_041597 13 attr_13 Leukemia Other
is_041598 150 attr_150 Apoptosis Other
is_041599 186 attr_186 Other Other
is_041600 352 attr_352 Other Other
is_041601 16 attr_16 Apoptosis Other
is_041602 42 attr_42 Other Other
is_041603 207 attr_207 Apoptosis Other
is_041604 81 attr_81 Other Other
is_041605 156 attr_156 Other Other
is_041606 240 attr_240 Other Other
is_041607 181 attr_181 Apoptosis Other
is_041608 91 attr_91 Other Other
is_041609 4 attr_4 Apoptosis Other
is_041610 249 attr_249 Other Other
is_041611 150 attr_150 Apoptosis Other
is_041612 15 attr_15 Other Other
is_041613 187 attr_187 Other Other
is_041614 92 attr_92 Apoptosis Other
is_041615 5 attr_5 Apoptosis Other
is_041616 160 attr_160 Leukemia Other
is_041617 228 attr_228 Apoptosis Other
is_041618 234 attr_234 Other Other
is_041619 162 attr_162 Leukemia Other
is_041620 5 attr_5 Apoptosis Other
is_041621 6 attr_6 Other Other
is_041622 12 attr_12 Leukemia Other
is_041623 15 attr_15 Other Other
is_041624 23 attr_23 Other Other
is_041625 166 attr_166 Apoptosis Other
is_041626 216 attr_216 Other Other
is_041627 22 attr_22 Other Other
is_041628 247 attr_247 Apoptosis Other
is_041629 240 attr_240 Other Other
is_041630 193 attr_193 Other Other
is_041631 2 attr_2 Apoptosis Other
is_041632 102 attr_102 Other Other
is_041633 462 attr_462 Apoptosis Other
is_041634 167 attr_167 Apoptosis Other
is_041635 18 attr_18 Apoptosis Other
is_041636 14 attr_14 Other Other
is_041637 221 attr_221 Other Other
is_041638 200 attr_200 Other Other
is_041639 234 attr_234 Other Other
is_041640 200 attr_200 Other Other
is_041641 185 attr_185 Other Other
is_041642 16 attr_16 Apoptosis Other
is_041643 193 attr_193 Other Other
is_041644 271 attr_271 Other Other
is_041645 590 attr_590 Other Other
is_041646 162 attr_162 Leukemia Other
is_041647 166 attr_166 Apoptosis Other
is_041648 179 attr_179 Other Other
is_041649 337 attr_337 Other Other
is_041650 184 attr_184 Apoptosis Other
is_041651 150 attr_150 Apoptosis Other
is_041652 218 attr_218 Apoptosis Other
is_041653 150 attr_150 Apoptosis Other
is_041654 210 attr_210 Other Other
is_041655 247 attr_247 Apoptosis Other
is_041656 18 attr_18 Apoptosis Other
is_041657 14 attr_14 Other Other
is_041658 201 attr_201 Other Other
is_041659 5 attr_5 Apoptosis Other
is_041660 78 attr_78 Apoptosis Other
is_041661 278 attr_278 Other Other
is_041662 266 attr_266 Other Other
is_041663 266 attr_266 Other Other
is_041664 42 attr_42 Other Other
is_041665 71 attr_71 Apoptosis Other
is_041666 169 attr_169 Leukemia Other
is_041667 181 attr_181 Apoptosis Other
is_041668 232 attr_232 Apoptosis Other
is_041669 193 attr_193 Other Other
is_041670 15 attr_15 Other Other
is_041671 104 attr_104 Other Other
is_041672 209 attr_209 Apoptosis Other
is_041673 232 attr_232 Apoptosis Other
is_041674 134 attr_134 Other Other
is_041675 166 attr_166 Apoptosis Other
is_041676 14 attr_14 Other Other
is_041677 80 attr_80 Apoptosis Other
is_041678 185 attr_185 Other Other
is_041679 195 attr_195 Apoptosis Apoptosis
is_041680 207 attr_207 Apoptosis Other
is_041681 156 attr_156 Other Other
is_041682 237 attr_237 Other Other
is_041683 734 attr_734 Other Other
is_041684 1 attr_1 Leukemia Other
is_041685 76 attr_76 Apoptosis Other
is_041686 6 attr_6 Other Other
is_041687 180 attr_180 Apoptosis Other
is_041688 174 attr_174 Apoptosis Other
is_041689 286 attr_286 Other Other
is_041690 203 attr_203 Leukemia Other
is_041691 79 attr_79 Other Other
is_041692 19 attr_19 Apoptosis Other
is_041693 699 attr_699 Other Other
is_041694 19 attr_19 Apoptosis Other
is_041695 2 attr_2 Apoptosis Other
is_041696 227 attr_227 Other Other
is_041697 181 attr_181 Apoptosis Other
is_041698 176 attr_176 Apoptosis Other
is_041699 214 attr_214 Apoptosis Other
is_041700 232 attr_232 Apoptosis Other
is_041701 105 attr_105 Other Other
is_041702 292 attr_292 Other Other
is_041703 208 attr_208 Other Other
is_041704 2 attr_2 Apoptosis Other
is_041705 3 attr_3 Other Other
is_041706 697 attr_697 Other Other
is_041707 220 attr_220 Other Other
is_041708 4 attr_4 Apoptosis Other
is_041709 58 attr_58 Other Other
is_041710 278 attr_278 Other Other
is_041711 13 attr_13 Leukemia Other
is_041712 15 attr_15 Other Other
is_041713 590 attr_590 Other Other
is_041714 93 attr_93 Other Other
is_041715 227 attr_227 Other Other
is_041716 203 attr_203 Leukemia Other
is_041717 162 attr_162 Leukemia Other
is_041718 5 attr_5 Apoptosis Other
is_041719 91 attr_91 Other Other
is_041720 197 attr_197 Apoptosis Other
is_041721 18 attr_18 Apoptosis Other
is_041722 210 attr_210 Other Other
is_041723 202 attr_202 Apoptosis Other
is_041724 189 attr_189 Other Other
is_041725 9 attr_9 Other Other
is_041726 220 attr_220 Other Other
is_041727 4 attr_4 Apoptosis Other
is_041728 185 attr_185 Other Other
is_041729 197 attr_197 Apoptosis Other
is_041730 176 attr_176 Apoptosis Other
is_041731 7 attr_7 Apoptosis Other
is_041732 200 attr_200 Other Other
is_041733 200 attr_200 Other Other
is_041734 88 attr_88 Other Other
is_041735 2 attr_2 Apoptosis Other
is_041736 208 attr_208 Other Other
is_041737 224 attr_224 Apoptosis Other
is_041738 247 attr_247 Apoptosis Other
is_041739 230 attr_230 Other Other
is_041740 162 attr_162 Leukemia Other
is_041741 13 attr_13 Leukemia Other
is_041742 605 attr_605 Other Other
is_041743 150 attr_150 Apoptosis Other
is_041744 1 attr_1 Leukemia Other
is_041745 200 attr_200 Other Other
is_041746 155 attr_155 Other Other
is_041747 262 attr_262 Apoptosis Other
is_041748 158 attr_158 Apoptosis Other
is_041749 156 attr_156 Other Other
is_041750 11 attr_11 Apoptosis Other
is_041751 156 attr_156 Other Other
is_041752 176 attr_176 Apoptosis Other
is_041753 150 attr_150 Apoptosis Other
is_041754 88 attr_88 Other Other
is_041755 4 attr_4 Apoptosis Other
is_041756 168 attr_168 Other Other
is_041757 610 attr_610 Other Other
is_041758 166 attr_166 Apoptosis Other
is_041759 234 attr_234 Other Other
is_041760 286 attr_286 Other Other
is_041761 308 attr_308 Other Other
is_041762 170 attr_170 Other Other
is_041763 221 attr_221 Other Other
is_041764 168 attr_168 Other Other
is_041765 94 attr_94 Other Other
is_041766 286 attr_286 Other Other
is_041767 717 attr_717 Other Other
is_041768 227 attr_227 Other Other
is_041769 69 attr_69 Other Other
is_041770 6 attr_6 Other Other
is_041771 19 attr_19 Apoptosis Other
is_041772 235 attr_235 Other Other
is_041773 184 attr_184 Apoptosis Other
is_041774 262 attr_262 Apoptosis Other
is_041775 230 attr_230 Other Other
is_041776 234 attr_234 Other Other
is_041777 11 attr_11 Apoptosis Other
is_041778 193 attr_193 Other Other
is_041779 18 attr_18 Apoptosis Other
is_041780 208 attr_208 Other Other
is_041781 20 attr_20 Other Other
is_041782 1 attr_1 Leukemia Other
is_041783 161 attr_161 Apoptosis Other
is_041784 224 attr_224 Apoptosis Other
is_041785 235 attr_235 Other Other
is_041786 2 attr_2 Apoptosis Other
is_041787 18 attr_18 Apoptosis Other
is_041788 156 attr_156 Other Other
is_041789 286 attr_286 Other Other
is_041790 592 attr_592 Other Other
is_041791 155 attr_155 Other Other
is_041792 15 attr_15 Other Other
is_041793 147 attr_147 Other Other
is_041794 8 attr_8 Leukemia Other
is_041795 399 attr_399 Apoptosis Other
is_041796 19 attr_19 Apoptosis Other
is_041797 609 attr_609 Other Other
is_041798 11 attr_11 Apoptosis Other
is_041799 77 attr_77 Other Other
is_041800 19 attr_19 Apoptosis Other
is_041801 189 attr_189 Other Other
is_041802 179 attr_179 Other Other
is_041803 222 attr_222 Other Other
is_041804 216 attr_216 Other Other
is_041805 188 attr_188 Other Other
is_041806 188 attr_188 Other Other
is_041807 207 attr_207 Apoptosis Other
is_041808 7 attr_7 Apoptosis Other
is_041809 4 attr_4 Apoptosis Other
is_041810 167 attr_167 Apoptosis Other
is_041811 3 attr_3 Other Other
is_041812 208 attr_208 Other Other
is_041813 160 attr_160 Leukemia Other
is_041814 170 attr_170 Other Other
is_041815 178 attr_178 Other Other
is_041816 188 attr_188 Other Other
is_041817 20 attr_20 Other Other
is_041818 604 attr_604 Other Other
is_041819 180 attr_180 Apoptosis Other
is_041820 170 attr_170 Other Other
is_041821 85 attr_85 Other Other
is_041822 706 attr_706 Other Other
is_041823 197 attr_197 Apoptosis Other
is_041824 251 attr_251 Other Other
is_041825 150 attr_150 Apoptosis Other
is_041826 216 attr_216 Other Other
is_041827 180 attr_180 Apoptosis Other
is_041828 176 attr_176 Apoptosis Other
is_041829 35 attr_35 Other Other
is_041830 215 attr_215 Other Other
is_041831 193 attr_193 Other Other
is_041832 4 attr_4 Apoptosis Other
is_041833 213 attr_213 Other Other
is_041834 179 attr_179 Other Other
is_041835 24 attr_24 Other Other
is_041836 157 attr_157 Other Other
is_041837 184 attr_184 Apoptosis Other
is_041838 266 attr_266 Other Other
is_041839 252 attr_252 Other Other
is_041840 71 attr_71 Apoptosis Other
is_041841 183 attr_183 Other Other
is_041842 185 attr_185 Other Other
is_041843 170 attr_170 Other Other
is_041844 358 attr_358 Other Other
is_041845 16 attr_16 Apoptosis Other
is_041846 21 attr_21 Other Other
is_041847 595 attr_595 Other Other
is_041848 190 attr_190 Other Other
is_041849 190 attr_190 Other Other
is_041850 3 attr_3 Other Other
is_041851 202 attr_202 Apoptosis Other
is_041852 629 attr_629 Other Other
is_041853 150 attr_150 Apoptosis Other
is_041854 24 attr_24 Other Other
is_041855 235 attr_235 Other Other
is_041856 87 attr_87 Other Other
is_041857 13 attr_13 Leukemia Other
is_041858 210 attr_210 Other Other
is_041859 75 attr_75 Other Other
is_041860 156 attr_156 Other Other
is_041861 227 attr_227 Other Other
is_041862 11 attr_11 Apoptosis Other
is_041863 240 attr_240 Other Other
is_041864 718 attr_718 Other Other
is_041865 94 attr_94 Other Other
is_041866 169 attr_169 Leukemia Other
is_041867 202 attr_202 Apoptosis Other
is_041868 184 attr_184 Apoptosis Other
is_041869 279 attr_279 Other Other
is_041870 204 attr_204 Apoptosis Other
is_041871 202 attr_202 Apoptosis Other
is_041872 202 attr_202 Apoptosis Other
is_041873 203 attr_203 Leukemia Other
is_041874 21 attr_21 Other Other
is_041875 195 attr_195 Apoptosis Apoptosis
is_041876 19 attr_19 Apoptosis Other
is_041877 84 attr_84 Other Other
is_041878 9 attr_9 Other Other
is_041879 150 attr_150 Apoptosis Other
is_041880 155 attr_155 Other Other
is_041881 18 attr_18 Apoptosis Other
is_041882 2 attr_2 Apoptosis Other
is_041883 111 attr_111 Other Other
is_041884 717 attr_717 Other Other
is_041885 12 attr_12 Leukemia Other
is_041886 19 attr_19 Apoptosis Other
is_041887 323 attr_323 Other Other
is_041888 184 attr_184 Apoptosis Other
is_041889 167 attr_167 Apoptosis Other
is_041890 69 attr_69 Other Other
is_041891 222 attr_222 Other Other
is_041892 174 attr_174 Apoptosis Other
is_041893 19 attr_19 Apoptosis Other
is_041894 262 attr_262 Apoptosis Other
is_041895 323 attr_323 Other Other
is_041896 4 attr_4 Apoptosis Other
is_041897 15 attr_15 Other Other
is_041898 185 attr_185 Other Other
is_041899 240 attr_240 Other Other
is_041900 605 attr_605 Other Other
is_041901 203 attr_203 Leukemia Other
is_041902 606 attr_606 Other Other
is_041903 170 attr_170 Other Other
is_041904 168 attr_168 Other Other
is_041905 323 attr_323 Other Other
is_041906 41 attr_41 Other Other
is_041907 18 attr_18 Apoptosis Other
is_041908 3 attr_3 Other Other
is_041909 5 attr_5 Apoptosis Other
is_041910 278 attr_278 Other Other
is_041911 167 attr_167 Apoptosis Other
is_041912 166 attr_166 Apoptosis Other
is_041913 217 attr_217 Other Other
is_041914 202 attr_202 Apoptosis Other
is_041915 82 attr_82 Other Other
is_041916 161 attr_161 Apoptosis Other
is_041917 5 attr_5 Apoptosis Other
is_041918 170 attr_170 Other Other
is_041919 195 attr_195 Apoptosis Apoptosis
is_041920 19 attr_19 Apoptosis Other
is_041921 214 attr_214 Apoptosis Other
is_041922 183 attr_183 Other Other
is_041923 6 attr_6 Other Other
is_041924 210 attr_210 Other Other
is_041925 240 attr_240 Other Other
is_041926 209 attr_209 Apoptosis Other
is_041927 203 attr_203 Leukemia Other
is_041928 194 attr_194 Other Other
is_041929 161 attr_161 Apoptosis Other
is_041930 4 attr_4 Apoptosis Other
is_041931 108 attr_108 Apoptosis Other
is_041932 169 attr_169 Leukemia Other
is_041933 167 attr_167 Apoptosis Other
is_041934 593 attr_593 Other Other
is_041935 270 attr_270 Other Other
is_041936 23 attr_23 Other Other
is_041937 208 attr_208 Other Other
is_041938 168 attr_168 Other Other
is_041939 4 attr_4 Apoptosis Other
is_041940 347 attr_347 Other Other
is_041941 7 attr_7 Apoptosis Other
is_041942 234 attr_234 Other Other
is_041943 3 attr_3 Other Other
is_041944 162 attr_162 Leukemia Other
is_041945 227 attr_227 Other Other
is_041946 184 attr_184 Apoptosis Other
is_041947 20 attr_20 Other Other
is_041948 189 attr_189 Other Other
is_041949 590 attr_590 Other Other
is_041950 190 attr_190 Other Other
is_041951 174 attr_174 Apoptosis Other
is_041952 622 attr_622 Other Other
is_041953 163 attr_163 Other Other
is_041954 210 attr_210 Other Other
is_041955 88 attr_88 Other Other
is_041956 189 attr_189 Other Other
is_041957 167 attr_167 Apoptosis Other
is_041958 89 attr_89 Apoptosis Other
is_041959 6 attr_6 Other Other
is_041960 207 attr_207 Apoptosis Other
is_041961 181 attr_181 Apoptosis Other
is_041962 170 attr_170 Other Other
is_041963 163 attr_163 Other Other
is_041964 169 attr_169 Leukemia Other
is_041965 695 attr_695 Other Other
is_041966 150 attr_150 Apoptosis Other
is_041967 249 attr_249 Other Other
is_041968 234 attr_234 Other Other
is_041969 19 attr_19 Apoptosis Other
is_041970 239 attr_239 Other Other
is_041971 27 attr_27 Other Other
is_041972 200 attr_200 Other Other
is_041973 158 attr_158 Apoptosis Other
is_041974 15 attr_15 Other Other
is_041975 699 attr_699 Other Other
is_041976 174 attr_174 Apoptosis Other
is_041977 239 attr_239 Other Other
is_041978 160 attr_160 Leukemia Other
is_041979 167 attr_167 Apoptosis Other
is_041980 23 attr_23 Other Other
is_041981 156 attr_156 Other Other
is_041982 88 attr_88 Other Other
is_041983 184 attr_184 Apoptosis Other
is_041984 314 attr_314 Other Other
is_041985 221 attr_221 Other Other
is_041986 162 attr_162 Leukemia Other
is_041987 197 attr_197 Apoptosis Other
is_041988 11 attr_11 Apoptosis Other
is_041989 71 attr_71 Apoptosis Other
is_041990 71 attr_71 Apoptosis Other
is_041991 23 attr_23 Other Other
is_041992 1 attr_1 Leukemia Other
is_041993 299 attr_299 Other Other
is_041994 160 attr_160 Leukemia Other
is_041995 24 attr_24 Other Other
is_041996 266 attr_266 Other Other
is_041997 227 attr_227 Other Other
is_041998 160 attr_160 Leukemia Other
is_041999 197 attr_197 Apoptosis Other
is_042000 18 attr_18 Apoptosis Other
is_042001 189 attr_189 Other Other
is_042002 3 attr_3 Other Other
is_042003 86 attr_86 Other Other
is_042004 155 attr_155 Other Other
is_042005 155 attr_155 Other Other
is_042006 1 attr_1 Leukemia Other
is_042007 23 attr_23 Other Other
is_042008 200 attr_200 Other Other
is_042009 9 attr_9 Other Other
is_042010 324 attr_324 Apoptosis Other
is_042011 4 attr_4 Apoptosis Other
is_042012 341 attr_341 Other Other
is_042013 8 attr_8 Leukemia Other
is_042014 195 attr_195 Apoptosis Apoptosis
is_042015 227 attr_227 Other Other
is_042016 177 attr_177 Other Other
is_042017 195 attr_195 Apoptosis Apoptosis
is_042018 164 attr_164 Other Other
is_042019 150 attr_150 Apoptosis Other
is_042020 72 attr_72 Other Other
is_042021 3 attr_3 Other Other
is_042022 168 attr_168 Other Other
is_042023 324 attr_324 Apoptosis Other
is_042024 734 attr_734 Other Other
is_042025 161 attr_161 Apoptosis Other
is_042026 15 attr_15 Other Other
is_042027 162 attr_162 Leukemia Other
is_042028 161 attr_161 Apoptosis Other
is_042029 166 attr_166 Apoptosis Other
is_042030 203 attr_203 Leukemia Other
is_042031 120 attr_120 Other Other
is_042032 9 attr_9 Other Other
is_042033 442 attr_442 Apoptosis Other
is_042034 8 attr_8 Leukemia Other
is_042035 193 attr_193 Other Other
is_042036 266 attr_266 Other Other
is_042037 272 attr_272 Other Other
is_042038 157 attr_157 Other Other
is_042039 5 attr_5 Apoptosis Other
is_042040 174 attr_174 Apoptosis Other
is_042041 94 attr_94 Other Other
is_042042 220 attr_220 Other Other
is_042043 160 attr_160 Leukemia Other
is_042044 200 attr_200 Other Other
is_042045 16 attr_16 Apoptosis Other
is_042046 21 attr_21 Other Other
is_042047 152 attr_152 Other Other
is_042048 272 attr_272 Other Other
is_042049 73 attr_73 Other Other
is_042050 220 attr_220 Other Other
is_042051 6 attr_6 Other Other
is_042052 594 attr_594 Other Other
is_042053 209 attr_209 Apoptosis Other
is_042054 9 attr_9 Other Other
is_042055 284 attr_284 Leukemia Leukemia
is_042056 190 attr_190 Other Other
is_042057 24 attr_24 Other Other
is_042058 162 attr_162 Leukemia Other
is_042059 4 attr_4 Apoptosis Other
is_042060 170 attr_170 Other Other
is_042061 4 attr_4 Apoptosis Other
is_042062 2 attr_2 Apoptosis Other
is_042063 108 attr_108 Apoptosis Other
is_042064 160 attr_160 Leukemia Other
is_042065 18 attr_18 Apoptosis Other
is_042066 188 attr_188 Other Other
is_042067 162 attr_162 Leukemia Other
is_042068 188 attr_188 Other Other
is_042069 7 attr_7 Apoptosis Other
is_042070 158 attr_158 Apoptosis Other
is_042071 12 attr_12 Leukemia Other
is_042072 170 attr_170 Other Other
is_042073 155 attr_155 Other Other
is_042074 227 attr_227 Other Other
is_042075 203 attr_203 Leukemia Other
is_042076 170 attr_170 Other Other
is_042077 5 attr_5 Apoptosis Other
is_042078 3 attr_3 Other Other
is_042079 174 attr_174 Apoptosis Other
is_042080 1 attr_1 Leukemia Other
is_042081 1 attr_1 Leukemia Other
is_042082 22 attr_22 Other Other
is_042083 153 attr_153 Other Other
is_042084 76 attr_76 Apoptosis Other
is_042085 23 attr_23 Other Other
is_042086 4 attr_4 Apoptosis Other
is_042087 203 attr_203 Leukemia Other
is_042088 166 attr_166 Apoptosis Other
is_042089 177 attr_177 Other Other
is_042090 8 attr_8 Leukemia Other
is_042091 185 attr_185 Other Other
is_042092 211 attr_211 Other Other
is_042093 37 attr_37 Other Other
is_042094 164 attr_164 Other Other
is_042095 194 attr_194 Other Other
is_042096 8 attr_8 Leukemia Other
is_042097 195 attr_195 Apoptosis Apoptosis
is_042098 2 attr_2 Apoptosis Other
is_042099 179 attr_179 Other Other
is_042100 232 attr_232 Apoptosis Other
is_042101 511 attr_511 Apoptosis Other
is_042102 353 attr_353 Other Other
is_042103 203 attr_203 Leukemia Other
is_042104 237 attr_237 Other Other
is_042105 213 attr_213 Other Other
is_042106 240 attr_240 Other Other
is_042107 695 attr_695 Other Other
is_042108 9 attr_9 Other Other
is_042109 266 attr_266 Other Other
is_042110 181 attr_181 Apoptosis Other
is_042111 210 attr_210 Other Other
is_042112 166 attr_166 Apoptosis Other
is_042113 82 attr_82 Other Other
is_042114 229 attr_229 Other Other
is_042115 6 attr_6 Other Other
is_042116 160 attr_160 Leukemia Other
is_042117 203 attr_203 Leukemia Other
is_042118 701 attr_701 Other Other
is_042119 161 attr_161 Apoptosis Other
is_042120 203 attr_203 Leukemia Other
is_042121 166 attr_166 Apoptosis Other
is_042122 220 attr_220 Other Other
is_042123 8 attr_8 Leukemia Other
is_042124 195 attr_195 Apoptosis Apoptosis
is_042125 23 attr_23 Other Other
is_042126 227 attr_227 Other Other
is_042127 188 attr_188 Other Other
is_042128 227 attr_227 Other Other
is_042129 194 attr_194 Other Other
is_042130 150 attr_150 Apoptosis Other
is_042131 169 attr_169 Leukemia Other
is_042132 227 attr_227 Other Other
is_042133 188 attr_188 Other Other
is_042134 262 attr_262 Apoptosis Other
is_042135 7 attr_7 Apoptosis Other
is_042136 184 attr_184 Apoptosis Other
is_042137 2 attr_2 Apoptosis Other
is_042138 69 attr_69 Other Other
is_042139 209 attr_209 Apoptosis Other
is_042140 164 attr_164 Other Other
is_042141 157 attr_157 Other Other
is_042142 150 attr_150 Apoptosis Other
is_042143 12 attr_12 Leukemia Other
is_042144 209 attr_209 Apoptosis Other
is_042145 193 attr_193 Other Other
is_042146 89 attr_89 Apoptosis Other
is_042147 251 attr_251 Other Other
is_042148 120 attr_120 Other Other
is_042149 24 attr_24 Other Other
is_042150 4 attr_4 Apoptosis Other
is_042151 189 attr_189 Other Other
is_042152 173 attr_173 Other Other
is_042153 208 attr_208 Other Other
is_042154 77 attr_77 Other Other
is_042155 252 attr_252 Other Other
is_042156 15 attr_15 Other Other
is_042157 12 attr_12 Leukemia Other
is_042158 179 attr_179 Other Other
is_042159 368 attr_368 Apoptosis Other
is_042160 2 attr_2 Apoptosis Other
is_042161 174 attr_174 Apoptosis Other
is_042162 179 attr_179 Other Other
is_042163 693 attr_693 Other Other
is_042164 214 attr_214 Apoptosis Other
is_042165 16 attr_16 Apoptosis Other
is_042166 197 attr_197 Apoptosis Other
is_042167 202 attr_202 Apoptosis Other
is_042168 218 attr_218 Apoptosis Other
is_042169 15 attr_15 Other Other
is_042170 170 attr_170 Other Other
is_042171 718 attr_718 Other Other
is_042172 18 attr_18 Apoptosis Other
is_042173 475 attr_475 Apoptosis Other
is_042174 152 attr_152 Other Other
is_042175 109 attr_109 Other Other
is_042176 279 attr_279 Other Other
is_042177 189 attr_189 Other Other
is_042178 14 attr_14 Other Other
is_042179 197 attr_197 Apoptosis Other
is_042180 20 attr_20 Other Other
is_042181 16 attr_16 Apoptosis Other
is_042182 174 attr_174 Apoptosis Other
is_042183 7 attr_7 Apoptosis Other
is_042184 165 attr_165 Other Other
is_042185 14 attr_14 Other Other
is_042186 156 attr_156 Other Other
is_042187 15 attr_15 Other Other
is_042188 88 attr_88 Other Other
is_042189 193 attr_193 Other Other
is_042190 13 attr_13 Leukemia Other
is_042191 202 attr_202 Apoptosis Other
is_042192 176 attr_176 Apoptosis Other
is_042193 726 attr_726 Other Other
is_042194 169 attr_169 Leukemia Other
is_042195 227 attr_227 Other Other
is_042196 207 attr_207 Apoptosis Other
is_042197 13 attr_13 Leukemia Other
is_042198 5 attr_5 Apoptosis Other
is_042199 126 attr_126 Apoptosis Other
is_042200 706 attr_706 Other Other
is_042201 194 attr_194 Other Other
is_042202 207 attr_207 Apoptosis Other
is_042203 701 attr_701 Other Other
is_042204 6 attr_6 Other Other
is_042205 174 attr_174 Apoptosis Other
is_042206 105 attr_105 Other Other
is_042207 353 attr_353 Other Other
is_042208 82 attr_82 Other Other
is_042209 319 attr_319 Other Other
is_042210 169 attr_169 Leukemia Other
is_042211 225 attr_225 Leukemia Other
is_042212 15 attr_15 Other Other
is_042213 235 attr_235 Other Other
is_042214 12 attr_12 Leukemia Other
is_042215 170 attr_170 Other Other
is_042216 189 attr_189 Other Other
is_042217 164 attr_164 Other Other
is_042218 203 attr_203 Leukemia Other
is_042219 13 attr_13 Leukemia Other
is_042220 407 attr_407 Other Other
is_042221 227 attr_227 Other Other
is_042222 405 attr_405 Other Other
is_042223 209 attr_209 Apoptosis Other
is_042224 202 attr_202 Apoptosis Other
is_042225 19 attr_19 Apoptosis Other
is_042226 151 attr_151 Other Other
is_042227 195 attr_195 Apoptosis Apoptosis
is_042228 102 attr_102 Other Other
is_042229 150 attr_150 Apoptosis Other
is_042230 267 attr_267 Other Other
is_042231 161 attr_161 Apoptosis Other
is_042232 177 attr_177 Other Other
is_042233 157 attr_157 Other Other
is_042234 181 attr_181 Apoptosis Other
is_042235 23 attr_23 Other Other
is_042236 153 attr_153 Other Other
is_042237 162 attr_162 Leukemia Other
is_042238 8 attr_8 Leukemia Other
is_042239 6 attr_6 Other Other
is_042240 166 attr_166 Apoptosis Other
