ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Gene symbol ID
ENSG00000112033	peroxisome proliferator-activated receptor delta	PPARD	V$PPARDR1_Q2	0.16969696969696968	0.0837871805613741	2.025333333333333	0.8801	0.034981651219927405	PPARD
ENSG00000117010	zinc finger protein 684	ZNF684	V$ZNF684_02	0.6060606060606061	0.3770423125261835	1.6074074074074076	0.7475	0.005480139325395199	ZNF684
ENSG00000118513	v-myb myeloblastosis viral oncogene homolog (avian)	MYB	V$MYB_10	0.15757575757575756	0.06702974444909929	2.350833333333333	0.9645	0.01973421057567755	MYB
ENSG00000120837	nuclear transcription factor Y, beta	NFYB	V$ALPHACP1_01,V$NFYB_01,V$NFY_01,V$NFY_C,V$NFY_Q3,V$NFY_Q6,V$NFY_Q6_01	1.432034632034632	1.1694296486923215	1.5859262669346372	0.861557142857143	0.023520585225248556	NFYB
ENSG00000121454	LIM homeobox 4	LHX4	V$LHX4_01	0.6424242424242425	0.34352744030163385	1.8700813008130082	0.8434	3.7384063160845966E-4	LHX4
ENSG00000124664	SAM pointed domain containing ets transcription factor	SPDEF	V$ETV2SPDEF_01,V$GCM1SPDEF_01,V$SPDEF_05	5.313131313131314	4.654377880184333	2.6918798253798144	0.7653666666666666	0.025154110562282127	SPDEF
ENSG00000124766	SRY (sex determining region Y)-box 4	SOX4	V$SOX4_01	0.24242424242424243	0.10892333472978634	2.2256410256410257	0.9713	0.006561512237905127	SOX4
ENSG00000124782	ras responsive element binding protein 1	RREB1	V$RREB1_01,V$RREB1_04,V$RREB1_05,V$RREB1_06,V$RREB1_Q5	3.2048484848484846	2.6753246753246755	1.5324871392391253	0.7933199999999999	0.025287067345353565	RREB1
ENSG00000128645	homeobox D1	HOXD1	V$HOXD1_01	0.6181818181818182	0.2764976958525346	2.2357575757575754	0.8915	1.9940770141578273E-5	HOXD1
ENSG00000129514	forkhead box A1	FOXA1	V$FOXA1_02,V$FOXA1_08,V$HNF3A_01,V$HNF3A_02	0.4484848484848485	0.2754503560955174	1.754604967948718	0.92095	0.02331046766548917	FOXA1
ENSG00000131115	zinc finger protein 227	ZNF227	V$ZNF227_02,V$ZNF227_05	0.7272727272727273	0.5299539170506912	1.7964435146443514	0.8426499999999999	0.023184611218530438	ZNF227
ENSG00000134438	retina and anterior neural fold homeobox	RAX	V$RAX_01,V$RAX_03	1.0666666666666667	0.6011730205278593	1.820276220145379	0.9194500000000001	3.499123441311835E-5	RAX
ENSG00000136944	LIM homeobox transcription factor 1, beta	LMX1B	V$LMX1B_01,V$LMX1B_03	2.0606060606060606	1.0955173858399665	2.0500004154721845	0.8814	2.644764585588297E-6	LMX1B
ENSG00000138795	lymphoid enhancer-binding factor 1	LEF1	V$LEF1TCF1_Q4,V$LEF1_05,V$LEF1_06,V$LEF1_08,V$LEF1_Q2_01,V$LEF1_Q3,V$LEF1_Q4,V$LEF1_Q5,V$LEF1_Q5_01,V$TCF7RELATED_Q4	1.0412121212121213	0.7892752408881442	1.8609568003438532	0.92524	0.0195420463582042	LEF1
ENSG00000141646	SMAD family member 4	SMAD4	V$TCF4_Q5_02	0.3515151515151515	0.20527859237536658	1.7123809523809521	0.9751	0.016583615707045737	SMAD4
ENSG00000143390	regulatory factor X, 5 (influences HLA class II expression)	RFX5	V$CUX1RFX5_01,V$ETV2RFX5_02,V$HOXB2RFX5_01,V$RFX5_01,V$RFX5_02	0.48484848484848486	0.3259321323837453	1.7212933213611457	0.7638	0.0342885939251633	RFX5
ENSG00000148200	nuclear receptor subfamily 6, group A, member 1	NR6A1	V$GCNF_Q3	0.20606060606060606	0.11730205278592376	1.7566666666666666	0.9587	0.049843238394267575	NR6A1
ENSG00000149050	zinc finger protein 214	ZNF214	V$ZNF214_03,V$ZNF214_04,V$ZNF214_05	0.2585858585858586	0.14942047200111716	2.409804275820536	0.8023333333333333	0.038142107517869214	ZNF214
ENSG00000151090	thyroid hormone receptor, beta	THRB	V$T3RBETA_Q6_01,V$T3R_Q6,V$THRB_01	9.76969696969697	8.98338220918866	1.5272736288093132	0.816	0.02039929891678012	THRB
ENSG00000153560	upstream binding protein 1 (LBP-1a)	UBP1	V$LBP1_Q6	0.787878787878788	0.4608294930875576	1.70969696969697	0.9794	5.467634907801358E-4	UBP1
ENSG00000156273	BTB and CNC homology 1, basic leucine zipper transcription factor 1	BACH1	V$BACH1_02	0.06060606060606061	0.0041893590280687055	14.466666666666667	0.9754	0.005271608843774848	BACH1
ENSG00000156853	zinc finger protein 689	ZNF689	V$ZNF689_03	0.09696969696969697	0.02932551319648094	3.3066666666666666	0.8339	0.020361257995183055	ZNF689
ENSG00000159882	zinc finger protein 230	ZNF230	V$ZNF230_01,V$ZNF230_02	0.296969696969697	0.1759530791788856	2.7325925925925927	0.8900999999999999	0.04256527247893273	ZNF230
ENSG00000162599	nuclear factor I/A	NFIA	V$MYOGNF1_01,V$NF1_Q6	0.5636363636363636	0.4252199413489736	4.250033167495854	0.84165	0.026648103392529026	NFIA
ENSG00000166888	signal transducer and activator of transcription 6, interleukin-4 induced	STAT6	V$STAT6_01,V$STAT6_02,V$STAT6_05,V$STAT6_Q4,V$STAT_01,V$STAT_Q6	3.6969696969696972	3.132244099986036	1.5922390215920579	0.9228666666666666	0.011148379708095978	STAT6
ENSG00000166949	SMAD family member 3	SMAD3	V$SMAD3_02,V$TCF4_Q5_02	0.24242424242424243	0.13196480938416422	1.9928571428571424	0.92265	0.026194526540707915	SMAD3
ENSG00000167074	thyrotrophic embryonic factor	TEF	V$ETV2TEF_01,V$TEF_Q6	0.4303030303030303	0.2660242982823628	1.8294834307992205	0.80815	0.016933606489263838	TEF
ENSG00000167377	zinc finger protein 23	ZNF23	V$ZNF23_01,V$ZNF23_02	5.5636363636363635	4.451193967323	1.8760046332685225	0.81385	0.0012729548179179764	ZNF23
ENSG00000168036	catenin (cadherin-associated protein), beta 1, 88kDa	CTNNB1	V$BETACATENIN_Q3,V$BETACATENIN_Q3_01,V$BETACATENIN_Q6,V$BETACATENIN_Q6_01,V$TCF4_Q5_02	0.9696969696969697	0.6979472140762464	1.5485808586546583	0.9391400000000001	0.011730351974030523	CTNNB1
ENSG00000169131	zinc finger protein 354A	ZNF354A	V$TCF17_04	0.06060606060606061	0.008378718056137411	7.233333333333333	0.9669	0.014532165867566236	ZNF354A
ENSG00000172238	atonal homolog 1 (Drosophila)	ATOH1	V$MATH1_01,V$MATH1_Q2	0.4909090909090909	0.2220360284876414	2.224512077294686	0.96105	1.563337327101773E-4	ATOH1
ENSG00000175745	nuclear receptor subfamily 2, group F, member 1	NR2F1	V$COUPDR1_Q6,V$COUPTF_Q6,V$COUP_01,V$NR2F1_02,V$NR2F1_06	3.2218181818181817	2.8755760368663594	2.209066178165117	0.8186399999999999	0.020795931475362957	NR2F1
ENSG00000177374	hypermethylated in cancer 1	HIC1	V$HIC1_02,V$HIC1_03	6.466666666666667	5.79388353581902	2.7245555555555554	0.93295	0.0037286129857687293	HIC1
ENSG00000178338	zinc finger protein 354B	ZNF354B	V$ZNF354B_02	0.5212121212121212	0.2932551319648094	1.7773333333333332	0.8334	0.0025597323376189366	ZNF354B
ENSG00000180818	homeobox C10	HOXC10	V$HOXA913_Q4,V$HOXC10_04,V$HOXC10_05	1.515151515151515	1.1143695014662758	1.6751443081877861	0.9300333333333333	0.00466717157758005	HOXC10
ENSG00000183072	NK2 homeobox 5	NKX2-5	V$NKX25_02,V$NKX25_08,V$NKX25_Q6,V$TBX5CSX_Q5	4.83939393939394	4.235441977377461	2.507473980620727	0.920525	0.019671876025309037	NKX2-5
ENSG00000185219	zinc finger protein 445	ZNF445	V$ZNF445_02,V$ZNF445_03	0.49090909090909085	0.29325513196480935	1.9149786324786324	0.8697999999999999	0.013653545322688837	ZNF445
ENSG00000185630	pre-B-cell leukemia homeobox 1	PBX1	V$MEIS1BHOXA9PBX1A_01,V$PBX1_01,V$PBX1_05,V$PBX1_10,V$PBX1_11,V$PBX_Q3	2.323232323232323	1.9906437648373132	1.5517169007903835	0.8464166666666667	0.027207815178400017	PBX1
ENSG00000186350	retinoid X receptor, alpha	RXRA	V$DR3_Q4,V$FXRRXRA_02,V$FXRRXR_Q5,V$FXR_Q2,V$PPARARXRA_01,V$PPARA_02,V$PPARDR1_Q2,V$PPARGRXRA_02,V$PXRRXR_01,V$RXRA_05,V$RXRA_07,V$RXRA_14,V$RXRA_16,V$RXRA_18,V$T3R_Q6,V$VDRRXRA_01	3.5106060606060607	3.083368244658567	2.819527357237164	0.8395375	0.031034980991092632	RXRA
ENSG00000186448	zinc finger protein 197	ZNF197	V$ZNF197_03	0.26666666666666666	0.16338500209467952	1.632136752136752	0.6865	0.04722055619075072	ZNF197
ENSG00000187187	zinc finger protein 546	ZNF546	V$ZNF546_01,V$ZNF546_03,V$ZNF546_04	0.921212121212121	0.6884513336126239	2.438515686940763	0.7345	0.017537305492398902	ZNF546
ENSG00000196357	zinc finger protein 565	ZNF565	V$ZNF565_01,V$ZNF565_02	0.9333333333333333	0.689149560117302	1.6375462962962963	0.78895	0.010637459756842063	ZNF565
ENSG00000196967	zinc finger protein 585A	ZNF585A	V$ZNF585A_01,V$ZNF585A_02,V$ZNF585A_04	0.5696969696969697	0.4021784666945957	2.261851851851852	0.7787666666666667	0.01478682931686502	ZNF585A
ENSG00000197566	zinc finger protein 624	ZNF624	V$ZNF624_03,V$ZNF624_04	0.12727272727272726	0.04189359028068705	3.5684444444444443	0.8457	0.010453714017266847	ZNF624
ENSG00000197619	zinc finger protein 615	ZNF615	V$ZNF615_02,V$ZNF615_03	0.8363636363636364	0.6702974444909929	3.5029350104821804	0.7261	0.036610478844259206	ZNF615
ENSG00000198963	RAR-related orphan receptor B	RORB	V$RORB_01,V$RORB_03	0.20606060606060606	0.12358609132802681	3.2418484848484845	0.8532	0.04793555789829912	RORB
ENSG00000213762	zinc finger protein 134	ZNF134	V$ZNF134_01,V$ZNF134_02,V$ZNF134_03,V$ZNF134_04	3.451515151515152	2.7209886887306243	1.6549939925883352	0.7623500000000001	0.012934012064987808	ZNF134
ENSG00000244405	ets variant 5	ETV5	V$ERM_03,V$ETV5DLX2_01,V$ETV5DRGX_01,V$ETV5EOMES_01,V$ETV5ETV7_01,V$ETV5EVX1_01,V$ETV5FIGLA_01,V$ETV5FOXI1_01,V$ETV5FOXO1_02,V$ETV5HES7_01,V$ETV5HOXA2_01,V$ETV5TCF3_01	6.3989898989899	5.647605083088956	1.8327045208644053	0.7744749999999999	0.024629658902381182	ETV5
ENSG00000269699	zinc finger, imprinted 2	ZIM2	V$ZIM2_01	0.46060606060606063	0.2220360284876414	2.0744654088050316	0.7241	6.016258099419752E-4	ZIM2
