Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset
EZH2	 	transcription regulator	 	1.4	3.61E-05	C3,CD82,CDH1,CDKN1A,EGFR,MYC,SERPINA1,SMAD3,TGFBR1,TP53
FOXA1	 	transcription regulator	 	0.167	1.31E-05	ANXA1,CDH1,CDKN1A,LYN,MYC,RASSF1,S100A2
FOXC2	 	transcription regulator	 	 	1.46E-05	CDH1,FN1,PDGFRB
FOXM1	 	transcription regulator	Activated	2.638	4.50E-10	AURKB,CCNA2,CDC20,CDC25A,CDK1,CDKN1A,CTNNB1,MAPK8,MYC,PLK1
FOXO1	 	transcription regulator	 	-1.118	5.02E-06	CDK1,CDKN1A,CTGF,IRS1,ITGA3,KIF11,TGFB1,THBS1
HDAC1	1.204	transcription regulator	 	 	2.42E-05	BRCA2,CD44,CDH1,CDKN1A,COL1A1,MDM2
HDAC2	1.365	transcription regulator	 	 	1.41E-06	BRCA1,CDH1,CDKN1A,ITGB8,MDM2,MYC
HIF1A	 	transcription regulator	Inhibited	-2.449	1.32E-07	CD44,CDKN1A,CTGF,EGFR,FN1,HDAC3,HUWE1,IGFBP3,IRS2,ITGA5
HLX	 	transcription regulator	 	 	1.96E-04	JUN,MYC,RB1
HOXA5	 	transcription regulator	 	 	1.46E-05	CDKN1A,MDM2,TP53
HOXD10	 	transcription regulator	 	-0.447	2.30E-06	EZR,ICAM1,ITGA3,ITGB4,MMP14
HSF1	 	transcription regulator	 	-0.071	4.29E-09	CHD3,CTNNB1,FBLN1,HSP90AA1,HSPA1A/HSPA1B,IL7R,ITGB5,MAPT,NCOR1,NCOR2
JUN	-1.672	transcription regulator	 	1.069	2.00E-06	ATF3,ICAM1,ITGAV,ITGB4,ITGB8,JUN,MYC,PLAUR,RASA1,TP53
JUNB	 	transcription regulator	 	 	1.46E-04	ITGAV,ITGB4,PLAUR,ROCK1
KDM5B	 	transcription regulator	 	-1.924	8.91E-04	AURKA,BRCA1,CAV1,CDK1,NDC80,PBK,TOP2A
MDM2	-1.591	transcription regulator	 	 	2.26E-04	CDKN1A,IGF1R,MDM2,THBS1
MTA1	 	transcription regulator	 	 	1.24E-04	BRCA1,CTNNB1,GSK3B
MYC	3.21	transcription regulator	 	0.171	1.33E-07	CD44,CDC25A,CDKN1A,CHEK1,COL1A1,ITGA3,JUN,MYC,PDGFRB,PLAUR
NEUROG1	 	transcription regulator	 	0.816	3.29E-04	C3,CD82,DSP,FN1,ITGB3,THBS1
PAX2	 	transcription regulator	 	 	3.70E-06	ERBB2,ITGAV,ITGB3
PAX5	 	transcription regulator	 	1.067	2.55E-05	CTNNB1,FN1,TP53,VIM
PCGF2	 	transcription regulator	 	 	2.90E-04	NFKB1,SMAD3,TP53
PHB2	 	transcription regulator	 	0	1.72E-05	SOCS1,SOCS3,SOCS5,STAT3
POU5F1	 	transcription regulator	 	0.707	4.32E-04	BIRC6,CASP1,CASP3,CASP6,CASP7,FAS,IGF1R,TP53
PPP1R13L	 	transcription regulator	 	-0.816	5.92E-08	CDKN1A,CTNNB1,DSP,ITGA3,ITGAV,ITGB1
PTTG1	3.501	transcription regulator	 	 	3.64E-05	CCNA2,CD44,CDH1,VIM
PURA	 	transcription regulator	 	 	2.40E-04	AR,CASP8
RAD21	 	transcription regulator	 	 	7.34E-04	IRS2,MYC,THBS1
RBPJ	 	transcription regulator	 	0.655	7.62E-05	CD44,CDKN1A,JUN,NFKB1,TNC
RELA	 	transcription regulator	 	-1.177	5.00E-09	CAV1,CDKN1A,COL1A1,CTCF,ERBB2,FAS,MYC,PLK1,PPM1D,TGFB1
SF1	 	transcription regulator	 	 	7.15E-05	COL1A1,FN1,ICAM1
SMAD1	 	transcription regulator	 	 	5.57E-04	COL1A1,CTGF,ICAM1
SMAD3	1.981	transcription regulator	 	-1.067	4.63E-04	C3,CDKN1A,COL1A1,FN1,MYC
SMARCA4	 	transcription regulator	 	-0.927	1.12E-07	ACTN4,CDKN1A,CTGF,FN1,IFI16,ITGA3,ITGA5,ITGB1,JUN,MYC
SMARCB1	 	transcription regulator	 	-1.41	4.62E-06	CCNA2,CDKN1A,MDM2,MYC,TP53
SNAI1	 	transcription regulator	Inhibited	-2.183	4.38E-05	CD55,CDH1,COL1A1,KRT8,SPARC
SNAI2	 	transcription regulator	 	0.319	2.30E-06	BRCA2,CDH1,ITGA3,ITGB1,ITGB4
SP1	-1.556	transcription regulator	 	0.152	1.26E-06	CAV1,CDH1,CDKN1A,COL1A1,EZR,FN1,IGFBP3,LTBP3,PRKCA,SOCS1
SP3	 	transcription regulator	 	 	2.53E-04	CDKN1A,COL1A1,IGFBP3,ITGB8,TGFBR1
SPDEF	 	transcription regulator	 	 	2.05E-09	CDKN1A,EGFR,ITGA5,ITGA6,PLAUR,PTPRF,VASP
SRSF2	 	transcription regulator	 	 	7.13E-04	CDH1,MAPT
SSRP1	 	transcription regulator	 	 	2.26E-04	COP1,HNRNPK,KRT8,MSN
STAT3	1.167	transcription regulator	 	0.365	5.69E-10	BCL3,CASP3,CDH1,CDKN1A,CHEK1,FN1,ITGAV,ITGB1,JAK2,KAT2B
SUPT16H	 	transcription regulator	 	 	2.26E-04	COP1,HNRNPK,KRT8,MSN
TFAP2C	 	transcription regulator	 	0.492	2.36E-06	CDH1,CDKN1A,EGFR,ERBB2,KRT8,TGFA
TWIST1	 	transcription regulator	 	-0.816	3.03E-07	CASP3,CDKN1A,COL1A1,DCN,FAS,RHOA,TP53
TWIST2	 	transcription regulator	 	-1.877	3.45E-09	CD44,CDH1,CDKN1A,CTNNB1,FN1,TGFB1,VIM
VDR	 	transcription regulator	 	 	7.34E-04	CDKN1A,COL1A1,PLCG1
WWC1	 	transcription regulator	 	 	2.90E-04	CDH1,CTGF,VIM
WWTR1	 	transcription regulator	 	 	1.96E-04	CD44,CTGF,FN1
XBP1	 	transcription regulator	 	 	8.67E-04	CRK,ICAM1,MYC,TFDP1
YAP1	 	transcription regulator	 	1.109	1.81E-07	AURKB,CASP3,CASP8,CDC42,CTGF,EGFR,PLK1
YY1	 	transcription regulator	 	 	1.96E-04	BRCA1,ERBB2,NR3C1
ZEB1	 	transcription regulator	 	-1.963	1.15E-04	CDH1,COL1A1,FN1,VIM
