ID	Gene symbol ID	Activation z-score	Average Intensity	Description	Expr Log Ratio	Gene description	Gene symbol ID_1	Gene_Symbol	Gene_symbol_1	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	Mechanistic Network	Model cutoff	Molecule Type	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	No density per 1000bp	P-value	Predicted Activation State	Site model ID	Target molecules in dataset	Transcript_ID	UniProt ID	Yes density per 1000bp	Yes-No ratio	abs_zscore	p-value of overlap	sd_mcf10a	zscore
ENSG00000111206	FOXM1		NaN	forkhead box M1		forkhead box M1	FOXM1	FOXM1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769		0.92635	transcription regulator	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	0.2286401925391095	0.025563861322852516		V$FOXM1_01,V$FOXM1_Q3	ANXA1,CDC20,PLK1,VIM	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003		0.4375	2.3923354935194414	151.1253732	5.5E-4	0.011678708	151.1253732
ENSG00000115414	FN1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000115750	TAF1B		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000115760	BIRC6		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000116017	ARID3A		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000116670	MAD2L2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000116809	ZBTB17	-2.449	NaN	zinc finger and BTB domain containing 17		zinc finger and BTB domain containing 17	ZBTB17	ZBTB17	ZBTB17	7709	7.967092306	7.663528	238	5.566699	279	6.607929	265	5.210648	205	227.0133295	0.054733635	-1.22668483	0.136031941	0.030244154	-2.16687805	7.671009487	5.613012	169	6.229498	176	6.250545	246	5.622655	258		0.771	transcription regulator	8.02114045	7.86987418	7.89722453	7.81287589	7.70546597	7.76036154	7.78558574	7.68416989	7.984356197352587	1.0741239085784452E-22	Inhibited	V$MIZ1_01	CDC20,NDC80,NUF2,PLK1,TOP2A,TPX2	NM_001242884,NM_001287603,NM_001287604,NM_001324137,NM_001324138,NM_003443		13.020833333333334	1.6307931424265263	3.368307382	3.12E-7	0.087902553	-3.368307382
ENSG00000117153	KLHL12		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000117399	CDC20		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000120656	TAF12		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000123384	LRP1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000124216	SNAI1		NaN	snail family transcriptional repressor 1		snail homolog 1 (Drosophila)	SNAI1	SNAI1	SNAI1	6615	4.625486381	0.101029	2	1.784798	55	0.076636	2	1.758219	43	24.90475624	0.985209794	1.016105673	0.892388574	0.979392889	0.025830056	4.651098717	1.25347	24	0.929861	17	1.161448	29	1.257406	36		0.84522	transcription regulator	3.62565224	4.96624096	3.55789237	4.95589027	4.57236446	4.37059965	4.51695118	4.54677495	3.004813477737666	0.029312528291566775		V$SNA_01,V$SNA_02,V$SNA_04,V$SNA_05,V$SNA_Q4	CD55,FN1,GSN,TGFB1	NM_005985		3.5291666666666663	3.0387169882967937	0.032377359	6.58E-4	0.79105698	0.032377359
ENSG00000129682	FGF13		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000131747	TOP2A		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000131788	PIAS3		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000132670	PTPRA		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000135046	ANXA1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000135823	STX6		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000135924	DNAJB2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000136603	SKIL		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000140443	IGF1R		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000141510	TP53		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000141646	SMAD4		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000143207	RFWD2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000143228	NUF2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000146648	EGFR		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000147526	TACC1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000148180	GSN		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000149679	CABLES2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000149948	HMGA2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000152465	NMT2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000154310	TNIK		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000156711	MAPK13		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000160691	SHC1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000162772	ATF3		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000163235	TGFA		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000164104	HMGB2		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000166851	PLK1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000168036	CTNNB1	-0.034	NaN	catenin beta 1		catenin (cadherin-associated protein), beta 1, 88kDa	CTNNB1	CTNNB1	CTNNB1	1499	12.8577624	127.514076	4958	168.688439	10492	125.134607	6327	160.271492	7974	5749.435765	1.27E-5	-1.821171473	0.184708001	2.84E-6	-4.682345983	11.99293703	92.292691	3490	92.699634	3321	99.840355	4837	93.536526	5407	38 (21)	0.9449799999999999	transcription regulator	12.49892803	12.86679471	12.48924827	12.83456686	12.17006454	12.15239972	12.21129594	12.16066965	1.0770156438026475	0.03527558101500054		V$BETACATENIN_Q3,V$BETACATENIN_Q3_01,V$BETACATENIN_Q6,V$BETACATENIN_Q6_01,V$TCF4_Q5_02	ANXA1,BGN,EGFR,FN1,PLK1,SERPINA1,TGFA,TNIK,TP53,VIM	NM_001098209,NM_001098210,NM_001330729,NM_001904		1.3791666666666667	1.7762417085602569	4.191331278	3.07E-4	0.206336677	-4.191331278
ENSG00000168056	LTBP3		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000168610	STAT3	-0.520	167.9039331818393	signal transducer and activator of transcription 3		signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	STAT3	STAT3	6774	10.87651865	18.30597	1011	25.839646	2309	29.939754	2141	29.928032	2103	2037.481955	0.429944633	1.167308955	0.233579961	0.339323171	0.955503432	11.09998005	40.832419	2152	31.216423	1567	40.515674	2853	31.786049	2546	41 (17)	0.8454	transcription regulator	10.56428801	10.96178244	10.96925717	11.0879189	11.16121217	10.91066701	11.16668464	10.91759214	0.3309265944645006	0.012014118316663344		V$STAT3STAT3_Q3	FN1,ICAM1,IGF1R,IL4R,SERPINA1,TGFB1,TP53,VIM	NM_003150,NM_139276,NM_213662	P40763,P40763-2	0.5833333333333334	1.7627272727272727	0.978190448	3.02E-4	0.228443654	0.978190448
ENSG00000168615	ADAM9		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000168685	IL7R		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000169679	BUB1		NaN								NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN			NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN						NaN	NaN	NaN	NaN	NaN	NaN
