node	MCF10A_1		MCF10A_2		MCF10A_3		MCF10A_4		MDA-MB-231_1		MDA-MB-231_2		MDA-MB-231_3		MDA-MB-231_4
RPS6KA5:	0.117397808	RPS6KA5:	0.210694246	RPS6KA5:	0.171869593	RPS6KA5:	0.210694246	RPS6KA5:	0.623927777	RPS6KA5:	0.623964468	RPS6KA5:	0.663972253	RPS6KA5:	0.697925506
MAPKAPK2:	0.617846953	MAPKAPK2:	0.655535871	MAPKAPK2:	0.62188131	MAPKAPK2:	0.655535871	MAPKAPK2:	0.207746511	MAPKAPK2:	0.207746511	MAPKAPK2:	0.245435429	MAPKAPK2:	0.241401072
MAPKAPK3:	0.019454706	MAPKAPK3:	0.072754885	MAPKAPK3:	0.025160149	MAPKAPK3:	0.072754885	MAPKAPK3:	0.611047838	MAPKAPK3:	0.611047838	MAPKAPK3:	0.664348017	MAPKAPK3:	0.658642574
PTPN11:	0.188630344	PTPN11:	0.240076484	PTPN11:	0.196764693	PTPN11:	0.240076484	PTPN11:	0.535055046	PTPN11:	0.586501187	PTPN11:	0.535055046	PTPN11:	0.578366838
STK10:	0.188630344	STK10:	0.240076484	STK10:	0.196764693	STK10:	0.240076484	STK10:	0.535055046	STK10:	0.586501187	STK10:	0.535055046	STK10:	0.578366838
MAPK6:	0	MAPK6:	0.5	MAPK6:	0	MAPK6:	0.5	MAPK6:	0.176776695	MAPK6:	0.176776695	MAPK6:	0.676776695	MAPK6:	0.676776695
RPS6KA2:	0.5	RPS6KA2:	0.575377836	RPS6KA2:	0.5	RPS6KA2:	0.075377836	RPS6KA2:	0.02665009	RPS6KA2:	0.02665009	RPS6KA2:	0.602027926	RPS6KA2:	0.102027926
RPS6KA3:	0	RPS6KA3:	0.075377836	RPS6KA3:	0	RPS6KA3:	0.075377836	RPS6KA3:	0.52665009	RPS6KA3:	0.52665009	RPS6KA3:	0.602027926	RPS6KA3:	0.602027926
RPS6KB1:	0.524749875	RPS6KB1:	0.102214173	RPS6KB1:	0.628690105	RPS6KB1:	0.102214173	RPS6KB1:	0.147136432	RPS6KB1:	0.65460661	RPS6KB1:	0.137579791	RPS6KB1:	0.730091976
RARA:	0.535001609	RARA:	0.591252491	RARA:	0.681995292	RARA:	0.591252491	RARA:	0.117069094	RARA:	0.127633523	RARA:	0.050253784	RARA:	0.181085771
SPI1:	0.032220054	SPI1:	0.017279696	SPI1:	0.136160284	SPI1:	0.017279696	SPI1:	0.122555731	SPI1:	0.137496088	SPI1:	0.028064613	SPI1:	0.128046977
YAP1:	0.035001609	YAP1:	0.091252491	YAP1:	0.181995292	YAP1:	0.091252491	YAP1:	0.617069094	YAP1:	0.627633523	YAP1:	0.550253784	YAP1:	0.681085771
MAPKAP1:MLST8:MTOR:RICTOR:	0	MAPKAP1:MLST8:MTOR:RICTOR:	0	MAPKAP1:MLST8:MTOR:RICTOR:	0	MAPKAP1:MLST8:MTOR:RICTOR:	0	MAPKAP1:MLST8:MTOR:RICTOR:	0.102062073	MAPKAP1:MLST8:MTOR:RICTOR:	0.102062073	MAPKAP1:MLST8:MTOR:RICTOR:	0.102062073	MAPKAP1:MLST8:MTOR:RICTOR:	0.102062073
PIAS1:	0.728849643	PIAS1:	0.739342829	PIAS1:	0.926842488	PIAS1:	0.936212446	PIAS1:	0.057839886	PIAS1:	0.057839886	PIAS1:	0.265202689	PIAS1:	0.26407946
MTOR:	0	MTOR:	0	MTOR:	0	MTOR:	0	MTOR:	0.5	MTOR:	0.5	MTOR:	0.5	MTOR:	0.5
MTOR:RICTOR:	0	MTOR:RICTOR:	0	MTOR:RICTOR:	0	MTOR:RICTOR:	0	MTOR:RICTOR:	0.102062073	MTOR:RICTOR:	0.102062073	MTOR:RICTOR:	0.102062073	MTOR:RICTOR:	0.102062073
MTOR:RPTOR:	0	MTOR:RPTOR:	0	MTOR:RPTOR:	0	MTOR:RPTOR:	0	MTOR:RPTOR:	0.102062073	MTOR:RPTOR:	0.102062073	MTOR:RPTOR:	0.102062073	MTOR:RPTOR:	0.102062073
MVD:	0.502914838	MVD:	0.972505195	MVD:	0.004646649	MVD:	0.973098262	MVD:	0.167253269	MVD:	0.197231551	MVD:	0.854230123	MVD:	0.262408478
AKT1:	0.409336964	AKT1:	0.945444165	AKT1:	0.431120664	AKT1:	0.883188465	AKT1:	0.406058656	AKT1:	0.927666831	AKT1:	0.427514198	AKT1:	1.032025762
PMVK:	0.005829676	PMVK:	0.94501039	PMVK:	0.009293297	PMVK:	0.946196525	PMVK:	0.334506539	PMVK:	0.394463101	PMVK:	0.708460246	PMVK:	0.524816956
CSNK2A1:	0.583555558	CSNK2A1:	0.192987982	CSNK2A1:	0.588002137	CSNK2A1:	0.18028009	CSNK2A1:	0.082886376	CSNK2A1:	0.189359199	CSNK2A1:	0.58726597	CSNK2A1:	0.710661376
UBE2I:	0.229955852	UBE2I:	0.174492198	UBE2I:	0.263093693	UBE2I:	0.201655268	UBE2I:	0.768307302	UBE2I:	0.699015207	UBE2I:	0.802909903	UBE2I:	0.740421327
CTNNB1:	0.824820752	CTNNB1:	0.926332276	CTNNB1:	0.984050575	CTNNB1:	0.874913885	CTNNB1:	0.421808787	CTNNB1:	0.432387137	CTNNB1:	0.434968465	CTNNB1:	0.555738298
EP300:	0.58329974	EP300:	0.239321057	EP300:	0.657773239	EP300:	0.230335221	EP300:	0.596863948	EP300:	0.172203492	EP300:	0.60329205	EP300:	0.244268373
JUN:	0.167187225	JUN:	0.767292231	JUN:	0.379669755	JUN:	0.843645007	JUN:	0.362003264	JUN:	0.890649208	JUN:	0.337522264	JUN:	0.906879975
MDM2:	0.235859397	MDM2:	0.636463111	MDM2:	0.062226908	MDM2:	0.627477274	MDM2:	0.297886214	MDM2:	0.373173869	MDM2:	0.624206359	MDM2:	0.888236783
PAK2:	0	PAK2:	0	PAK2:	0	PAK2:	0	PAK2:	0.5	PAK2:	0.5	PAK2:	0.5	PAK2:	0.5
CHEK1:	0.195995574	CHEK1:	0.079874599	CHEK1:	0.271338409	CHEK1:	0.079874599	CHEK1:	0.707809425	CHEK1:	0.889103944	CHEK1:	0.702630371	CHEK1:	0.944740012
PBK:	0	PBK:	0	PBK:	0	PBK:	0	PBK:	0.5	PBK:	0.5	PBK:	0.5	PBK:	0.5
GSK3B:	0.523707297	GSK3B:	0.626599578	GSK3B:	0.539975995	GSK3B:	0.626599578	GSK3B:	0.070110092	GSK3B:	0.173002373	GSK3B:	0.070110092	GSK3B:	0.156733675
PTPN1:	0	PTPN1:	0	PTPN1:	0	PTPN1:	0	PTPN1:	0.5	PTPN1:	0.5	PTPN1:	0.5	PTPN1:	0.5
SUMO1:	0.210400769	SUMO1:	0.213429891	SUMO1:	0.76755638	SUMO1:	0.770261254	SUMO1:	0.016696937	SUMO1:	0.016696937	SUMO1:	0.576557422	SUMO1:	0.576233174
RAC1:	0	RAC1:	0	RAC1:	0	RAC1:	0	RAC1:	0.5	RAC1:	0.5	RAC1:	0.5	RAC1:	0.5
RAF1:	0.195368604	RAF1:	0.195368604	RAF1:	0.195368604	RAF1:	0.195368604	RAF1:	0.510416667	RAF1:	0.510416667	RAF1:	0.510416667	RAF1:	0.510416667
TCF3:	0.843202694	TCF3:	0.547154008	TCF3:	0.353952018	TCF3:	0.545857015	TCF3:	0.262762319	TCF3:	0.659192367	TCF3:	0.263690135	TCF3:	0.169594037
PKM:	0.551770937	PKM:	0.615220713	PKM:	0.053439344	PKM:	0.547438331	PKM:	0.121957038	PKM:	0.540451902	PKM:	0.122462653	PKM:	0.124846195
AMOTL1:	0.5	AMOTL1:	0.5	AMOTL1:	0.5	AMOTL1:	0.5	AMOTL1:	0	AMOTL1:	0	AMOTL1:	0	AMOTL1:	0
MAPK1:	0.193736304	MAPK1:	0.82286357	MAPK1:	0.764370653	MAPK1:	0.82286357	MAPK1:	0.306035439	MAPK1:	0.306450543	MAPK1:	0.332685529	MAPK1:	0.762466284
ARAF:	0	ARAF:	0	ARAF:	0	ARAF:	0	ARAF:	0.644337567	ARAF:	0.644337567	ARAF:	0.644337567	ARAF:	0.644337567
MAP2K1:	0.11614156	MAP2K1:	0.620208734	MAP2K1:	0.195841578	MAP2K1:	0.620208734	MAP2K1:	0.343467904	MAP2K1:	0.847535078	MAP2K1:	0.343467904	MAP2K1:	0.76783506
PPM1A:	0.5	PPM1A:	0	PPM1A:	0.5	PPM1A:	0.5	PPM1A:	0	PPM1A:	0	PPM1A:	0.5	PPM1A:	0
ATM:	0.5	ATM:	0.5	ATM:	0.5	ATM:	0.5	ATM:	0	ATM:	0	ATM:	0	ATM:	0
CHEK2:	0.371857181	CHEK2:	0.394290064	CHEK2:	0.372447052	CHEK2:	0.370325373	CHEK2:	0.543118324	CHEK2:	0.514301907	CHEK2:	0.543297086	CHEK2:	0.544139796
AURKA:	0.108009673	AURKA:	0.18483364	AURKA:	0.160922885	AURKA:	0.112830789	AURKA:	0.688876089	AURKA:	0.835612353	AURKA:	0.714806096	AURKA:	0.830542616
LATS2:	0.681926583	LATS2:	0.667685155	LATS2:	0.712665336	LATS2:	0.648766669	LATS2:	0.475924418	LATS2:	0.544397099	LATS2:	0.478802626	LATS2:	0.568226348
PLK1:	0.210672626	PLK1:	0.299011209	PLK1:	0.270827118	PLK1:	0.215241484	PLK1:	0.892838173	PLK1:	0.949291894	PLK1:	0.919126405	PLK1:	1.001269078
PPP2CA:	0	PPP2CA:	0.5	PPP2CA:	0	PPP2CA:	0.5	PPP2CA:	0	PPP2CA:	0.5	PPP2CA:	0	PPP2CA:	0.5
BRAF:	0	BRAF:	0	BRAF:	0.5	BRAF:	0	BRAF:	0.5	BRAF:	0.5	BRAF:	0.5	BRAF:	0
PPP3C:	0	PPP3C:	0	PPP3C:	0	PPP3C:	0	PPP3C:	0	PPP3C:	0	PPP3C:	0	PPP3C:	0
CASP3:	0	CASP3:	0.5	CASP3:	0.5	CASP3:	0.5	CASP3:	0	CASP3:	0.5	CASP3:	0	CASP3:	0
PRKCD:	0	PRKCD:	0.25	PRKCD:	0.25	PRKCD:	0.25	PRKCD:	0.5	PRKCD:	0.75	PRKCD:	0.5	PRKCD:	0.5
PPP4C:	0	PPP4C:	0	PPP4C:	0	PPP4C:	0	PPP4C:	0.5	PPP4C:	0.5	PPP4C:	0.5	PPP4C:	0.5
TRIM28:	0.5	TRIM28:	0	TRIM28:	0	TRIM28:	0	TRIM28:	0.676776695	TRIM28:	0.676776695	TRIM28:	0.176776695	TRIM28:	0.676776695
CDC25A:	0	CDC25A:	0	CDC25A:	0	CDC25A:	0	CDC25A:	0.5	CDC25A:	0.5	CDC25A:	0.5	CDC25A:	0.5
CDK1:	0	CDK1:	0	CDK1:	0	CDK1:	0	CDK1:	0.853553391	CDK1:	0.853553391	CDK1:	0.853553391	CDK1:	0.853553391
PRKACA:	0.5	PRKACA:	0.5	PRKACA:	0.5	PRKACA:	0.5	PRKACA:	0	PRKACA:	0	PRKACA:	0	PRKACA:	0
EGFR:	0.102651611	EGFR:	0.194803333	EGFR:	0.143016794	EGFR:	0.18169586	EGFR:	0.699720528	EGFR:	0.671268686	EGFR:	0.727905906	EGFR:	0.746444477
CDC25C:	0	CDC25C:	0	CDC25C:	0	CDC25C:	0	CDC25C:	0.5	CDC25C:	0.5	CDC25C:	0.5	CDC25C:	0.5
CDC37:	0.17283201	CDC37:	0.17283201	CDC37:	0.17283201	CDC37:	0.17283201	CDC37:	0.579056942	CDC37:	0.579056942	CDC37:	0.579056942	CDC37:	0.579056942
FOS:	0.12493022	FOS:	0.718456457	FOS:	0.683804605	FOS:	0.64481557	FOS:	1.0635576	FOS:	0.562105553	FOS:	0.682913877	FOS:	0.63594346
CDK5:	0.5	CDK5:	0.5	CDK5:	0.5	CDK5:	0	CDK5:	0.5	CDK5:	0	CDK5:	0	CDK5:	0
PRMT5:	0	PRMT5:	0	PRMT5:	0	PRMT5:	0	PRMT5:	0.5	PRMT5:	0.5	PRMT5:	0.5	PRMT5:	0.5
STAT3:	0.415425261	STAT3:	0.455954916	STAT3:	0.950401431	STAT3:	0.880851301	STAT3:	0.958665998	STAT3:	0.40195744	STAT3:	0.882876649	STAT3:	0.411213108
PAK1:	0.206318046	PAK1:	0.568231555	PAK1:	0.707890149	PAK1:	0.063738637	PAK1:	0.206081455	PAK1:	0.743725282	PAK1:	0.38440657	PAK1:	0.928033435
PRPF4:	0	PRPF4:	0	PRPF4:	0	PRPF4:	0	PRPF4:	0.5	PRPF4:	0.5	PRPF4:	0.5	PRPF4:	0.5
CDK6:	0	CDK6:	0.5	CDK6:	0	CDK6:	0.5	CDK6:	0	CDK6:	0.5	CDK6:	0	CDK6:	0.5
PKN1:	0	PKN1:	0.176776695	PKN1:	0	PKN1:	0.176776695	PKN1:	0.5	PKN1:	0.676776695	PKN1:	0.5	PKN1:	0.676776695
PTK6:	0	PTK6:	0.02665009	PTK6:	0	PTK6:	0.02665009	PTK6:	0.686198925	PTK6:	0.686198925	PTK6:	0.712849014	PTK6:	0.712849014
RELA:	0.343409547	RELA:	0.764287747	RELA:	0.354476509	RELA:	0.314670286	RELA:	0.808971473	RELA:	0.268327561	RELA:	0.812325342	RELA:	0.828135972
RB1:	0.5	RB1:	0.5	RB1:	0.5	RB1:	0.5	RB1:	0	RB1:	0	RB1:	0	RB1:	0
CDKN1A:	0.535622422	CDKN1A:	0.539097811	CDKN1A:	0.58149625	CDKN1A:	0.575532376	CDKN1A:	0.082204931	CDKN1A:	0.034467566	CDKN1A:	0.075706048	CDKN1A:	0.035261233
RAD23A:	0	RAD23A:	0	RAD23A:	0	RAD23A:	0	RAD23A:	0.5	RAD23A:	0.5	RAD23A:	0.5	RAD23A:	0.5
CHUK:	0.195368604	CHUK:	0.195368604	CHUK:	0.195368604	CHUK:	0.195368604	CHUK:	0.5	CHUK:	0.5	CHUK:	0.5	CHUK:	0.5
CHUK:IKBKB:	0.043685748	CHUK:IKBKB:	0.043685748	CHUK:IKBKB:	0.043685748	CHUK:IKBKB:	0.043685748	CHUK:IKBKB:	0.111803399	CHUK:IKBKB:	0.111803399	CHUK:IKBKB:	0.111803399	CHUK:IKBKB:	0.111803399
ABL1:	0.5	ABL1:	0.5	ABL1:	0.5	ABL1:	0.5	ABL1:	0	ABL1:	0	ABL1:	0	ABL1:	0
CREBBP:	0.543685748	CREBBP:	0.043685748	CREBBP:	0.543685748	CREBBP:	0.043685748	CREBBP:	0.611803399	CREBBP:	0.111803399	CREBBP:	0.611803399	CREBBP:	0.111803399
NFKBIA:	0	NFKBIA:	0	NFKBIA:	0	NFKBIA:	0	NFKBIA:	0.5	NFKBIA:	0.5	NFKBIA:	0.5	NFKBIA:	0.5
COMMD1:	0	COMMD1:	0.5	COMMD1:	0	COMMD1:	0.5	COMMD1:	0	COMMD1:	0.5	COMMD1:	0	COMMD1:	0.5
SMAD4:	0.551770937	SMAD4:	0.615220713	SMAD4:	0.553439344	SMAD4:	0.547438331	SMAD4:	0.121957038	SMAD4:	0.040451902	SMAD4:	0.122462653	SMAD4:	0.124846195
COPS2:COPS5:	0.012594428	COPS2:COPS5:	0.013823164	COPS2:COPS5:	0.205589971	COPS2:COPS5:	0.203481423	COPS2:COPS5:	0.029063832	COPS2:COPS5:	0.18896282	COPS2:COPS5:	0.02676613	COPS2:COPS5:	0.189243424
COPS5:	0.035622422	COPS5:	0.039097811	COPS5:	0.58149625	COPS5:	0.575532376	COPS5:	0.082204931	COPS5:	0.534467566	COPS5:	0.075706048	COPS5:	0.535261233
BACE1:	0.5	BACE1:	0.5	BACE1:	0.5	BACE1:	0.5	BACE1:	0	BACE1:	0	BACE1:	0	BACE1:	0
CREB1:	0.029349452	CREB1:	0.052673561	CREB1:	0.042967398	CREB1:	0.052673561	CREB1:	0.655981944	CREB1:	0.655991117	CREB1:	0.665993063	CREB1:	0.674481376
CSNK1E:	0.5	CSNK1E:	0.5	CSNK1E:	0.5	CSNK1E:	0.5	CSNK1E:	0	CSNK1E:	0	CSNK1E:	0	CSNK1E:	0
SKP2:	0.25	SKP2:	0.75	SKP2:	0.75	SKP2:	0.25	SKP2:	0	SKP2:	0.5	SKP2:	0	SKP2:	0.5
CSNK2A1:CSNK2A2:CSNK2B:	0.027513109	CSNK2A1:CSNK2A2:CSNK2B:	0.027513109	CSNK2A1:CSNK2A2:CSNK2B:	0.035581824	CSNK2A1:CSNK2A2:CSNK2B:	0.027513109	CSNK2A1:CSNK2A2:CSNK2B:	0.130395269	CSNK2A1:CSNK2A2:CSNK2B:	0.130395269	CSNK2A1:CSNK2A2:CSNK2B:	0.130395269	CSNK2A1:CSNK2A2:CSNK2B:	0.122326554
HDAC1:	0.009727353	HDAC1:	0.009727353	HDAC1:	0.012580075	HDAC1:	0.009727353	HDAC1:	0.546101689	HDAC1:	0.546101689	HDAC1:	0.546101689	HDAC1:	0.543248968
HDAC3:	0.509727353	HDAC3:	0.509727353	HDAC3:	0.012580075	HDAC3:	0.509727353	HDAC3:	0.046101689	HDAC3:	0.546101689	HDAC3:	0.046101689	HDAC3:	0.043248968
STK11:	0.5	STK11:	0	STK11:	0	STK11:	0	STK11:	0.5	STK11:	0.5	STK11:	0.5	STK11:	0
CSNK2A1:CSNK2A2:CSNK2B:RELA:	0.051770937	CSNK2A1:CSNK2A2:CSNK2B:RELA:	0.115220713	CSNK2A1:CSNK2A2:CSNK2B:RELA:	0.053439344	CSNK2A1:CSNK2A2:CSNK2B:RELA:	0.047438331	CSNK2A1:CSNK2A2:CSNK2B:RELA:	0.121957038	CSNK2A1:CSNK2A2:CSNK2B:RELA:	0.040451902	CSNK2A1:CSNK2A2:CSNK2B:RELA:	0.122462653	CSNK2A1:CSNK2A2:CSNK2B:RELA:	0.124846195
ANXA1:	0.114137404	ANXA1:	0.141469645	ANXA1:	0.136102018	ANXA1:	0.133108984	ANXA1:	0.61498785	ANXA1:	0.628962963	ANXA1:	0.617736119	ANXA1:	0.646535846
SETD7:	0.5	SETD7:	0	SETD7:	0.5	SETD7:	0.5	SETD7:	0	SETD7:	0	SETD7:	0	SETD7:	0.5
BGN:	0.645809087	BGN:	0.663753958	BGN:	0.673957209	BGN:	0.654664385	BGN:	0.074565963	BGN:	0.076435969	BGN:	0.076892288	BGN:	0.09824158
FN1:	0.630875636	FN1:	0.823260813	FN1:	0.721970653	FN1:	0.814682809	FN1:	0.269243992	FN1:	0.167730401	FN1:	0.158497389	FN1:	0.265901103
STX6:	0.62829145	STX6:	0.643437862	STX6:	0.680632873	STX6:	0.662773691	STX6:	0.110853763	STX6:	0.078420642	STX6:	0.107903318	STX6:	0.094400744
TNIK:	0.145809087	TNIK:	0.163753958	TNIK:	0.173957209	TNIK:	0.154664385	TNIK:	0.574565963	TNIK:	0.576435969	TNIK:	0.576892288	TNIK:	0.59824158
TP53:	0.186549646	TP53:	0.240332495	TP53:	0.297385505	TP53:	0.27828879	TP53:	0.704209247	TP53:	0.622819234	TP53:	0.67072787	TP53:	0.794142606
VIM:	0.607639355	VIM:	0.661442274	VIM:	0.657699468	VIM:	0.677913062	VIM:	0.142160051	VIM:	0.157013266	VIM:	0.139518381	VIM:	0.170721466
TRIM33:	0.07219929	TRIM33:	0.252394912	TRIM33:	0.0889777	TRIM33:	0.251029588	TRIM33:	0.70732644	TRIM33:	0.547107721	TRIM33:	0.56387658	TRIM33:	0.704800494
MEX3B:	0.5	MEX3B:	0.5	MEX3B:	0.5	MEX3B:	0.5	MEX3B:	0	MEX3B:	0	MEX3B:	0	MEX3B:	0
CD55:	0	CD55:	0	CD55:	0	CD55:	0	CD55:	0.5	CD55:	0.5	CD55:	0.5	CD55:	0.5
PKIA:	0.5	PKIA:	0.5	PKIA:	0.5	PKIA:	0.5	PKIA:	0	PKIA:	0	PKIA:	0	PKIA:	0
GSN:	0.5	GSN:	0.5	GSN:	0.5	GSN:	0.5	GSN:	0	GSN:	0	GSN:	0	GSN:	0
CUL1:ELK1:FBXO25:RBX1:SKP1:	0.25	CUL1:ELK1:FBXO25:RBX1:SKP1:	0.25	CUL1:ELK1:FBXO25:RBX1:SKP1:	0	CUL1:ELK1:FBXO25:RBX1:SKP1:	0	CUL1:ELK1:FBXO25:RBX1:SKP1:	0.072168784	CUL1:ELK1:FBXO25:RBX1:SKP1:	0.322168784	CUL1:ELK1:FBXO25:RBX1:SKP1:	0.072168784	CUL1:ELK1:FBXO25:RBX1:SKP1:	0.322168784
UBE2D3:	0.5	UBE2D3:	0	UBE2D3:	0.5	UBE2D3:	0.5	UBE2D3:	0	UBE2D3:	0	UBE2D3:	0	UBE2D3:	0.5
ZBTB17:	0.516110027	ZBTB17:	0.508639848	ZBTB17:	0.568080142	ZBTB17:	0.508639848	ZBTB17:	0.061277865	ZBTB17:	0.068748044	ZBTB17:	0.014032306	ZBTB17:	0.064023488
CUL2:	0	CUL2:	0	CUL2:	0	CUL2:	0	CUL2:	0.5	CUL2:	0.5	CUL2:	0.5	CUL2:	0.5
SREBF2:	0.046637411	SREBF2:	0.560083124	SREBF2:	0.074346376	SREBF2:	0.569572198	SREBF2:	0.676052312	SREBF2:	0.155704809	SREBF2:	0.667681967	SREBF2:	0.198535652
ELOC:	0	ELOC:	0.5	ELOC:	0	ELOC:	0.5	ELOC:	0.25	ELOC:	0.75	ELOC:	0.25	ELOC:	0.75
ADAM9:	0.535622422	ADAM9:	0.539097811	ADAM9:	0.58149625	ADAM9:	0.575532376	ADAM9:	0.082204931	ADAM9:	0.034467566	ADAM9:	0.075706048	ADAM9:	0.035261233
HIF1A:	0	HIF1A:	0.5	HIF1A:	0	HIF1A:	0.5	HIF1A:	0.5	HIF1A:	0	HIF1A:	0.5	HIF1A:	0
CYLD:	0.5	CYLD:	0.5	CYLD:	0.5	CYLD:	0.5	CYLD:	0	CYLD:	0	CYLD:	0	CYLD:	0
DKK1:	0.5	DKK1:	0.5	DKK1:	0.5	DKK1:	0.5	DKK1:	0	DKK1:	0	DKK1:	0	DKK1:	0
PRKCA:	0.676776695	PRKCA:	0.676776695	PRKCA:	0.676776695	PRKCA:	0.676776695	PRKCA:	0.036084392	PRKCA:	0.036084392	PRKCA:	0.036084392	PRKCA:	0.036084392
DUSP1:	0.535622422	DUSP1:	0.539097811	DUSP1:	0.58149625	DUSP1:	0.575532376	DUSP1:	0.082204931	DUSP1:	0.034467566	DUSP1:	0.075706048	DUSP1:	0.035261233
MAPK14:	0.155637646	MAPK14:	0.155637646	MAPK14:	0.201281192	MAPK14:	0.155637646	MAPK14:	0.737627031	MAPK14:	0.737627031	MAPK14:	0.737627031	MAPK14:	0.691983484
MAPK3:	0.53352718	MAPK3:	0.67903884	MAPK3:	0.556534594	MAPK3:	0.67903884	MAPK3:	0.099150643	MAPK3:	0.244662303	MAPK3:	0.099150643	MAPK3:	0.221654889
IL4R:	0.035622422	IL4R:	0.039097811	IL4R:	0.08149625	IL4R:	0.075532376	IL4R:	0.582204931	IL4R:	0.534467566	IL4R:	0.575706048	IL4R:	0.535261233
MAPK8:	0.170492499	MAPK8:	0.091435557	MAPK8:	0.720492499	MAPK8:	0.091435557	MAPK8:	0.648503971	MAPK8:	0.727560913	MAPK8:	0.148503971	MAPK8:	0.677560913
DVL2:	0	DVL2:	0	DVL2:	0.5	DVL2:	0	DVL2:	0.5	DVL2:	0	DVL2:	0.5	DVL2:	0.5
ERBB2:	0.54569707	ERBB2:	0.652294463	ERBB2:	0.605995067	ERBB2:	0.650402562	ERBB2:	0.206568605	ERBB2:	0.202498625	ERBB2:	0.250681289	ERBB2:	0.287310355
SELPLG:	0.035622422	SELPLG:	0.039097811	SELPLG:	0.08149625	SELPLG:	0.075532376	SELPLG:	0.582204931	SELPLG:	0.534467566	SELPLG:	0.575706048	SELPLG:	0.535261233
EIF2AK2:	0	EIF2AK2:	0	EIF2AK2:	0	EIF2AK2:	0	EIF2AK2:	0.5	EIF2AK2:	0.5	EIF2AK2:	0.5	EIF2AK2:	0.5
