Gene_Symbol	MCF10A_1_FPKM	MCF10A_2_FPKM	MCF10A_3_FPKM	MCF10A_4_FPKM	MDA_MB-231_1_FPKM	MDA_MB-231_2_FPKM	MDA_MB-231_3_FPKM	MDA_MB-231_4_FPKM	MDA_MB-231/MCF10A.fc	MDA_MB-231/MCF10A.baseMean	MDA_MB-231/MCF10A.lfcSE	MDA_MB-231/MCF10A.stat	MDA_MB-231/MCF10A.raw.pval	MDA_MB-231/MCF10A.bh.pval	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4	MCF10A_1_Read_Count	MCF10A_2_Read_Count	MCF10A_3_Read_Count	MCF10A_4_Read_Count	MDA_MB-231_1_Read_Count	MDA_MB-231_2_Read_Count	MDA_MB-231_3_Read_Count	MDA_MB-231_4_Read_Count
FGF13	1.090246	0.83092	0.665827	0.747045	0.033728	0.070648	0.028465	0.109697	-15.14016335	17.19053513	0.591220065	-6.630879256	3.33693E-11	2.98104E-10	5.015477293	1.025684313	4.42426613	4.32138847	4.06505513	4.22522711	3.00987819	3.10568611	2.95043689	3.16202414	33	40	26	28	1	2	1	5
FN1	7509.803966	9054.233631	7553.954606	9752.466745	200.38341	77.584759	199.773948	82.334107	-72.85080794	524914.5696	0.383173703	-16.14639267	1.204E-58	1.34013E-56	19.98205429	13.79518782	18.94257055	19.28480228	18.95136008	19.36209801	16.03336269	15.68769406	16.02121845	15.69558416	700091	1365447	911171	1156315	17908	6501	22968	10803
FYN	2.063656	2.157864	2.550032	1.749626	18.071694	13.486856	16.766939	11.527872	5.641572406	366.8743901	0.221002326	11.29443916	1.39794E-29	4.87895E-28	6.784273876	9.284306746	7.36856801	7.48497524	7.49826849	7.3182685	9.02970921	8.67696827	8.9919091	8.59806028	84	141	132	86	654	438	828	647
KAT2A	8.443857	6.74825	8.595354	6.920783	20.522432	25.157602	20.780027	26.343035	2.591556581	617.5788757	0.126357899	10.8724417	1.5597E-27	4.94105E-26	8.426702435	9.799368041	8.76371684	8.70064757	8.77917941	8.71792285	9.44558308	9.60000287	9.45639646	9.6453253	293	379	386	305	690	796	920	1347
GSN	220.297017	178.03946	210.352484	170.56415	28.3941	8.67389	26.47286	7.287932	-12.74211861	4051.610775	0.444984426	-8.250925327	1.57173E-16	2.39737E-15	12.8752601	9.204008564	12.33368285	12.26151325	12.28434692	12.21424946	10.47790477	9.76455618	10.42654219	9.70141242	6594	8610	8098	6462	816	236	1000	332
HMGB2	40.119558	37.407278	37.788939	36.058102	61.181016	152.008771	61.953028	147.070892	2.357801207	1378.505292	0.327775868	3.775269041	0.000159835	0.00051226	9.681397205	10.91880378	9.91809532	9.98461532	9.87919582	9.94756437	10.22086237	10.98643031	10.23233193	10.96574341	666	1017	818	764	1004	2281	1341	3596
DNAJB2	20.025335	14.966654	19.897281	13.981809	7.798361	7.228282	7.882262	6.364347	-2.800725097	460.5295281	0.214407503	-6.929796579	4.21446E-12	4.22301E-11	9.406599388	7.921088473	9.148064	9.13371152	9.16116261	9.04502516	8.39513716	8.05278941	8.45120016	8.08149924	577	797	755	569	248	152	351	256
ICAM1	1.585355	1.176321	1.836822	1.278466	102.47625	25.273458	100.659012	26.130512	37.51558599	1322.722792	0.506307629	10.3285392	5.23518E-25	1.43099E-23	6.102020415	11.33134019	7.65122162	7.56868455	7.71353966	7.61077074	11.03722969	9.58870341	11.01765483	9.6237532	58	69	86	59	3593	834	4647	1394
IGF1R	10.258358	10.007263	10.38025	10.016725	4.203356	2.411601	3.860522	2.508946	-3.651212076	1147.984352	0.229575662	-8.138386509	4.0058E-16	5.95568E-15	10.81553546	8.947720606	10.41535437	10.52494185	10.42745115	10.52125992	9.58627753	9.1545794	9.51960296	9.18219764	1400	2210	1830	1733	556	301	673	506
IL4R	7.568374	7.271222	8.085258	7.009612	16.987229	15.676929	15.772621	10.665493	1.671651181	542.5973316	0.180025236	4.117610681	3.82821E-05	0.000137962	8.664763558	9.408023342	8.78784073	8.84978143	8.81743038	8.83653609	9.35751193	9.31431635	9.34653027	8.96390291	321	487	430	377	654	606	851	650
IL7R	0.260807	0.578573	0.323248	0.553378	14.730753	15.813896	14.103318	15.867393	28.44538322	446.435965	0.270192396	17.87660451	1.79438E-71	3.30889E-69	4.909969143	9.752895484	6.26593056	6.62569889	6.31537119	6.61183925	9.0314193	9.06891326	8.97700825	9.07639596	14	49	22	37	737	744	919	1206
ITGB8	16.128794	8.75986	16.763262	8.936454	0.122647	0.020889	0.106043	0.040802	-191.5635644	792.4095952	0.424004857	-17.88111445	1.65496E-71	3.09803E-69	10.62254054	3.050539786	9.93083969	9.44183074	9.97328703	9.45748585	6.34814248	6.10791965	6.29809289	6.11185924	1579	1388	2119	1110	12	2	14	6
LIMK2	19.321795	18.381856	18.631409	17.384303	2.718557	4.486412	2.193557	4.874422	-6.294305063	554.7955688	0.260022352	-10.20699598	1.84488E-24	4.87041E-23	9.903274726	7.247872476	9.46967349	9.46862521	9.40335883	9.41680516	7.76645969	8.06550382	7.62149722	8.13127136	817	1145	983	854	103	157	107	278
LRP1	37.02013	35.837814	36.437778	33.799942	6.750386	0.564387	6.736886	0.596998	-11.2854846	4195.866807	0.738467094	-4.734667928	2.19414E-06	1.00032E-05	12.91225974	9.415949622	12.25790566	12.36783409	12.24300592	12.30465683	10.67985237	9.39141131	10.67754902	9.40065456	6145	9628	7811	7116	1086	86	1427	146
LTBP3	69.738739	52.324055	65.329197	48.877956	9.906971	5.401506	9.661934	4.669196	-9.069595906	2181.695021	0.287554581	-11.06238078	1.9096E-28	6.27478E-27	11.9402749	8.759873057	11.50556272	11.36906287	11.4458302	11.31246322	9.78036592	9.36910579	9.76141542	9.284823	3579	4371	4346	3246	504	259	647	361
SMAD4	12.647983	10.32448	12.127763	10.387129	8.460952	6.672321	8.254884	7.214925	-1.729949466	1134.212729	0.123151046	-6.420813465	1.35548E-10	1.12774E-09	10.48939729	9.698486932	10.37030773	10.31619833	10.33377619	10.31809621	9.96282582	9.74476197	9.94157407	9.8086556	1237	1634	1532	1289	802	595	1030	1040
MAPT	0.837028	0.697131	0.759247	0.586159	0.183262	0.13904	0.181084	0.139954	-5.064277129	42.24856076	0.27472219	-8.518992782	1.60947E-17	2.71653E-16	6.139627131	3.806676526	5.72226194	5.70391848	5.64773883	5.55890489	4.66456332	4.52147547	4.64260227	4.49505556	63	86	74	57	14	10	18	16
SERPINA1	5.985712	6.848939	5.978227	6.739315	81.21685	29.9841	77.499878	27.689187	7.270069896	1250.16277	0.404800929	7.070065873	1.5486E-12	1.6353E-11	8.23974875	11.10200459	8.81858913	9.01504886	8.81620553	9.00236769	10.99438374	9.99570573	10.95844878	9.95283441	215	404	277	312	2850	978	3623	1502
PLK1	12.400752	8.814148	12.154073	9.054317	39.292393	104.018188	34.239727	99.929543	5.588955969	1142.390025	0.381921707	6.500229665	8.01975E-11	6.87606E-10	8.437956814	10.92033859	9.07657298	8.93608346	9.06242006	8.95192879	9.95703175	10.84936189	9.83426435	10.81291355	315	363	399	292	967	2407	1109	3738
PKIA	3.965844	4.454569	4.393869	4.813574	0.424333	0.695501	0.213017	0.635652	-10.38347967	146.2593797	0.316705779	-10.66042463	1.55884E-26	4.686E-25	8.059161755	4.689441125	7.31953648	7.56582233	7.4069213	7.60641083	5.65494007	5.89125805	5.34298079	5.82278875	186	338	263	278	20	30	13	44
MAPK13	0.394801	0.19515	0.257445	0.162311	23.192154	10.925157	23.432298	10.790691	57.93014213	678.2159345	0.389976802	15.01689912	5.69083E-51	4.78301E-49	4.532730342	10.38076974	6.69690904	6.4791029	6.52593467	6.43603187	9.89275611	9.10362803	9.90663837	9.08906608	28	23	24	15	1565	705	2088	1118
PTPRA	65.647461	52.696198	64.194498	54.844282	42.911155	35.225552	41.692593	36.924927	-1.790998109	2243.25493	0.109972192	-7.645240134	2.08556E-14	2.64278E-13	11.49132956	10.65065218	11.34512329	11.33298277	11.32813018	11.30919775	10.91843635	10.73143336	10.89294707	10.77021842	2424	3357	3069	2573	1538	1187	1965	2009
RASGRF1	0.121027	0.083787	0.147605	0.052051	3.076955	1.683569	3.140728	1.503646	19.59054918	98.33371745	0.424398956	10.11332823	4.82178E-24	1.25417E-22	3.251430369	7.548007613	4.8430555	4.72637475	4.90116704	4.61617047	7.12270635	6.51918939	7.14474432	6.42009375	9	10	14	5	213	110	286	158
ROCK1	24.815426	21.9139	26.26531	22.826366	16.914656	19.86072	17.096966	19.598269	-1.52452918	1903.22775	0.084983825	-7.158583009	8.15152E-13	8.87331E-12	11.16661938	10.55816102	11.01881824	11.03435708	11.06935893	11.06651919	10.63405411	10.73857501	10.64207224	10.73016452	1840	2629	2514	2146	1215	1342	1617	2141
S100A2	337.542114	269.819824	332.599518	259.562775	26.825645	36.554947	27.422523	36.133339	-11.0038794	2262.998183	0.139037736	-24.88490115	1.0841E-136	9.5673E-134	12.0185949	8.557889924	11.51395308	11.4334506	11.50010964	11.39102888	9.38994054	9.56179399	9.40208909	9.55370322	3621	4684	4607	3531	279	358	376	571
SELPLG	0.233472	0.409621	0.362616	0.262685	12.287243	3.535992	10.510118	2.999995	18.98621934	125.353603	0.543499363	7.813957187	5.54199E-15	7.4832E-14	3.636926218	7.896435981	4.88691478	5.14961849	5.02731067	4.96594426	7.68369483	6.48248357	7.54967119	6.34371131	7	20	14	10	341	95	393	130
SHC1	311.800476	280.100924	309.104579	278.308694	124.453517	70.228237	124.42861	72.383271	-3.504329064	8898.554816	0.247865388	-7.298874059	2.90186E-13	3.30742E-12	13.75717168	11.94807704	13.43076384	13.44123841	13.39208375	13.43826975	12.55026297	12.1101596	12.555828	12.11190504	11510	16340	14250	12821	4359	2354	5784	3804
SKIL	25.726482	23.919711	25.759691	24.608439	4.590445	3.097046	5.487829	2.238143	-7.592318357	1469.526473	0.301516573	-9.699435303	3.03172E-22	7.12108E-21	11.34254288	8.418739426	10.80202847	10.87285809	10.80556156	10.89499846	9.2880175	9.00465439	9.41503211	8.7784494	2055	3103	2661	2499	358	227	563	249
SNRPA	34.084297	30.889881	32.5322	29.495275	57.710644	82.955429	57.291088	83.02774	1.885980557	1079.405729	0.166204412	5.50716308	3.64662E-08	2.21396E-07	9.547032821	10.46223612	9.75202706	9.78450351	9.71683578	9.74622355	10.12556361	10.41144302	10.11868186	10.41470817	620	908	764	680	1016	1374	1328	2222
SRPK1	19.465467	19.431537	19.499407	20.58804	82.547287	123.8932	86.874774	128.662353	4.53339732	3469.989004	0.187414159	11.63515402	2.73097E-31	1.04139E-29	10.2925505	12.47314232	10.74743399	10.84500911	10.74365711	10.88548367	11.87608559	12.22525628	11.921514	12.26711277	954	1533	1225	1274	3904	5500	5403	9255
AURKA	9.7124	9.018834	11.121462	8.134315	39.282801	111.62813	43.575754	114.714016	6.547791762	1311.431926	0.366844719	7.390070783	1.46751E-13	1.71696E-12	8.440808981	11.15189074	9.06755978	9.10139478	9.11889841	9.039134	10.07625999	11.02582441	10.15813787	11.02671988	281	415	391	298	1040	2747	1501	4429
TACC1	25.157502	23.980605	26.449448	20.778529	13.73648	19.573541	12.155952	20.042385	-1.707222442	1994.524896	0.16963468	-4.54889911	5.39273E-06	2.29511E-05	11.29667414	10.52500384	11.10942117	11.18473075	11.14463574	11.13711919	10.56340241	10.8187512	10.50536345	10.82101978	2000	3055	2685	2280	1086	1445	1329	2335
TAF12	29.424007	24.842111	31.997362	24.497533	5.949724	2.463563	7.825958	2.614684	-5.734905668	261.1430888	0.334350391	-7.536314677	4.83439E-14	5.96692E-13	8.79656533	6.278434057	8.33390392	8.30951998	8.41479426	8.29300813	7.15977846	6.59399321	7.16454653	6.61137625	366	500	514	387	94	37	125	63
TBL1X	3.257125	3.261073	3.471312	3.726123	19.67478	14.482035	19.770466	14.714752	4.241928786	747.4466797	0.184267042	11.31358262	1.12404E-29	3.94532E-28	8.155365911	10.24053511	8.56691748	8.66728924	8.61035988	8.76342005	10.01154219	9.69345637	10.00111721	9.71179022	208	337	286	302	1215	841	1583	1382
TGFA	0.679609	0.789824	0.454468	0.816775	18.317339	22.302712	19.564334	22.231867	24.4348958	576.4193393	0.219617304	20.99502622	7.28228E-98	3.2133E-95	5.50208107	10.11311511	6.88908722	7.02221148	6.72261055	7.04452954	9.32585269	9.4901994	9.39043472	9.47736127	34	64	30	52	865	991	1215	1575
TGFB1	92.633636	77.753433	92.54245	74.131203	56.551064	22.826668	53.536835	20.201981	-2.547683207	2316.179726	0.368313252	-3.663147848	0.000249135	0.00076133	11.69979577	10.35076747	11.45491031	11.42473528	11.45494041	11.37707817	10.95415746	10.22711734	10.90689243	10.14568543	2831	3846	3653	2874	1675	636	2087	910
TOP2A	28.764549	23.348127	29.224733	23.723568	69.14444	172.749207	70.412537	175.781525	3.961505736	5396.045282	0.341656575	5.812997712	6.13639E-09	4.16795E-08	11.08693129	13.07295191	11.5407135	11.49095104	11.55324402	11.49959731	12.20034291	13.02230899	12.2156097	13.04255429	1845	2424	2421	1930	4297	10098	5761	16611
TP53	25.771632	22.266046	25.205205	21.149822	62.956419	35.993529	63.529381	36.361507	1.816125988	1237.740669	0.249350005	3.452433417	0.000555555	0.001564238	9.779710175	10.64068503	9.97207858	9.96825343	9.95442374	9.92550264	10.68878512	10.16467823	10.69670021	10.17786866	742	1037	937	774	1758	947	2336	1550
TPR	37.645939	32.919132	39.651203	32.577122	23.268023	30.896204	23.605812	30.896572	-1.536054613	4123.460072	0.129066698	-4.79774814	1.60459E-06	7.46695E-06	12.28631479	11.66700572	12.15219639	12.15939536	12.19896465	12.14611605	11.68570337	11.89113192	11.69653166	11.89382698	4074	5766	5541	4471	2440	3047	3259	4926
VIM	1914.830078	1645.080078	1892.540283	1594.22998	977.768372	1033.622803	963.586243	1042.043579	-2.047755942	40373.6257	0.049693378	-20.80848251	3.62643E-96	1.44531E-93	15.72742598	14.69336986	15.54729566	15.53858246	15.53737064	15.50618782	14.91051981	14.9283795	14.89815008	14.93748026	45600	63405	58202	48149	22559	22433	29269	36561
HMGA2	77.733513	75.588348	77.483946	77.126514	16.779116	27.127888	16.924122	27.013755	-5.020612806	2574.915052	0.191874032	-12.13224869	7.12652E-34	3.10029E-32	12.06828576	9.740280745	11.59934121	11.70685274	11.61503329	11.71709181	10.15414979	10.44031877	10.12957795	10.42903337	3328	5231	4366	4162	597	867	759	1377
ADAM9	194.854095	160.868241	192.81083	161.809309	106.641574	104.561234	104.266797	103.274299	-1.978443615	7882.110469	0.057772193	-17.03875003	4.2369E-65	6.15847E-63	13.35413766	12.36987862	13.19285552	13.14697038	13.18212719	13.14791096	12.61122305	12.57029723	12.59126617	12.5620578	8903	11879	11353	9360	4710	4354	6055	6945
TAF1B	7.571049	7.111017	7.919158	7.145631	16.795731	23.724929	18.15783	24.593668	2.389996185	418.0366823	0.161130063	7.801202886	6.13198E-15	8.24381E-14	7.946443141	9.203109525	8.19924971	8.24748072	8.23208645	8.25191474	8.78935208	9.06723578	8.8529473	9.09869806	195	292	263	231	418	555	592	925
SNAP29	16.462616	14.683349	16.762888	14.614227	12.053985	12.573284	12.233542	11.469833	-1.513259652	799.3625229	0.079532359	-7.514671488	5.7054E-14	6.98615E-13	9.909948151	9.314443501	9.77849096	9.80205653	9.7945886	9.79436928	9.45329029	9.4612066	9.46507202	9.38818545	783	1129	1029	881	555	545	742	803
NMT2	6.056167	5.176062	6.012394	5.171365	15.072616	15.848169	16.201454	16.349973	2.451917673	685.1312095	0.084150617	15.37612663	2.3669E-53	2.15023E-51	8.634037824	9.926259528	8.94613929	8.9160474	8.93749042	8.91355049	9.65300019	9.65894605	9.72081263	9.69680955	336	454	429	356	810	793	1150	1332
CKAP5	28.716858	25.308508	29.499342	23.71237	50.703077	85.389122	49.588116	85.878287	2.158403683	4097.978536	0.221396638	5.013466895	5.3458E-07	2.70797E-06	11.34150888	12.45146226	11.59043415	11.60229482	11.61102713	11.55107943	11.98959295	12.4180547	11.97429651	12.42422611	2150	3067	2852	2252	3658	5825	4735	9454
HUWE1	13.781879	12.107211	14.346006	12.137582	30.103451	22.849449	30.055557	23.131811	1.739825824	3814.246358	0.149049578	5.360249219	8.31072E-08	4.79137E-07	11.44304887	12.24206933	11.60316694	11.61320438	11.63542415	11.61159949	12.20578702	11.93633774	12.20364458	11.94959744	2265	3221	3045	2530	4794	3423	6301	5601
TNK2	10.674426	8.712024	9.962691	8.768406	5.670727	6.315739	6.219891	5.550778	-1.877381493	464.4123055	0.101025693	-8.994957782	2.36323E-19	4.54793E-18	9.243207496	8.334543848	9.1168786	9.04985175	9.05513183	9.03841231	8.51793913	8.54859576	8.59566871	8.48196314	531	691	639	537	271	274	394	406
STX6	17.034791	15.401769	18.011514	15.188382	12.391414	11.266379	13.920787	11.080884	-1.559220228	974.2471488	0.123322278	-5.196341848	2.03248E-07	1.10217E-06	10.21317985	9.572571531	10.05836161	10.09264699	10.11465599	10.0783327	9.73951034	9.63436671	9.83488934	9.61040654	951	1388	1308	1075	680	581	1005	909
PIAS3	62.563019	52.194145	62.905666	49.963291	27.934443	24.311413	27.817743	25.740505	-2.504350493	1663.88061	0.098312596	-13.47168664	2.29561E-41	1.39716E-39	11.21567034	9.891077106	10.99523946	10.95969201	11.0008895	10.91598163	10.24354568	10.10997313	10.23908586	10.15555486	2025	2734	2629	2051	876	717	1148	1227
NDC80	5.162037	5.190228	5.412418	4.964048	15.809472	41.801125	14.088306	40.562141	4.569685712	456.0021207	0.381148618	5.751286609	8.85668E-09	5.84451E-08	7.355127614	9.547433644	7.80829626	7.90750378	7.83775803	7.87397925	8.62731661	9.50133149	8.52874152	9.47593791	126	204	170	153	371	923	436	1448
MAD2L2	11.756284	11.643767	13.012582	12.027099	29.030371	36.2364	27.770136	40.173516	2.321052268	330.2659773	0.16144379	7.524470337	5.29345E-14	6.50752E-13	7.635985255	8.850562317	7.85604047	7.93743906	7.91005086	7.95295949	8.50951978	8.67585363	8.46922819	8.77190986	152	238	211	191	353	414	444	741
TRIOBP	48.492369	39.197269	44.826405	35.331266	17.217377	12.366172	9.97518	12.173667	-3.629274166	1591.954132	0.205105658	-9.066941715	1.22404E-19	2.39289E-18	11.28533886	9.426302232	11.01198276	10.95309652	10.93466594	10.88436022	10.06868671	9.6814374	9.93770481	9.67818635	2212	2916	2628	2132	780	452	869	726
TPX2	27.007797	27.797476	27.921946	27.552675	77.043076	190.281693	79.229088	188.238953	4.103855693	3737.825745	0.335973538	6.06291797	1.33674E-09	9.9791E-09	10.51637929	12.55338015	10.89827039	11.02495845	10.92312064	11.01511735	11.68788875	12.50099707	11.71174006	12.49368163	1103	1837	1473	1427	3048	7080	4126	11323
TNIK	0.053144	0.038437	0.033445	0.013594	0.386176	0.490315	0.442853	0.520682	11.30711861	30.92134208	0.403180083	8.678899526	3.99617E-18	7.08359E-17	2.333534441	5.827877376	3.92551018	3.83672029	3.7659018	3.6256717	5.04721362	5.21305524	5.15959474	5.26919769	6	7	5	2	42	50	63	85
BACE1	21.024826	19.446533	22.286773	19.610973	11.763684	13.633762	11.040696	12.859738	-1.954466121	1311.389099	0.092859649	-10.41113752	2.2057E-25	6.16548E-24	10.76045877	9.794565761	10.53492813	10.59235852	10.57641093	10.59663868	9.9773937	10.07567667	9.93367302	10.03131088	1371	2052	1853	1623	737	810	919	1236
SH3YL1	13.152427	11.12021	13.215459	9.480726	1.980728	1.450108	4.154601	1.279043	-5.482467692	250.0632509	0.248413493	-9.882013171	4.98218E-23	1.23853E-21	8.724331468	6.270154655	8.26306625	8.21966307	8.32025846	8.32092549	6.97993139	6.74865522	7.15218381	6.66482374	343	459	470	403	74	50	125	71
RHOD	43.439079	37.772919	45.912168	37.077628	17.460825	10.687002	16.927319	12.156988	-3.338525901	431.276589	0.209409525	-8.305311006	9.95583E-17	1.55505E-15	9.374357376	7.635660228	9.0491968	9.05006155	9.08606095	9.00977595	8.21457978	7.81714488	8.18894909	7.89902454	549	771	737	581	214	120	273	219
RRM2B	46.259016	44.212032	58.504747	45.366618	7.430669	6.768858	7.608329	6.662351	-7.905547381	1935.198578	0.125870134	-23.69795974	3.7846E-124	3.1173E-121	11.74635851	8.764102686	11.12655433	11.23575196	11.36542262	11.25673222	9.56644764	9.48425572	9.58132795	9.47455738	2501	3932	4128	3163	396	340	534	541
EVL	17.374544	12.964459	16.724949	12.302487	7.088051	7.575123	7.085725	7.979585	-2.158856067	338.7112102	0.10413587	-10.66171586	1.53735E-26	4.64399E-25	8.855591518	7.74274926	8.67781961	8.65163551	8.62644512	8.60034964	7.97648286	8.00211513	7.9729007	8.03989987	400	545	487	405	179	180	235	305
CXXC5	38.268231	33.084056	38.167278	30.453789	13.505966	6.115694	14.36894	5.670744	-3.978261179	817.2717381	0.329654486	-6.043109004	1.51172E-09	1.12176E-08	10.35106068	8.359457398	9.97760381	10.00487624	9.99474079	9.94322182	9.06058798	8.49593559	9.08672367	8.43771471	1077	1556	1415	1147	389	172	530	254
TRIM33	9.073052	7.886026	8.993154	8.129578	12.700079	12.515102	12.981621	13.543298	1.299423776	1178.057335	0.070692949	5.3452574	9.02887E-08	5.16682E-07	10.00165951	10.3782256	10.07658008	10.07895423	10.06980257	10.0988976	10.30129323	10.26024313	10.3189487	10.32928844	843	1187	1079	957	1143	1060	1537	1850
MOCOS	6.565988	5.462943	5.735259	5.415569	23.104662	10.352784	19.719059	9.805597	2.333713494	424.4300043	0.321090734	3.807731975	0.000140247	0.000454314	7.992060813	9.214962395	8.29443636	8.26047913	8.18833719	8.25063102	9.32645004	8.57788754	9.17644178	8.53344322	223	300	251	233	758	320	851	489
PAG1	1.145532	1.082225	1.309397	1.08688	5.320852	6.059389	6.282742	5.720756	4.309270247	478.1777503	0.116837351	18.03741317	9.90743E-73	1.9743E-70	7.491323899	9.600696285	7.95850235	8.01291839	8.04928475	8.01718186	9.15013242	9.23986025	9.30423676	9.18961837	138	210	203	166	618	662	960	1010
BIRC6	5.680332	5.287042	5.774949	5.221829	4.065287	3.772207	4.010849	3.794619	-1.642453959	1003.198621	0.084736925	-8.447945557	2.96474E-17	4.8774E-16	10.28406545	9.569006967	10.11292053	10.17485977	10.1279925	10.1602752	9.76773104	9.67955329	9.75564932	9.68661224	995	1498	1306	1160	690	602	896	979
KLHL12	18.193185	15.152482	18.61266	15.637166	8.427168	9.645569	10.052998	10.067512	-2.059767213	596.30907	0.089150933	-11.69344243	1.3769E-31	5.29957E-30	9.649805839	8.604783529	9.44701678	9.43881081	9.47246081	9.43652372	8.77377653	8.85159291	8.85565328	8.87093308	663	922	880	724	308	331	451	547
RFWD2	19.794579	16.189	19.355951	17.064278	12.460452	13.49218	12.926782	14.305355	-1.577352602	586.1474204	0.085889286	-7.655264445	1.92915E-14	2.45212E-13	9.487713601	8.827684913	9.38406246	9.32379703	9.36192345	9.35866986	8.94021202	8.97746135	8.95689957	9.00917447	612	802	770	657	376	383	506	642
CABLES2	3.758167	3.634407	3.698133	3.369946	7.740315	10.433466	8.686676	10.347777	2.189952638	316.7157928	0.143355362	7.88878529	3.05142E-15	4.20293E-14	7.633376125	8.764470788	7.86871338	7.95187157	7.85602931	7.89099162	8.39778191	8.63202306	8.49740539	8.62751277	159	249	202	181	317	402	468	644
