name "normal sd" "cancer sd"
RHOA 0.21111097424647285 0.17395530848860688
FMR1 0.050487944408252175 0.009351151242710447
SIRT1 0.06366739207022232 0.02370977986078315
ATF3 0.08708210878713583 0.22177617274342423
ICAM1 0.03282838007801353 0.422363200793203
SNAP29 0.029388202548446783 0.025159830103349944
TGFB1 0.05236431339209071 0.22115552364105084
TAB1 0.069353049657499 0.03175438894350621
EVL 0.032328070646972525 0.02231933349465952
RFWD2 0.03608255971052687 0.02133695964401595
TAOK 0.11251575653107626 0.08960906307416998
TARDBP 0.04392459481262207 0.17082952911259208
BUB1 0.04325095438471861 0.30346542217533656
CDC20 0.030114680117648587 0.37348982502311057
CABLES2 0.022055764155046488 0.06597770660040518
CKAP5 0.017165416174245062 0.15186994197651668
FGF13 0.08395645094315163 0.07151822897599673
HMGA2 0.0503278909230079 0.10975519105073103
HMGB2 0.038946327560131125 0.24301480597614747
KAT2A 0.0022480530587250004 0.07663417590317292
TGFA 0.07335608926325483 0.04835778717369296
LIMK2 0.02962591770511431 0.14564134691201788
MAD2L2 0.019920298954232276 0.09473050936012707
ROCK1 0.020045160431220795 0.05446921314381032
S100A2 0.016481824139624894 0.07335321035297009
ITGB8 0.14378854479065878 0.07228664585216334
SNRPA 0.031871735228018595 0.10904366919261106
SRPK1 0.05162865177754256 0.12741052763799207
TACC1 0.015213690663407269 0.10771967309517089
TAF1B 0.02650468891061444 0.10308248807181909
PTPRA 0.0037227945764787937 0.0556253223209055
TPR 0.012401906373427633 0.08474138102309378
CXXC5 0.014354288871188227 0.2001219940353111
DNAJB2 0.04304961048939571 0.12856603561550248
TP53:SMAD2 0.007907941311114984 0.039493814615232305
FBLN1 0.060122294777660006 0.03310263238766843
VDR 0.10056688614229932 0.011997445082667736
FYN 0.05098746737176726 0.13541089999987319
TP63 0.003953970565841183 0.019746907280438254
HUWE1 0.02118474642559834 0.10221824276999705
CCNG2 0.1886440654138608 0.33779305217692146
LRP1 0.013785179597004437 0.3968797573104154
WNT5A 0.106229014374632 0.09021111995767903
LTBP3 0.05691850514461122 0.1556437648020499
MAPK13 0.08402161121808434 0.24976235616249046
UBE2 0.007734833043982697 0.028307290925904453
MAPT 0.04384737711643455 0.06880927964056417
MOCOS 0.021854973533260068 0.2295793889222832
USP22 0.0360331311140307 0.016787371035290842
PIAS3 0.03492900431698104 0.05881710588028588
WNT 0.050283443376392255 0.005998722229588064
RASGRF1 0.06430803713810376 0.21720665732208924
RRM2B 0.05293027937092828 0.05198326252049671
SH3YL1 0.036830604770062066 0.13480835827222054
YWHAZ 0.13745149743056745 0.08627677758003374
SHC1 0.012813998630565877 0.15263975198775145
PAG1 0.015514364718501686 0.03609517317792366
SKIL 0.023712605097897903 0.1661682359289902
TNK2 0.02561571448135035 0.026713345696391482
TAF12 0.042681517908184655 0.18816081822893746
NDC80 0.029046698822788805 0.26353011516049296
TBL1X 0.03199113739123342 0.11437200844449999
NUF2 0.015001408871356528 0.30694404185252766
MAP3K1 0.023435849887303014 0.09481489992412837
OGT 0.1324320807219539 0.13376148856042724
TOP2A 0.010320526180635108 0.23777310687223194
TPX2 0.0398787724057795 0.22993016881761097
MAP3K4 0.053897028341037136 0.09184198111660034
RICTOR 0.10030838792780718 0.1438708816111374
SNAI1 0.4238807371617821 0.04152770155730398
HIPK2 0.2546608790445222 0.07502668998648253
PPM1D 0.07678008697922505 0.05371159276665025
HMGCR 0.3710158909414305 0.16915724103021548
MVK 0.4951792549875687 0.0952702310471213
IKBKB 0.1011954809370702 0.05096701126420798
IKBKG 0.02799966853562337 0.05921270614768731
IQGAP1 0.09467532941368967 0.037679334742720554
