name	attr_MB231	attr_MCF10A
FDPS	0.06647	0.922616
FGF13	0.008619	0.519461
FMR1	0.5	0
FN1	0.056916	0.595966
FOS	0.378939	0.640851
FOXM1	0.50211	0.053616
FYN	0.507329	-0.039323
GSK3B	-0.195101	0.434613
GSN	-0.151428	0.485352
HDAC1	0.431223	-0.101932
HDAC3	-0.104496	0.502602
HIF1A	0.355662	0
HIPK2	-0.036945	0.677697
HMGA2	0.008619	0.519461
HMGB2	0.492671	0.039323
HMGCR	0.063513	0.761855
HUWE1	0.507329	-0.039323
ICAM1	0.608658	0.079412
IGF1R	0.005107	0.526245
IKBKB	0	0.549758
IKBKG	0.5	0.12293
IL4R	0.551777	0.013434
IL7R	0.507705	0.007455
IQGAP1	0	0.611803
ITGB8	0.029586	0.455063
JUN	0.339424	0.548732
KAT2A	0.492671	0.039323
KAT2B	-0.093823	0.352167
LATS2	0.373602	0.57896
LIMK2	0.008619	0.519461
LRP1	0.007329	0.460677
LTBP3	0.007329	0.460677
MAD2L2	0.491814	-0.006464
MAP2K1	0.771536	-0.008268
MAP2K3	0.552176	0.235656
MAP2K4	0.5	0.144338
MAP2K6	0.070663	0.796701
MAP2K7	0.5	0.144338
MAP3K1	0.467483	0.072436
MAP3K2	0	0.5
MAP3K20	0	0
MAP3K4	0.032517	0.427564
MAP3K7	0	0.676777
MAPK1	0.218489	0.565467
MAPK11	0.126385	0.624035
MAPK12	0.626385	0.124035
MAPK13	0.600912	0.004257
MAPK14	0.687101	-0.026183
MAPK3	0.127237	0.407775
MAPK6	0.176777	0.5
MAPK8	0.618669	0.089984
MAPK9	0.226954	0.610511
MAPKAP1:MLST8:MTOR:RICTOR	0.102062	0
MAPKAPK2	0.193606	0.633945
MAPKAPK3	0.594862	0.048104
MAPT	0.007329	0.460677
MDM2	0.325014	0.512108
MEX3B	-0.015708	0.411458
MOCOS	0.507329	-0.039323
MTOR	0.5	0
MTOR:RICTOR	0.102062	0
MTOR:RPTOR	0.102062	0
MVD	0.132939	0.845232
MVK	0.531756	0.380928
NDC80	0.490333	-0.089794
NFKBIA	0.276546	-0.099116
NOTCH1	0.571079	-0.013533
NUF2	0.490333	-0.089794
OGT	0.467483	0.072436
PAG1	0.509667	0.089794
PAK1	0.015829	0.527042
PAK2	0.5	0
PBK	0.5	0
PDPK1	0.027084	0.398338
PIAS1	0.148353	0.659506
PIAS3	0.007329	0.460677
PKIA	-0.015708	0.411458
PKM	0.069436	0.510824
PKN1	0.644338	0
PLK1	0.77482	0.157661
PMVK	0.265878	0.690464
PPM1A	0	0.5
PPM1D	0.058335	0.33823
PPP2CA	0.258919	0.003561
PPP3CA	0	0.5
PPP3CB	0	0.5
PPP3CC	0	0.5
PPP4C	0.5	0
PRKACA	0	0.5
PRKCA	0.036084	0.625
PRKCD	0.482162	-0.007122
PRMT5	0.5	0
PRPF4	0.5	0
PTK6	0.679895	-0.000865
PTPN1	0.36253	-0.017123
PTPN11	0.544985	0.14417
PTPRA	0.029586	0.455063
RAC1	0.36253	-0.017123
RAD23A	0.5	0
RAF1	0.353671	0.080325
RARA	0.107662	0.592831
RASGRF1	0.508186	0.006464
RB1	-0.144338	0.5
RELA	0.519612	0.081001
RFWD2	-0.066988	0.386712
RHOA	0.53144	0.504453
RHOD	0.002179	0.437926
RICTOR	0.532517	-0.072436
ROCK1	-0.007329	0.539323
RPS6KA1	0.604654	0.142535
RPS6KA2	0.025516	0.572169
RPS6KA3	0.508819	-0.002448
RPS6KA5	0.598644	0.152828
RPS6KB1	0.639917	0.101726
RRM2B	0.008186	0.506464
S100A2	-0.007329	0.539323
SELPLG	0.551777	0.013434
SERPINA1	0.551777	0.013434
SETD7	0	0.5
SH3YL1	-0.008619	0.480539
SHC1	-0.008619	0.480539
SIRT1	0.784718	0.130412
SKIL	0.008186	0.506464
SKP2	0.5	0.375
SMAD4	0.069436	0.510824
SNAI1	0.677207	0.06551
SNAP29	0.066988	0.613288
SNRPA	0.508619	0.019461
SPI1	0.109366	0.015907
SREBF2	0.127026	0.52371
SRPK1	0.492671	0.039323
STAT3	0.746741	0.193741
STK10	0.544985	0.14417
STK11	0.366139	-0.034173
STX6	0.00039	0.527417
SUMO1	0.533173	0.14747
TAB1	0	0.5
TACC1	-0.008186	0.493536
TAF12	0.007329	0.460677
TAF1B	0.492671	0.039323
TAOK1	0	0.5
TAOK2	0	0.5
TARDBP	0.5	0
TBL1X	0.507329	-0.039323
TCF3	-0.324097	0.492265
TGFA	0.470414	0.044937
TGFB1	0.16374	0.587226
TNIK	0.515708	0.088542
TNK2	0.009667	0.589794
TOP2A	0.490333	-0.089794
TP53	0.508102	0.094841
TP53:SMAD2	0.127026	0.02371
TP63	-0.063513	-0.011855
TPR	-0.007329	0.539323
TPX2	0.490333	-0.089794
TRIM28	0.644338	0
TRIM33	0.651428	0.014648
TRIOBP	0.057532	0.477723
UBE2D3	-0.161084	0.5
UBE2I	0.668082	0.080279
USP22	0	0.5
VDR	0.127026	0.52371
VIM	0.067095	0.574558
WNT	0.063513	0.261855
WNT5A	0.022455	0.504191
XIAP	0.051777	0.513434
YAP1	0.485843	0.075796
YWHAZ	0.5	0
ZBTB17	0.054683	0.507954
ubiquitin	0.014947	0.148215
