name	MCF10A_1	MCF10A_2	MCF10A_3	MCF10A_4	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
HIF1A	0	1	0	1	1	0	1	0
HMGB2	0	0	0	0	1	1	1	1
HMGCR	0	1	0	1	0	1	1	0
DNAJB2	1	1	1	1	0	0	0	0
ICAM1	0	0	0	0	1	1	1	1
IGF1R	1	1	1	1	0	0	0	0
IKBKB	1	1	1	1	0	0	0	0
IL4R	0	0	0	0	1	1	1	1
IL7R	0	0	0	0	1	1	1	1
ITGB8	1	1	1	1	0	0	0	0
JUN	0	1	0	1	0	1	0	1
LIMK2	1	1	1	1	0	0	0	0
LRP1	1	1	1	1	0	0	0	0
LTBP3	1	1	1	1	0	0	0	0
SMAD4	1	1	1	1	0	0	0	0
MAPT	1	1	1	1	0	0	0	0
MDM2	0	1	0	1	0	0	1	1
MAP3K1	0	0	0	0	1	1	1	1
MAP3K4	1	1	1	1	0	0	0	0
MVD	1	1	0	1	0	0	1	0
MVK	0	1	0	1	1	1	0	0
NFKBIA	0	0	0	0	1	1	1	1
NOTCH1	0	0	0	0	1	1	1	1
PAK1	0	1	1	0	0	1	0	1
PAK2	0	0	0	0	1	1	1	1
PDPK1	1	1	1	1	0	0	0	0
SERPINA1	0	0	0	0	1	1	1	1
PKM	1	1	0	1	0	1	0	0
PLK1	0	0	0	0	1	1	1	1
PPM1A	1	0	1	1	0	0	1	0
PPP2CA	0	1	0	1	0	1	0	1
PPP3CA	1	1	1	0	0	0	0	1
PPP4C	0	0	0	0	1	1	1	1
PPP3CB	0	1	1	1	0	0	0	1
PPP3CC	1	1	1	1	0	0	0	0
PRKACA	1	1	1	1	0	0	0	0
PKIA	1	1	1	1	0	0	0	0
PRKCA	1	1	1	1	0	0	0	0
PRKCD	0	0	0	0	1	1	1	1
PKN1	0	0	0	0	1	1	1	1
MAPK1	0	1	1	1	0	0	0	1
MAPK3	1	1	1	1	0	0	0	0
MAPK6	0	1	0	1	0	0	1	1
MAPK8	0	0	1	0	1	1	0	1
MAPK11	1	1	1	1	0	0	0	0
MAPK9	0	1	1	1	0	0	0	1
MAPK13	0	0	0	0	1	1	1	1
MAP2K1	0	1	0	1	0	1	0	1
MAP2K3	0	0	0	0	1	1	1	1
MAP2K6	1	1	1	1	0	0	0	0
MAP2K7	0	0	1	0	1	1	1	0
EIF2AK2	0	0	0	0	1	1	1	1
PTK6	0	0	0	0	1	1	1	1
PTPN1	0	0	0	0	1	1	1	1
PTPN11	0	0	0	0	1	1	1	1
PTPRA	1	1	1	1	0	0	0	0
RAC1	0	0	0	0	1	1	1	1
RAD23A	0	0	0	0	1	1	1	1
RAF1	0	0	0	0	1	1	1	1
RARA	1	1	1	1	0	0	0	0
RASGRF1	0	0	0	0	1	1	1	1
RB1	1	1	1	1	0	0	0	0
RELA	0	1	0	0	1	0	1	1
ROCK1	1	1	1	1	0	0	0	0
RPS6KA1	0	0	0	0	1	1	1	1
RPS6KA2	1	1	1	0	0	0	1	0
RPS6KA3	0	0	0	0	1	1	1	1
RPS6KB1	1	0	1	0	0	1	0	1
S100A2	1	1	1	1	0	0	0	0
MAPK12	0	0	0	0	1	1	1	1
SELPLG	0	0	0	0	1	1	1	1
MAP2K4	0	0	0	0	1	1	1	1
SHC1	1	1	1	1	0	0	0	0
SKIL	1	1	1	1	0	0	0	0
SKP2	0	1	1	0	0	1	0	1
SNAI1	0	1	0	1	1	0	0	1
SNRPA	0	0	0	0	1	1	1	1
SREBF2	0	1	0	1	1	0	1	0
SRPK1	0	0	0	0	1	1	1	1
STAT3	0	0	1	1	1	0	1	0
AURKA	0	0	0	0	1	1	1	1
STK10	0	0	0	0	1	1	1	1
STK11	1	0	0	0	1	1	1	0
TACC1	1	1	1	1	0	0	0	0
TAF12	1	1	1	1	0	0	0	0
MAP3K7	1	1	1	1	0	0	0	0
TBL1X	0	0	0	0	1	1	1	1
ELOC	0	1	0	1	0	1	0	1
TCF3	1	1	0	1	0	1	0	0
TGFA	0	0	0	0	1	1	1	1
TGFB1	1	1	1	1	0	0	0	0
TOP2A	0	0	0	0	1	1	1	1
TP53	0	0	0	0	1	1	1	1
TPR	1	1	1	1	0	0	0	0
UBE2D3	1	0	1	1	0	0	0	1
UBE2I	0	0	0	0	1	1	1	1
SUMO1	0	0	1	1	0	0	1	1
VDR	1	1	0	1	0	1	0	0
VIM	1	1	1	1	0	0	0	0
WNT5A	1	1	1	1	0	0	0	0
YWHAZ	0	1	0	1	0	1	0	1
ZBTB17	1	1	1	1	0	0	0	0
MAPKAPK3	0	0	0	0	1	1	1	1
HMGA2	1	1	1	1	0	0	0	0
CUL2	0	0	0	0	1	1	1	1
OGT	1	0	1	0	1	0	1	0
PPM1D	1	1	1	1	0	0	0	0
IKBKG	0	0	0	0	1	1	1	1
PIAS1	1	1	1	1	0	0	0	0
ADAM9	1	1	1	1	0	0	0	0
IQGAP1	1	1	1	1	0	0	0	0
HDAC3	1	1	0	1	0	1	0	0
KAT2B	1	0	1	0	0	1	0	1
TAF1B	0	0	0	0	1	1	1	1
PRPF4	0	0	0	0	1	1	1	1
RPS6KA5	0	0	0	0	1	1	1	1
MAPKAPK2	1	1	1	1	0	0	0	0
SNAP29	1	1	1	1	0	0	0	0
TAOK2	1	1	1	1	0	0	0	0
CKAP5	0	0	0	0	1	1	1	1
HUWE1	0	0	0	0	1	1	1	1
TRIM28	1	0	0	0	1	1	0	1
TNK2	1	1	1	1	0	0	0	0
STX6	1	1	1	1	0	0	0	0
PIAS3	1	1	1	1	0	0	0	0
NDC80	0	0	0	0	1	1	1	1
YAP1	0	0	0	0	1	1	1	1
PRMT5	0	0	0	0	1	1	1	1
TAB1	1	1	1	1	0	0	0	0
MAD2L2	0	0	0	0	1	1	1	1
PMVK	0	1	0	1	0	0	1	1
MAP3K2	1	1	1	1	0	0	0	0
COPS5	0	0	1	1	0	1	0	1
TRIOBP	1	1	1	1	0	0	0	0
CDC37	0	0	0	0	1	1	1	1
CHEK2	0	0	0	0	1	1	1	1
DKK1	1	1	1	1	0	0	0	0
TPX2	0	0	0	0	1	1	1	1
TNIK	0	0	0	0	1	1	1	1
USP22	1	1	1	1	0	0	0	0
SIRT1	1	0	1	0	1	0	1	0
TARDBP	0	1	0	1	0	1	0	1
BACE1	1	1	1	1	0	0	0	0
LATS2	1	1	1	1	0	0	0	0
SH3YL1	1	1	1	1	0	0	0	0
HIPK2	1	1	1	1	0	0	0	0
RHOD	1	1	1	1	0	0	0	0
RRM2B	1	1	1	1	0	0	0	0
EVL	1	1	1	1	0	0	0	0
CXXC5	1	1	1	1	0	0	0	0
TRIM33	0	0	0	0	1	1	1	1
MOCOS	0	0	0	0	1	1	1	1
PAG1	0	0	0	0	1	1	1	1
PBK	0	0	0	0	1	1	1	1
BIRC6	1	1	1	1	0	0	0	0
TAOK1	1	0	0	1	1	1	0	0
RFWD2	1	1	1	1	0	0	0	0
SETD7	1	0	1	1	0	0	0	1
CABLES2	0	0	0	0	1	1	1	1
NUF2	0	0	0	0	1	1	1	1
MEX3B	1	1	1	1	0	0	0	0
COMMD1	0	1	0	1	0	1	0	1
AMOTL1	1	1	1	1	0	0	0	0
RICTOR	1	0	0	0	1	0	1	1
PPP3C	1	1	1	1	0	0	0	0
TAOK	1	0	0	1	1	1	0	0
