name	MCF1	MCF2	MCF3	MCF4	MD1	MD2	MD3	MD4
PRKCD	0	0	0	0	0	0	0	0
PKN1	1	1	1	1	1	1	1	1
MAPK1	1	1	1	1	1	1	1	1
MAPK3	0	0	0	0	0	0	0	0
MAPK6	1	1	1	1	1	1	1	1
MAPK8	0	0	0	0	0	0	0	0
MAPK11	0	0	0	0	0	0	0	0
MAPK9	1	1	1	1	1	1	1	1
MAPK13	0	0	0	0	1	0	1	0
MAP2K1	1	1	0	1	1	1	1	1
MAP2K3	0	0	0	0	0	0	0	0
MAP2K6	0	0	0	0	0	0	0	0
MAP2K7	0	0	0	0	0	0	0	0
EIF2AK2	1	0	1	1	1	1	1	1
PTK6	0	0	0	0	0	0	0	0
PTPN1	1	1	1	1	1	1	1	1
PTPN11	1	1	1	1	1	1	1	1
PTPRA	1	1	1	1	1	1	1	1
RAC1	1	1	1	1	1	1	1	1
RAD23A	1	1	1	1	1	1	1	1
RAF1	1	1	1	1	1	1	1	1
RARA	0	0	0	0	0	0	0	0
RASGRF1	0	0	0	0	0	0	0	0
RB1	1	1	1	1	1	1	1	1
RELA	1	1	1	1	1	1	1	1
ROCK1	1	1	1	1	1	1	1	1
RPS6KA1	0	0	0	0	0	0	0	0
RPS6KA2	1	1	1	1	1	1	1	1
RPS6KA3	1	1	1	1	1	1	1	1
RPS6KB1	1	0	1	0	1	1	1	1
S100A2	1	1	1	1	0	0	0	0
MAPK12	0	0	0	0	0	0	0	0
SELPLG	0	0	0	0	0	0	0	0
MAP2K4	0	0	0	0	0	0	1	0
SHC1	1	1	1	1	1	1	1	1
SKIL	1	1	1	1	0	0	0	0
SKP2	0	0	0	0	0	0	0	0
SNAI1	0	0	0	0	0	0	0	0
SNRPA	1	1	1	1	1	1	1	1
SREBF2	1	1	1	1	1	1	1	1
SRPK1	1	1	1	1	1	1	1	1
STAT3	1	1	1	1	1	1	1	1
AURKA	0	0	0	0	1	1	1	1
STK10	1	1	1	1	1	1	1	1
STK11	0	0	0	0	0	0	0	0
TACC1	1	1	1	1	1	1	1	1
TAF12	0	0	0	0	0	0	0	0
MAP3K7	1	1	1	1	0	1	0	1
TBL1X	0	0	0	0	1	1	1	1
ELOC	0	0	0	0	0	0	0	0
TCF3	1	1	1	1	1	1	1	1
TGFA	0	0	0	0	0	0	0	0
TGFB1	1	1	1	1	1	1	1	1
TOP2A	1	1	1	1	1	1	1	1
TP53	1	1	1	1	1	1	1	1
TPR	1	1	1	1	1	1	1	1
UBE2D3	1	1	1	1	1	1	1	1
UBE2I	1	1	1	1	1	1	1	1
SUMO1	1	1	1	1	1	1	1	1
VDR	0	0	0	0	0	0	0	0
VIM	1	1	1	1	1	1	1	1
WNT5A	1	1	1	1	0	0	0	0
YWHAZ	1	1	1	1	1	1	1	1
ZBTB17	0	0	0	0	0	0	0	0
MAPKAPK3	0	0	0	0	1	1	1	1
HMGA2	1	1	1	1	1	1	1	1
CUL2	1	1	1	1	1	1	1	1
OGT	1	1	1	1	1	1	1	1
PPM1D	0	0	0	0	0	0	0	0
IKBKG	0	0	0	0	0	0	0	0
PIAS1	1	1	1	1	0	0	0	0
ADAM9	1	1	1	1	1	1	1	1
IQGAP1	1	1	1	1	1	1	1	1
HDAC3	1	1	1	1	1	1	1	1
KAT2B	0	0	0	0	0	0	0	0
TAF1B	0	0	0	0	0	0	0	0
PRPF4	0	0	0	0	1	1	1	1
RPS6KA5	0	0	0	0	0	0	0	0
MAPKAPK2	1	1	1	1	1	1	1	1
SNAP29	1	1	1	1	0	0	0	0
TAOK2	0	0	0	0	0	0	0	0
CKAP5	1	1	1	1	1	1	1	1
HUWE1	1	1	1	1	1	1	1	1
TRIM28	1	1	1	1	1	1	1	1
TNK2	0	0	0	0	0	0	0	0
STX6	1	1	1	1	1	0	1	0
PIAS3	1	1	1	1	1	1	1	1
NDC80	0	0	0	0	0	0	0	0
YAP1	1	1	1	1	1	1	1	1
PRMT5	1	1	1	1	1	1	1	1
TAB1	0	0	0	0	0	0	0	0
MAD2L2	0	0	0	0	0	0	0	0
PMVK	0	0	0	0	0	0	0	0
MAP3K2	1	1	1	1	1	1	1	1
COPS5	0	0	0	0	0	0	0	0
TRIOBP	1	1	1	1	1	0	1	0
CDC37	1	1	1	1	1	1	1	1
CHEK2	0	0	0	0	0	0	0	0
DKK1	1	1	1	1	1	1	1	1
TPX2	1	1	1	1	1	1	1	1
TNIK	0	0	0	0	0	0	0	0
USP22	1	1	1	1	1	1	1	1
SIRT1	0	0	0	0	0	0	0	0
TARDBP	1	1	1	1	1	1	1	1
BACE1	1	1	1	1	1	1	1	1
LATS2	1	0	0	1	0	0	0	0
SH3YL1	0	0	0	0	0	0	0	0
HIPK2	1	1	1	1	1	1	1	1
RHOD	0	0	0	0	0	0	0	0
RRM2B	1	1	1	1	0	0	0	0
EVL	0	0	0	0	0	0	0	0
CXXC5	1	1	1	1	0	0	0	0
TRIM33	1	1	1	1	1	1	1	1
MOCOS	0	0	0	0	0	0	0	0
PAG1	0	0	0	0	0	0	0	0
PBK	0	0	0	0	0	1	0	1
BIRC6	1	1	1	1	1	0	1	1
TAOK1	1	1	1	1	1	1	1	1
RFWD2	0	0	0	0	0	0	0	0
SETD7	1	1	1	1	1	1	1	1
CABLES2	0	0	0	0	0	0	0	0
NUF2	0	0	0	0	0	0	0	0
MEX3B	0	0	0	0	0	0	0	0
COMMD1	0	0	0	0	0	0	0	0
AMOTL1	1	1	1	1	1	1	1	1
RICTOR	1	0	1	0	1	1	1	1
	1	1	1	1	1	1	0	1
	0	0	0	0	0	0	0	0
