name	MCF10A_1	MCF10A_2	MCF10A_3	MCF10A_4	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
MAPK6	0	0.5	0	0.5	0.176776695	0.176776695	0.676776695	0.676776695
RPS6KA2	0.5	0.575377836	0.5	0.075377836	0.02665009	0.02665009	0.602027926	0.102027926
RPS6KA3	0	0.075377836	0	0.075377836	0.52665009	0.52665009	0.602027926	0.602027926
RPS6KB1	0.524749875	0.102214173	0.628690105	0.102214173	0.147136432	0.65460661	0.137579791	0.730091976
RARA	0.535001609	0.591252491	0.681995292	0.591252491	0.117069094	0.127633523	0.050253784	0.181085771
SPI1	0.032220054	0.017279696	0.136160284	0.017279696	0.122555731	0.137496088	0.028064613	0.128046977
YAP1	0.035001609	0.091252491	0.181995292	0.091252491	0.617069094	0.627633523	0.550253784	0.681085771
MAPKAP1:MLST8:MTOR:RICTOR	0	0	0	0	0.102062073	0.102062073	0.102062073	0.102062073
PIAS1	0.728849643	0.739342829	0.926842488	0.936212446	0.057839886	0.057839886	0.265202689	0.26407946
MTOR	0	0	0	0	0.5	0.5	0.5	0.5
MTOR:RICTOR	0	0	0	0	0.102062073	0.102062073	0.102062073	0.102062073
MTOR:RPTOR	0	0	0	0	0.102062073	0.102062073	0.102062073	0.102062073
MVD	0.502914838	0.972505195	0.004646649	0.973098262	0.167253269	0.197231551	0.854230123	0.262408478
AKT1	0.409336964	0.945444165	0.431120664	0.883188465	0.406058656	0.927666831	0.427514198	1.032025762
PMVK	0.005829676	0.94501039	0.009293297	0.946196525	0.334506539	0.394463101	0.708460246	0.524816956
CSNK2A1	0.583555558	0.192987982	0.588002137	0.18028009	0.082886376	0.189359199	0.58726597	0.710661376
UBE2I	0.229955852	0.174492198	0.263093693	0.201655268	0.768307302	0.699015207	0.802909903	0.740421327
CTNNB1	0.824820752	0.926332276	0.984050575	0.874913885	0.421808787	0.432387137	0.434968465	0.555738298
EP300	0.58329974	0.239321057	0.657773239	0.230335221	0.596863948	0.172203492	0.60329205	0.244268373
JUN	0.167187225	0.767292231	0.379669755	0.843645007	0.362003264	0.890649208	0.337522264	0.906879975
MDM2	0.235859397	0.636463111	0.062226908	0.627477274	0.297886214	0.373173869	0.624206359	0.888236783
PAK2	0	0	0	0	0.5	0.5	0.5	0.5
CHEK1	0.195995574	0.079874599	0.271338409	0.079874599	0.707809425	0.889103944	0.702630371	0.944740012
PBK	0	0	0	0	0.5	0.5	0.5	0.5
GSK3B	0.523707297	0.626599578	0.539975995	0.626599578	0.070110092	0.173002373	0.070110092	0.156733675
PTPN1	0	0	0	0	0.5	0.5	0.5	0.5
SUMO1	0.210400769	0.213429891	0.76755638	0.770261254	0.016696937	0.016696937	0.576557422	0.576233174
RAC1	0	0	0	0	0.5	0.5	0.5	0.5
RAF1	0.195368604	0.195368604	0.195368604	0.195368604	0.510416667	0.510416667	0.510416667	0.510416667
TCF3	0.843202694	0.547154008	0.353952018	0.545857015	0.262762319	0.659192367	0.263690135	0.169594037
PKM	0.551770937	0.615220713	0.053439344	0.547438331	0.121957038	0.540451902	0.122462653	0.124846195
AMOTL1	0.5	0.5	0.5	0.5	0	0	0	0
MAPK1	0.193736304	0.82286357	0.764370653	0.82286357	0.306035439	0.306450543	0.332685529	0.762466284
ARAF	0	0	0	0	0.644337567	0.644337567	0.644337567	0.644337567
MAP2K1	0.11614156	0.620208734	0.195841578	0.620208734	0.343467904	0.847535078	0.343467904	0.76783506
PPM1A	0.5	0	0.5	0.5	0	0	0.5	0
ATM	0.5	0.5	0.5	0.5	0	0	0	0
CHEK2	0.371857181	0.394290064	0.372447052	0.370325373	0.543118324	0.514301907	0.543297086	0.544139796
AURKA	0.108009673	0.18483364	0.160922885	0.112830789	0.688876089	0.835612353	0.714806096	0.830542616
LATS2	0.681926583	0.667685155	0.712665336	0.648766669	0.475924418	0.544397099	0.478802626	0.568226348
PLK1	0.210672626	0.299011209	0.270827118	0.215241484	0.892838173	0.949291894	0.919126405	1.001269078
PPP2CA	0	0.5	0	0.5	0	0.5	0	0.5
BRAF	0	0	0.5	0	0.5	0.5	0.5	0
PPP3C	0	0	0	0	0	0	0	0
CASP3	0	0.5	0.5	0.5	0	0.5	0	0
PRKCD	0	0.25	0.25	0.25	0.5	0.75	0.5	0.5
PPP4C	0	0	0	0	0.5	0.5	0.5	0.5
TRIM28	0.5	0	0	0	0.676776695	0.676776695	0.176776695	0.676776695
CDC25A	0	0	0	0	0.5	0.5	0.5	0.5
CDK1	0	0	0	0	0.853553391	0.853553391	0.853553391	0.853553391
PRKACA	0.5	0.5	0.5	0.5	0	0	0	0
EGFR	0.102651611	0.194803333	0.143016794	0.18169586	0.699720528	0.671268686	0.727905906	0.746444477
CDC25C	0	0	0	0	0.5	0.5	0.5	0.5
CDC37	0.17283201	0.17283201	0.17283201	0.17283201	0.579056942	0.579056942	0.579056942	0.579056942
FOS	0.12493022	0.718456457	0.683804605	0.64481557	1.0635576	0.562105553	0.682913877	0.63594346
CDK5	0.5	0.5	0.5	0	0.5	0	0	0
PRMT5	0	0	0	0	0.5	0.5	0.5	0.5
STAT3	0.415425261	0.455954916	0.950401431	0.880851301	0.958665998	0.40195744	0.882876649	0.411213108
PAK1	0.206318046	0.568231555	0.707890149	0.063738637	0.206081455	0.743725282	0.38440657	0.928033435
PRPF4	0	0	0	0	0.5	0.5	0.5	0.5
CDK6	0	0.5	0	0.5	0	0.5	0	0.5
PKN1	0	0.176776695	0	0.176776695	0.5	0.676776695	0.5	0.676776695
PTK6	0	0.02665009	0	0.02665009	0.686198925	0.686198925	0.712849014	0.712849014
RELA	0.343409547	0.764287747	0.354476509	0.314670286	0.808971473	0.268327561	0.812325342	0.828135972
RB1	0.5	0.5	0.5	0.5	0	0	0	0
CDKN1A	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
RAD23A	0	0	0	0	0.5	0.5	0.5	0.5
CHUK	0.195368604	0.195368604	0.195368604	0.195368604	0.5	0.5	0.5	0.5
CHUK:IKBKB	0.043685748	0.043685748	0.043685748	0.043685748	0.111803399	0.111803399	0.111803399	0.111803399
ABL1	0.5	0.5	0.5	0.5	0	0	0	0
CREBBP	0.543685748	0.043685748	0.543685748	0.043685748	0.611803399	0.111803399	0.611803399	0.111803399
NFKBIA	0	0	0	0	0.5	0.5	0.5	0.5
COMMD1	0	0.5	0	0.5	0	0.5	0	0.5
SMAD4	0.551770937	0.615220713	0.553439344	0.547438331	0.121957038	0.040451902	0.122462653	0.124846195
COPS2:COPS5	0.012594428	0.013823164	0.205589971	0.203481423	0.029063832	0.18896282	0.02676613	0.189243424
COPS5	0.035622422	0.039097811	0.58149625	0.575532376	0.082204931	0.534467566	0.075706048	0.535261233
BACE1	0.5	0.5	0.5	0.5	0	0	0	0
CREB1	0.029349452	0.052673561	0.042967398	0.052673561	0.655981944	0.655991117	0.665993063	0.674481376
CSNK1E	0.5	0.5	0.5	0.5	0	0	0	0
SKP2	0.25	0.75	0.75	0.25	0	0.5	0	0.5
CSNK2A1:CSNK2A2:CSNK2B	0.027513109	0.027513109	0.035581824	0.027513109	0.130395269	0.130395269	0.130395269	0.122326554
HDAC1	0.009727353	0.009727353	0.012580075	0.009727353	0.546101689	0.546101689	0.546101689	0.543248968
HDAC3	0.509727353	0.509727353	0.012580075	0.509727353	0.046101689	0.546101689	0.046101689	0.043248968
STK11	0.5	0	0	0	0.5	0.5	0.5	0
CSNK2A1:CSNK2A2:CSNK2B:RELA	0.051770937	0.115220713	0.053439344	0.047438331	0.121957038	0.040451902	0.122462653	0.124846195
ANXA1	0.114137404	0.141469645	0.136102018	0.133108984	0.61498785	0.628962963	0.617736119	0.646535846
SETD7	0.5	0	0.5	0.5	0	0	0	0.5
BGN	0.645809087	0.663753958	0.673957209	0.654664385	0.074565963	0.076435969	0.076892288	0.09824158
FN1	0.630875636	0.823260813	0.721970653	0.814682809	0.269243992	0.167730401	0.158497389	0.265901103
STX6	0.62829145	0.643437862	0.680632873	0.662773691	0.110853763	0.078420642	0.107903318	0.094400744
TNIK	0.145809087	0.163753958	0.173957209	0.154664385	0.574565963	0.576435969	0.576892288	0.59824158
TP53	0.186549646	0.240332495	0.297385505	0.27828879	0.704209247	0.622819234	0.67072787	0.794142606
VIM	0.607639355	0.661442274	0.657699468	0.677913062	0.142160051	0.157013266	0.139518381	0.170721466
TRIM33	0.07219929	0.252394912	0.0889777	0.251029588	0.70732644	0.547107721	0.56387658	0.704800494
MEX3B	0.5	0.5	0.5	0.5	0	0	0	0
CD55	0	0	0	0	0.5	0.5	0.5	0.5
PKIA	0.5	0.5	0.5	0.5	0	0	0	0
GSN	0.5	0.5	0.5	0.5	0	0	0	0
CUL1:ELK1:FBXO25:RBX1:SKP1	0.25	0.25	0	0	0.072168784	0.322168784	0.072168784	0.322168784
UBE2D3	0.5	0	0.5	0.5	0	0	0	0.5
ZBTB17	0.516110027	0.508639848	0.568080142	0.508639848	0.061277865	0.068748044	0.014032306	0.064023488
CUL2	0	0	0	0	0.5	0.5	0.5	0.5
SREBF2	0.046637411	0.560083124	0.074346376	0.569572198	0.676052312	0.155704809	0.667681967	0.198535652
ELOC	0	0.5	0	0.5	0.25	0.75	0.25	0.75
ADAM9	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
HIF1A	0	0.5	0	0.5	0.5	0	0.5	0
CYLD	0.5	0.5	0.5	0.5	0	0	0	0
DKK1	0.5	0.5	0.5	0.5	0	0	0	0
PRKCA	0.676776695	0.676776695	0.676776695	0.676776695	0.036084392	0.036084392	0.036084392	0.036084392
DUSP1	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
MAPK14	0.155637646	0.155637646	0.201281192	0.155637646	0.737627031	0.737627031	0.737627031	0.691983484
MAPK3	0.53352718	0.67903884	0.556534594	0.67903884	0.099150643	0.244662303	0.099150643	0.221654889
IL4R	0.035622422	0.039097811	0.08149625	0.075532376	0.582204931	0.534467566	0.575706048	0.535261233
MAPK8	0.170492499	0.091435557	0.720492499	0.091435557	0.648503971	0.727560913	0.148503971	0.677560913
DVL2	0	0	0.5	0	0.5	0	0.5	0.5
ERBB2	0.54569707	0.652294463	0.605995067	0.650402562	0.206568605	0.202498625	0.250681289	0.287310355
SELPLG	0.035622422	0.039097811	0.08149625	0.075532376	0.582204931	0.534467566	0.575706048	0.535261233
EIF2AK2	0	0	0	0	0.5	0.5	0.5	0.5
EIF2AK2:PDGFB:PDGFRB	0	0	0	0	0.176776695	0.176776695	0.176776695	0.176776695
SERPINA1	0.035622422	0.039097811	0.08149625	0.075532376	0.582204931	0.534467566	0.575706048	0.535261233
MAP2K6	0.699174895	0.699174895	0.699174895	0.699174895	0.079056942	0.079056942	0.079056942	0.079056942
ELK1	0.5	0.5	0	0	0.144337567	0.644337567	0.144337567	0.644337567
TRIOBP	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
XIAP	0.035622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.575706048	0.035261233
ERBB3	0.636424267	0.663073616	0.651498767	0.662600641	0.051642151	0.050624656	0.062670322	0.071827589
FOXM1	0.139580536	0.324805264	0.165648909	0.300349955	0.78755579	0.947602692	0.801511666	0.974848731
FDPS	0.251457419	0.986252598	0.502323324	0.986549131	0.083626635	0.598615775	0.427115061	0.131204239
RHOA	0.265680318	1.025469645	0.35437481	1.025574486	0.52956648	0.211642637	0.651007978	0.046387704
FMR1	0	0	0	0	0.5	0.5	0.5	0.5
SIRT1	0.650885469	0.307610357	0.651719672	0.273719165	0.685978519	0.270225951	0.686231327	0.312423098
ATF3	0.030930898	0.162898138	0.127990851	0.158159736	0.681440475	0.649848026	0.624610536	0.661757841
ICAM1	0.065179747	0.173766747	0.158492248	0.146989414	0.743214433	0.60949955	0.694894925	0.667384722
SNAP29	0.525501274	0.64665431	0.63958103	0.631622427	0.217097786	0.114739316	0.139399211	0.129811415
TGFB1	0.59093442	0.784913607	0.681085591	0.767287017	0.298776243	0.149344431	0.196000835	0.265496425
TAB1	0.5	0.5	0.5	0.5	0	0	0	0
EVL	0.5	0.5	0.5	0.5	0	0	0	0
RFWD2	0.5	0.5	0.5	0.5	0	0	0	0
TAOK	0	0	0	0	0	0	0	0
TARDBP	0	0.5	0	0.5	0	0.5	0	0.5
BUB1	0.087051935	0.113108338	0.062948379	0.116235684	0.594678392	0.670050746	0.594111367	0.633632674
CDC20	0.015605578	0.036314333	0.018520111	0.033580146	0.588051414	0.605945202	0.589611729	0.608991401
CABLES2	0.116931175	0.075876609	0.049084313	0.075696748	0.536438577	0.591413534	0.536567242	0.523518461
CKAP5	0.023933585	0.084875992	0.042387854	0.088833374	0.59019091	0.643629649	0.589405469	0.647035868
FGF13	0.523933585	0.584875992	0.542387854	0.588833374	0.09019091	0.143629649	0.089405469	0.147035868
HMGA2	0.523933585	0.584875992	0.542387854	0.588833374	0.09019091	0.143629649	0.089405469	0.147035868
HMGB2	0.087051935	0.113108338	0.062948379	0.116235684	0.594678392	0.670050746	0.594111367	0.633632674
KAT2A	0.087051935	0.113108338	0.062948379	0.116235684	0.594678392	0.670050746	0.594111367	0.633632674
TGFA	0.116931175	0.075876609	0.049084313	0.075696748	0.536438577	0.591413534	0.536567242	0.523518461
LIMK2	0.523933585	0.584875992	0.542387854	0.588833374	0.09019091	0.143629649	0.089405469	0.147035868
MAD2L2	0.015605578	0.036314333	0.018520111	0.033580146	0.588051414	0.605945202	0.589611729	0.608991401
ROCK1	0.587051935	0.613108338	0.562948379	0.616235684	0.094678392	0.170050746	0.094111367	0.133632674
S100A2	0.587051935	0.613108338	0.562948379	0.616235684	0.094678392	0.170050746	0.094111367	0.133632674
ITGB8	0.5	0.5	0.5	0.5	0	0	0	0
SNRPA	0.023933585	0.084875992	0.042387854	0.088833374	0.59019091	0.643629649	0.589405469	0.647035868
SRPK1	0.087051935	0.113108338	0.062948379	0.116235684	0.594678392	0.670050746	0.594111367	0.633632674
TACC1	0.515605578	0.536314333	0.518520111	0.533580146	0.088051414	0.105945202	0.089611729	0.108991401
TAF1B	0.087051935	0.113108338	0.062948379	0.116235684	0.594678392	0.670050746	0.594111367	0.633632674
PTPRA	0.5	0.5	0.5	0.5	0	0	0	0
TPR	0.587051935	0.613108338	0.562948379	0.616235684	0.094678392	0.170050746	0.094111367	0.133632674
CXXC5	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
DNAJB2	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
TP53:SMAD2	0.046637411	0.060083124	0.074346376	0.069572198	0.176052312	0.155704809	0.167681967	0.198535652
FBLN1	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
VDR	0.546637411	0.560083124	0.074346376	0.569572198	0.176052312	0.655704809	0.167681967	0.198535652
FYN	0.035622422	0.039097811	0.08149625	0.075532376	0.582204931	0.534467566	0.575706048	0.535261233
TP63	0	0	0	0	0	0	0	0
HUWE1	0.035622422	0.039097811	0.08149625	0.075532376	0.582204931	0.534467566	0.575706048	0.535261233
CCNG2	0.5	0.5	0.5	0.5	0	0	0	0
LRP1	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
WNT5A	0.5	0.5	0.5	0.5	0	0	0	0
LTBP3	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
MAPK13	0.107366389	0.10892063	0.177881788	0.125214663	0.685267134	0.663918335	0.682360745	0.614273274
UBE2	0.017811211	0.269548906	0.290748125	0.287766188	0.041102466	0.017233783	0.287853024	0.017630617
MAPT	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
MOCOS	0.035622422	0.039097811	0.08149625	0.075532376	0.582204931	0.534467566	0.575706048	0.535261233
USP22	0.5	0.5	0.5	0.5	0	0	0	0
PIAS3	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
WNT	0.273318706	0.280041562	0.037173188	0.284786099	0.088026156	0.327852404	0.083840984	0.099267826
RASGRF1	0.035622422	0.039097811	0.08149625	0.075532376	0.582204931	0.534467566	0.575706048	0.535261233
RRM2B	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
SH3YL1	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
YWHAZ	0	0.5	0	0.5	0	0.5	0	0.5
SHC1	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
PAG1	0.18247245	0.179831343	0.20084666	0.179831343	0.521664997	0.524306104	0.504961169	0.522635721
SKIL	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
TNK2	0.68247245	0.679831343	0.70084666	0.679831343	0.021664997	0.024306104	0.004961169	0.022635721
TAF12	0.535622422	0.539097811	0.58149625	0.575532376	0.082204931	0.034467566	0.075706048	0.035261233
NDC80	0	0	0	0	0.5	0.5	0.5	0.5
TBL1X	0.035622422	0.039097811	0.08149625	0.075532376	0.582204931	0.534467566	0.575706048	0.535261233
NUF2	0	0	0	0	0.5	0.5	0.5	0.5
MAP3K1	0.130926824	0.156649894	0.134993999	0.156649894	0.517527523	0.543250593	0.517527523	0.539183419
OGT	0.630926824	0.156649894	0.634993999	0.156649894	0.517527523	0.043250593	0.517527523	0.039183419
TOP2A	0	0	0	0	0.5	0.5	0.5	0.5
TPX2	0	0	0	0	0.5	0.5	0.5	0.5
MAP3K4	0.5	0.5	0.5	0.5	0	0	0	0
RICTOR	0.5	0	0	0	0.5	0	0.5	0.5
SNAI1	0.250105677	0.874321624	0.308227793	0.869592002	0.718199855	0.163185932	0.221274964	0.709449722
HIPK2	0.754863676	0.754863676	0.506290037	0.754863676	0.023050845	0.273050845	0.023050845	0.021624484
PPM1D	0.551770937	0.615220713	0.553439344	0.547438331	0.121957038	0.040451902	0.122462653	0.124846195
HMGCR	0.023318706	0.780041562	0.037173188	0.784786099	0.338026156	0.577852404	0.833840984	0.099267826
MVK	0.011659353	0.890020781	0.018586594	0.892393049	0.669013078	0.788926202	0.416920492	0.049633913
IKBKB	0.695368604	0.695368604	0.695368604	0.695368604	0	0	0	0
IKBKG	0.200735625	0.200735625	0.200735625	0.200735625	0.5	0.5	0.5	0.5
IQGAP1	0.625	0.625	0.625	0.625	0	0	0	0
