Gene_Symbol	MCF10A	MDAMB231
AMPD3	6.657866778	7.596514943
BIN1	10.82448501	10.17600748
AMT	4.69477932	4.12743224
ANG	5.796687858	5.11972058
ANGPT1	9.750903618	7.291910738
ANK1	5.899689025	6.874119663
ANK2	4.188604898	5.160227903
ANK3	7.329199065	5.07894625
SLC25A4	8.801474878	8.72804971
SLC25A5	11.67199294	12.30696256
SLC25A6	11.37890963	11.48993548
ANXA1	12.52308471	12.80487253
ANXA2	14.7887649	14.30724111
ANXA2P1	7.10702455	6.686144185
ANXA2P2	11.73180981	11.18991488
ANXA2P3	7.5863531	6.75961481
ANXA3	8.188493383	10.22541725
ANXA4	10.00993834	9.65785515
ANXA5	13.58089216	13.49074647
ANXA6	10.38146619	11.49639587
ANXA7	10.48500866	10.75072579
ANXA11	10.92891136	11.1496943
AOX1	11.06626272	10.52084822
APAF1	8.797549835	8.560499918
NUDT2	7.45579631	7.527568853
APBB1	7.3501414	7.09989521
APBB2	12.37520531	11.29407158
APC	9.607733668	9.382795155
APEH	9.718197823	9.702232058
APEX1	11.1142696	11.21260603
BIRC2	10.06744181	10.2508177
BIRC3	9.734781418	11.84259581
XIAP	9.979864668	9.943811323
BIRC5	8.911818705	9.98760083
APLP1	7.73374385	5.940239445
APLP2	13.8255968	13.58295093
APOC1	4.939982168	5.79103159
APP	13.31426041	12.98869933
APRT	9.076299498	9.27895991
FAS	9.043936335	7.205128675
SHROOM2	7.751194623	9.032699595
AQP1	5.777846463	5.35381018
AQP3	6.273775143	7.309022735
AR	4.554741058	6.232126713
ARAF	9.591887055	10.10203814
ARCN1	11.93540315	12.23209389
TRIM23	8.137255583	8.12931771
AREG	9.866281965	11.64727499
ARF1	13.06201038	12.84714566
ARF3	11.43103802	11.20110433
ARF4	12.43195405	12.32443142
ARL4D	7.454524395	7.805067633
ARF5	10.10603702	9.766255838
ARF6	11.46217533	12.00649577
ARG2	3.97444212	4.812536383
RHOA	12.46450219	12.45687963
RHOB	9.658209983	10.13397215
RHOC	11.62428656	11.34849429
RND3	9.910300118	10.20658402
RHOG	9.081087513	9.266518283
ARHGAP1	10.48259267	9.846396713
ARHGAP5	10.65025216	10.91609038
ARHGDIA	12.25903295	12.47660782
ARHGDIB	9.38439321	9.536714583
ARL1	10.63594767	10.57569295
ARL2	9.43123341	10.17988903
ARL3	9.234253273	9.135209725
ARNT	10.54041756	9.762221048
ARNTL	9.39834178	8.65130632
ARRB1	8.708259118	8.98757383
ARRB2	8.14180227	7.816125185
ARSA	8.248503745	7.031119368
ARSB	8.498950503	8.48328987
STS	8.801581005	9.405741373
ARSD	8.336130948	7.23351825
ASAH1	10.06052725	9.504474153
ASL	8.307150493	8.384433865
ASNA1	9.397722188	9.748892675
ASNS	7.707955513	9.318930888
ASPH	12.73459196	12.11022654
ASS1	11.56945149	10.88222041
ZFHX3	9.618296955	8.528135038
ATF1	9.784700878	9.403884125
ATF3	4.04820079	5.791970573
ATF4	12.21285044	11.61422646
ATIC	10.40589335	10.86154734
ATM	9.882440888	9.340256918
RERE	10.16035367	9.982415813
ATOX1	8.832388063	8.577860613
ATP1A1	13.383607	13.38307445
ATP1A2	5.943951793	4.353091293
ATP1B1	12.02798408	11.46067758
ATP1B3	10.2916543	10.07170556
ATP2A2	12.29515351	12.67944546
ATP2B1	11.66156425	12.11133418
ATP2B4	10.49980526	11.29907764
ATP5A1	12.37869894	12.48113569
ALDH7A1	10.3854614	10.0398651
ATP5B	12.17944898	12.67623712
ATP5C1	11.14008156	11.39124593
ATP5D	9.042229838	9.319953553
ATP5E	10.7100104	11.09697861
ATP5F1	10.8904359	11.2148953
ATP5G1	9.072164598	9.81827942
ATP5G2	10.8608454	10.5376176
ATP5G3	10.30501383	10.66845598
ATP5I	8.999489263	8.84996053
ATP5J	10.07915427	10.11642691
ATP6V1A	10.13904249	9.686765803
ATP6V1B2	9.883963938	10.27658884
ATP6V0C	10.80554402	10.90237299
ATP6V1C1	10.09279458	10.07874338
ATP6V1E1	9.84467272	9.833754695
ATP6V0B	8.792908525	9.331247788
ATP6V0A1	8.939681098	9.2456704
ATP6AP1	10.16883207	10.46383173
ATP7A	8.63130087	8.278830865
ATP5O	10.22905463	10.32495775
ATP7B	5.55676937	5.60108214
ATR	9.050117198	9.250980258
ATRX	10.80698712	10.61898966
AUH	7.07733593	7.00357263
AUP1	10.26960057	10.6047726
AXL	13.25312127	13.48119241
B2M	12.97729117	12.85500121
BACH1	9.996279493	10.09580751
BAD	8.524690435	8.715507205
BAG1	9.130647603	8.868795148
BAK1	8.11832383	9.052061118
NKX3-2	4.526401425	3.730615228
BARD1	7.85743903	8.02074298
BAX	9.318508745	9.277540895
BBS1	8.723399773	7.587968808
BBS2	8.750581533	8.221780075
BBS4	7.257447028	5.885057868
BCAT2	8.406107248	8.926278405
BCKDHA	8.52837535	8.26211406
BCKDHB	7.685643748	7.669881883
CCND1	13.08046848	12.78863236
BCL2	6.339930158	7.10047715
BCL2L1	12.94115259	13.08222423
BCL2L2	8.615654005	8.451265753
BCL3	8.087472545	8.39365813
BCL6	9.964264998	9.483797583
BCL7A	7.019286345	7.534359165
BCL9	8.69486504	8.452809143
BCR	9.898732195	9.57657031
BCS1L	7.112313163	7.56150795
BCYRN1	4.50356082	5.988004805
BDH1	6.778875563	7.75986059
BDKRB2	3.545595348	3.406771115
BDNF	6.870895338	7.300933138
CFB	8.12855039	8.124282033
BFSP1	6.474649665	5.87236654
BGN	10.92991633	7.058971408
BICD1	7.829523445	7.12917166
BID	8.4580232	8.760671285
PRDM1	5.34893808	4.015141393
BLM	6.617772513	7.68813717
BLMH	9.114088455	9.682865393
BLVRA	8.695766908	8.711652753
BLVRB	8.12492325	8.654815268
BMI1	10.14607539	10.11127481
BMP1	10.91550207	9.70468606
BMP2	5.25564409	5.802736365
BMP4	8.169241485	8.684349225
BMP7	3.38484833	3.842256288
BMP8B	5.201685455	6.22580004
BMPR1A	9.153219878	8.62772061
BMPR1B	5.905783183	5.461176618
BMPR2	11.20840587	10.36478314
POLR3D	8.06174918	8.17419098
BNIP1	6.921821648	7.228633703
BNIP2	10.49019863	9.985855023
BNIP3	10.7242729	11.48268112
BNIP3L	11.78554939	11.17486007
BOK	8.745675143	8.67677689
DST	11.33753805	10.94564154
BPGM	7.963930433	7.673018735
BPHL	7.073879878	7.483210188
BRCA1	8.065238185	8.959735948
BRAF	7.378790235	7.61540901
BRCA2	6.97381671	7.990993685
ZFP36L1	11.96950677	11.14711919
ZFP36L2	13.05156812	11.89871958
BSG	12.75849229	12.87760827
BST2	7.86097747	9.471305408
BTD	7.893769975	7.524236675
KLF9	11.36157569	10.97031551
KLF5	10.84996807	9.989790473
BTF3	13.01993678	13.12142691
BTG1	11.06555153	9.764762318
BUB1	9.008181283	10.48485358
BUB1B	8.63614574	9.568215548
BYSL	7.795285065	9.3154474
TSPO	9.26733956	9.173035403
C1QBP	10.48427164	11.49853773
C1R	8.302532703	7.528077065
C1S	6.67955852	5.717140633
C3	13.58661989	12.96068301
CAPN5	7.249001513	6.42322966
C5	6.11214735	5.976625943
OSGIN2	9.358368538	9.04927181
VPS51	9.454453098	9.07735194
MRPL49	9.42542055	9.809853545
ZNHIT2	6.023766613	6.17982416
TMEM258	8.729632165	8.73136696
DAGLA	5.797791523	7.538209665
FMNL1	9.05975159	10.10393875
PTTG1IP	12.72671973	13.52984937
C21orf2	6.494851068	6.185474523
TMEM50B	9.12503507	9.004805755
CA12	7.70788958	8.633570063
DDR1	10.0892671	8.992390805
CACNB1	7.155438263	6.736824373
CACNB3	7.825964495	5.415587445
SLC25A20	6.79733962	6.137803175
CAD	10.04576612	10.63577604
CALD1	12.25576693	11.14918725
CALM1	11.53620568	11.93993152
CALM2	12.89581581	13.1171026
CALM3	11.74278791	12.11723933
CALR	13.8209787	14.66807066
CALU	13.36093794	13.28326342
CAMK4	3.980572528	4.390552828
CAMK2D	10.15313754	9.66892578
CAMK2G	8.558941608	8.231545598
CAMLG	9.753072608	9.162824173
CANX	14.07090682	14.69502936
CAPG	10.51413352	11.00586535
CAPN1	11.19161265	11.03318928
CAPN2	14.10077622	13.53042266
CAPNS1	12.61279374	12.45185281
CAPS	5.902495643	4.31680052
CAPZA1	12.0794814	12.2463026
CAPZA2	10.85833756	10.83597799
CAST	12.89725858	12.56905953
CAPZB	10.76817453	10.48783902
CARS	9.853266855	10.36396694
CASP1	7.350315645	6.48523477
CASP2	9.17614213	9.112729743
CASP3	9.209145448	8.734057383
CASP4	9.82325704	9.74901596
CASP6	7.365773508	7.32257844
CASP7	8.544923318	8.748810555
CASP8	8.318524968	8.545053623
CASP9	6.62305372	6.377170505
CAT	9.64047275	9.796256423
CAV1	14.04685918	13.5792137
CAV2	12.22768506	11.47834952
RUNX2	9.518265998	9.56734567
RUNX1	10.61887447	10.47267171
CBFB	9.770985918	9.638580453
CBL	9.661433973	9.646191023
CBLB	8.801628045	8.021013
SERPINH1	10.62676336	11.20714715
CBR1	9.229572153	9.578995273
CBR3	5.83948039	6.103610195
KYAT1	6.805001538	7.11908099
KRIT1	9.196787685	8.948217485
CCNA2	9.554523458	10.75051843
CCNB1	9.340469838	10.83443131
CCNC	9.81314039	9.87681398
CCND2	4.430278165	5.735818603
CCND3	11.21126978	11.79577964
CCNE1	6.60132655	7.125960818
CCNF	7.856027895	8.935056255
CCNG1	11.6800016	10.65164866
CCNG2	9.592056218	8.585073218
CCNH	8.541473425	8.983571925
CCNT1	9.657284745	9.391600668
CCNT2	9.02046101	8.840877428
CCT6A	11.78778535	12.25085946
CD9	9.729565285	10.62518014
CD14	6.26856317	6.285655365
SCARB1	9.707892428	10.14027759
SCARB2	11.62594653	10.7153963
ENTPD6	9.682601513	9.70470059
ENTPD5	7.959272138	8.519393478
CD44	13.28223442	13.103189
CD47	10.18848152	9.912780175
CD58	8.988487435	8.576065903
CD59	11.73373283	12.0274896
CD63	12.60921524	11.97815844
CD68	9.275851875	10.38242234
CD81	11.50031578	11.17583093
ADGRE5	10.78068082	11.54775097
CD151	11.74486127	11.31188482
CDA	6.13302289	9.034364423
CDK1	9.004361385	10.10370023
CDK11B	9.21820265	9.100476348
LRBA	10.30979612	9.97103656
CDC5L	10.57177414	10.91575445
SEPT7	11.66136608	11.5104257
CDC6	8.841870633	10.13243633
CDC20	9.094666018	10.44028135
CDC25A	6.796853818	8.283520275
CDC25B	10.46934487	11.07676754
CDC25C	6.844509995	7.787256913
CDC27	11.20464492	11.62003863
CDC34	8.500843443	9.119401385
CDC42	11.93761172	12.18049332
CDH1	3.948164235	5.317942148
CDH4	8.740724873	9.654051475
CDH11	9.980636343	9.5929772
CDH13	10.72368479	6.799362315
CDH18	3.14696257	3.213233493
CDK2	8.99755561	9.513022298
CDK4	9.959166468	10.50600754
CDK5	7.64465943	7.52555541
CDK6	10.15564665	10.35796367
CDK7	8.854460238	9.25381063
CDK8	8.029356628	8.186378538
CDK9	9.259425395	9.450109075
CDKN1A	11.26618209	10.27499907
CDKN1B	9.392636465	8.914447148
CDKN1C	5.241896458	6.034290143
CDKN2C	8.59119374	8.574086858
CDKN2D	6.625264488	7.36466062
CDKN3	8.163373245	9.598967258
CDR2	9.308523468	9.139047533
CDS1	6.36635866	5.306569165
CLGN	5.722096623	7.504248608
CEBPA	4.35619368	3.827932078
CEBPB	9.546306385	10.15597813
CEBPD	8.652838423	8.608418215
CEBPG	9.01637412	9.72547766
CENPA	6.31462673	7.495637243
CENPB	10.71634502	10.22000669
CENPC	7.975451223	7.755787298
CENPE	8.973942578	9.954287165
CENPF	10.8413296	11.45502127
CETN2	9.257188575	9.363878403
CETN3	7.82855393	8.580996475
CFL1	13.54863326	13.63951271
CFL2	10.31777086	10.15015838
CTSC	9.659952273	10.573589
RCBTB2	6.547916993	5.458882815
RCC1	9.561397693	10.22980717
CHD1	9.82914749	10.22495369
CHD2	10.89591409	10.27450535
CHD3	11.77540659	10.9616649
CHD4	11.95140195	11.71249751
CHEK1	9.016653998	9.559074473
FOXN3	10.80280639	10.67531528
CHKA	7.719938375	9.741487408
CHKB	7.049891965	5.959805813
CHM	9.817772145	9.540282273
CHML	10.73065905	10.31328323
CHN1	8.980215105	8.894676743
CHN2	5.473576208	4.842570358
LYST	8.83903263	8.36688801
CHRNA5	6.62261602	6.88389497
CHRNB1	6.043385925	6.994243313
CHUK	8.786438978	9.259954245
CKB	6.700206575	8.574920408
CIRBP	10.993712	10.04413766
CISH	2.636146105	2.906103065
TBCB	8.93235785	9.27568845
ERCC8	7.209744918	7.420546633
CKS1B	8.587331775	9.67819933
CKS2	8.469906573	9.91803859
AP2M1	12.3124154	11.90836693
AP1S1	9.294731045	9.817826335
AP2S1	9.609007153	10.39208183
AP3S1	9.950850318	10.10848557
CLCN2	5.547018968	6.036345798
CLCN3	10.63314381	10.3661021
CLCN4	8.55151125	9.729118005
CLCN5	6.456891043	7.533567263
CLCN6	8.56543976	8.515499365
CLCN7	9.474833805	9.757366845
CLU	10.17170465	8.293099768
CLIC1	12.09587551	12.95151722
CLIC2	4.134395688	3.09089431
CLK1	9.648099468	8.789218733
CLK2	9.395468635	8.59658554
CLK2P1	4.81811509	4.393913513
CLK3	8.514370125	8.462907548
TPP1	11.11560129	10.95751938
CLN3	8.550837548	8.465457655
CLN5	9.018662058	8.24662792
CLNS1A	10.16171003	10.35043751
CLPTM1	11.01556064	11.06621954
CLTA	10.81389913	11.2109008
CLTB	10.40114632	10.30715377
CLTC	13.2028168	13.29321233
CMKLR1	6.706126485	8.339070113
LTB4R	5.691782743	6.652757595
PLK3	7.548098838	6.909983608
CNN2	12.30287464	12.19568648
CNN3	11.69396281	12.15912913
CNP	10.40246114	10.3741848
COL1A1	8.38682958	6.344689543
COL4A1	12.32404662	10.59809182
COL4A2	13.031169	11.70639817
COL4A4	6.034536643	5.69294302
COL4A5	10.22485189	8.883005403
COL4A6	8.93843338	5.658644665
COL5A2	6.773363583	4.300831833
COL6A1	10.7912729	10.78780321
COL6A2	6.590228253	8.404998133
COL6A3	10.02038547	9.820603543
COL7A1	12.48213634	9.918208128
COL8A1	13.65641884	12.32487923
COL8A2	2.09485233	2.143507383
COL12A1	12.60231936	11.68934783
COL13A1	5.443704428	8.393436248
COL17A1	2.857325243	3.688815853
COMT	9.98842727	9.1748873
COPA	12.62994383	12.02514571
COPB1	11.97907681	11.94728057
KLF6	11.19358418	11.63885566
SLC31A1	9.3782259	10.1257547
SLC31A2	7.095821863	7.929248653
MAP3K8	3.997733093	4.448183428
COX4I1	10.28811893	10.24893238
COX5B	9.970224435	10.14451653
COX6A1	9.933978908	10.33746744
COX6B1	10.73867336	10.86321421
COX6C	9.455923505	9.372131578
COX7A2	9.275619883	9.61860863
COX7B	9.809209238	10.42399332
COX7C	10.1325005	10.25776602
COX8A	9.730518453	10.40474084
COX10	7.672722145	8.362652838
COX11	8.661921575	9.16949397
COX15	9.119131235	9.053702858
CPD	11.78533259	13.8053894
CPE	9.50260413	9.188741708
CLDN4	5.100440193	8.341082575
CLDN7	6.18412982	8.477428898
CPM	6.332576275	5.478932448
CPOX	8.679155003	9.398715083
CPS1	8.09061341	6.604141628
CPT1A	9.762224515	10.12773887
CPT1B	6.598175798	5.40864587
CPT2	7.977372855	8.10625266
CRABP2	3.989541438	5.132153363
CRAT	9.510985158	9.136794968
CREB1	9.608140283	9.760432805
ATF2	9.78406387	9.880668463
CREBBP	10.58416268	10.38789087
ATF6B	10.06780155	10.27223207
CREBL2	10.09278885	9.777300533
CREM	7.13056654	7.82584983
CRIP2	9.09472055	7.027168168
CRK	10.51075968	10.44703206
CRKL	10.28962309	10.16450409
CRY1	7.819611235	8.612518983
CRY2	7.253193565	6.745399618
CRYBB2P1	7.147725433	6.655302488
CRYZ	7.8771727	7.577754435
CS	11.3432463	11.41782661
MAPK14	10.18936713	10.74608308
CSE1L	11.94467034	12.84731948
CSF1	9.838201645	11.40012536
CSF1R	5.135234183	4.716864435
CSF3	6.627947868	8.429890435
CSK	8.962737558	9.10738576
CSNK1A1	11.95397958	11.65760154
CSNK1D	11.33010413	11.00621276
CSNK1E	10.74704	10.546701
CSNK1G2	9.933466995	9.897897265
CSNK1G3	10.42402083	9.94549866
CSNK2A1	11.38557765	11.36130372
CSNK2A2	8.826583083	8.46503467
CSNK2B	11.14737162	11.38655607
CSRP1	12.10706128	11.26783961
CSRP2	5.774629935	5.88150345
SLC25A10	7.168679378	8.19637534
CST3	12.5965057	11.89043402
CST6	6.591844383	5.945779853
CSTB	10.87178067	11.02691178
CSTF1	9.521231855	9.53623519
CSTF2	7.975927018	8.806200788
CSTF3	9.274628388	9.557784155
CTBS	8.75779715	9.174364913
CTBP1	10.34857727	10.39512721
CTBP2	10.26435769	10.2439247
CTF1	6.29656376	6.262174588
CTGF	12.64906721	11.52118988
CTH	4.719687865	6.958526893
CTNNA1	13.23850352	12.94798603
CTNS	7.439869258	8.13205928
CTNNB1	12.67238447	12.17360746
CTNND1	11.88974832	11.59297678
CTPS1	9.04737641	9.825803318
CTSB	13.04262413	12.22935873
CTSD	13.97024143	13.80684251
CTSH	7.898378888	8.374283018
CTSK	6.120266565	4.460618223
CTSL	10.04238081	10.46111547
CTSO	8.331387735	6.799342165
CTSS	4.412627133	6.333706823
CTSZ	12.26232661	11.97805647
CUX1	10.35528515	10.33733612
CYB5A	8.412062878	9.06412358
CYB561	9.594668133	9.726885688
CYC1	9.95532678	10.44753307
CYLD	9.282813468	8.939523153
CYP1B1	10.50454255	11.44198016
CYP51A1	10.59278007	10.42449098
DAB2	7.038037148	8.066801963
DAD1	10.43232955	10.77178348
CD55	9.536087913	11.16632087
DAG1	10.89748777	10.81222368
DGKA	9.954918395	7.690009028
DGKQ	7.556900868	7.018063188
DAP	11.42280341	11.35716486
DAPK1	8.264084348	5.38535757
DAPK3	8.978874715	8.96262812
DARS	10.54846817	11.03665363
DAXX	9.807375575	10.13861654
DBI	10.59664314	10.40418835
DBN1	11.31530702	10.38267331
DBT	8.886834193	9.150883475
ECI1	7.68018578	8.131749248
DCK	8.744456055	9.085254208
DCN	11.33956173	7.716086358
DCTD	10.37986077	10.22633876
DCTN1	11.62211627	11.44540798
DDB1	12.16139569	12.25899938
DDB2	8.565855638	7.464407433
AKR1C1	10.33852464	7.04673847
AKR1C2	11.28258727	7.702652515
GADD45A	9.90488161	9.47504189
DDIT3	6.652953728	7.762152608
DDOST	11.53335492	11.66838345
DDT	8.052607463	8.338517323
DDX1	10.93031171	10.90116244
DDX3X	12.69080683	12.90496498
DDX5	13.06525819	12.86611991
DDX6	10.8247857	10.95648185
DMXL1	9.63398312	8.681746395
DHX8	9.63659726	9.74299215
DHX9	12.2250038	12.20496164
DDX10	8.88145972	10.07101015
DDX11	7.568922873	7.91739312
DHX15	11.19353976	11.36459449
DECR1	9.341379023	8.96873191
CFD	3.963907648	4.44981345
DFFA	8.932627933	9.415171065
DFFB	5.990450865	5.908527788
TIMM8A	6.266445435	7.456508088
DFNA5	8.40921894	8.633512985
DGUOK	8.92243896	8.915497495
DHCR7	10.51963152	10.46583833
DHCR24	11.75127422	11.52129909
DHFR	9.562507275	9.966818858
DHFRP3	0.485367918	0.505300005
DHODH	5.73161082	6.45940157
DHPS	8.644281558	8.901797205
CYB5R3	11.40381292	11.00696298
NQO1	12.07548277	10.83271367
DIAPH1	11.87825315	11.80275604
DIAPH2	9.168313778	9.224598625
SEPT1	5.835607995	5.221467578
DKC1	10.14187178	11.1352154
DLAT	9.731052145	10.69703307
DLD	10.06412404	10.62037014
DLG1	10.6185671	10.73647651
DLG3	8.227290973	8.131210183
DLG4	8.275558375	7.16001046
DLST	10.66038364	10.63160916
DLSTP1	6.159562463	5.690339795
DLX4	3.389930783	3.521753918
DMD	7.462852208	5.271776268
DNM1	4.873165973	6.22742788
DMPK	9.168671198	8.17919638
DMWD	9.299685688	8.907514628
DNA2	6.767881103	7.735392633
DNASE1	4.672014273	4.69318296
DNASE1L1	9.109574763	8.963325698
DNASE2	8.752612143	8.625178978
DYNC1H1	12.19060496	12.6892453
DYNC1I2	11.07668634	10.5942821
DYNC1LI2	10.97315943	10.29742786
DNM2	10.65690805	11.09492404
DNMT1	10.49327547	11.46454309
TRDMT1	6.737929443	7.401633175
DNMT3A	6.815240105	6.06014548
DNMT3B	5.370373643	5.751390115
DOCK1	11.20615311	10.38652524
DOCK2	7.619417308	6.847997293
DOCK3	3.962614923	3.618685928
DOK1	6.383053303	7.377464763
DXO	7.508806375	7.54180667
DPAGT1	8.899616535	9.599874205
DPH1	9.052608123	9.074704433
DPH2	7.711232798	8.625289548
DPYD	10.2907578	10.32090624
DPYSL2	11.14466758	10.64466575
DPYSL3	8.569508805	5.392945375
DR1	10.41958824	10.45886844
DRG2	8.162811538	8.507161643
ARID3A	7.484298988	6.441283293
DRP2	2.176506775	2.44861139
ATN1	11.78360614	11.24450613
DSC2	4.62860908	5.530264675
RCAN1	8.256963173	9.064084858
DSG2	11.36768692	11.52007196
TSC22D3	10.97546199	10.39291438
DSP	11.28370667	10.88336355
SLC26A2	12.23143593	11.29254088
DTNB	8.396948965	6.629242038
HBEGF	8.12923593	8.662132783
DTYMK	8.090016793	8.824573698
DUSP1	11.56755873	11.01248321
DUSP3	9.967003543	9.9978119
DUSP4	10.94780669	11.31288505
DUSP5	7.944257255	9.866943445
DUSP6	9.96360821	11.24780666
DUSP7	10.04788675	9.50926153
DUT	9.356894578	9.541927085
DVL1	10.2146319	10.24531579
DVL2	9.363224435	9.415112648
DVL3	10.76120914	10.25252272
DYRK1A	9.900960168	9.77814571
TOR1A	9.538095043	9.628024685
E2F1	8.158971298	9.176246435
E2F2	5.838443865	6.846403418
E2F3	8.782809715	9.50621569
E2F4	9.56822624	9.55058946
E2F5	6.01628785	6.820616283
E2F6	7.176318858	7.47834767
E4F1	7.51059881	7.407259898
ECE1	12.18344929	11.88258939
TYMP	7.30672342	7.13059159
ECH1	9.436017943	9.37444672
ECHS1	9.813166618	10.23581939
ECM1	8.696822203	8.588149383
ECT2	10.10902239	10.95365588
EDA	4.03358496	3.784727653
S1PR1	5.000209093	5.607546775
LPAR1	7.674550775	9.06750011
S1PR3	10.00397115	7.84257369
EDN1	7.023257005	7.309592478
EDN2	5.011860838	5.685004823
PHC1	8.287481268	6.999764913
PHC2	11.67682698	11.80203044
EEF1A1	16.09756823	16.13860424
EEF1A2	7.588852538	8.022324378
EEF1B2	11.87216683	11.95761567
EEF1D	12.22034062	11.82144102
EEF1G	14.08693532	14.22020713
EEF2	15.56458937	15.18372451
EIF2D	10.44206819	9.812425928
EFNA1	6.051569565	6.145915373
EFNA2	2.687346978	2.42141394
EFNA3	6.494510948	5.33256656
EFNA4	7.119994333	6.249527358
EFNA5	10.32749353	9.924044943
EFNB1	8.019273433	7.473099643
EFNB2	11.62815718	11.6356458
EFNB3	8.30555245	5.633360943
CELSR3	8.601974373	7.183804023
CELSR2	9.051799223	8.13029375
MEGF6	9.786556915	6.548449998
MEGF8	10.05938916	8.868791638
MEGF9	9.865574265	10.56884129
EGFR	11.29137885	11.80029662
EGR1	11.900632	9.51719392
EGR3	5.92071502	4.664325683
EHHADH	7.128662628	7.016951033
EIF1AX	10.64408608	11.19143733
EIF2S1	10.98188963	11.51594086
EIF2B1	9.40977414	9.644526888
EIF2S3	12.19463089	12.31375973
EPHA2	11.37548607	11.82581377
EIF4A1	11.54462513	12.41561126
EIF4A2	11.57517052	11.48405891
EIF4B	12.91393065	12.34482515
EIF4E	9.745920253	10.04598047
EIF4EBP1	8.657492063	9.717559893
EIF4EBP2	11.33363823	11.25538848
EIF4G1	13.3402187	13.76694345
EIF4G2	14.20119466	14.17414684
EIF5	12.1657296	12.25250164
EIF5A	12.13243474	12.64394813
SERPINB1	9.757940475	10.45420081
ELAVL1	10.24715772	10.59648445
ELF1	10.22329876	9.493920778
ELF2	8.924543303	8.51031288
ELF4	9.57308766	9.957254128
ELK1	9.78607122	10.06776764
ELK3	11.7742165	11.03110114
ELK4	10.98745666	10.34306053
EML1	8.609554465	6.561134215
EMD	9.67666152	10.06674109
MARK2	9.371492958	9.654490378
