ID	Gene symbol ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000069956	MAPK6	19.093763527640075	Q16659	mitogen-activated protein kinase 6	MAPK6	5597	10.67097723	24.130247	1137	28.146984	2146	24.234156	1475	29.288574	1750	1520.912893	0.255014608	-1.155116017	0.155461259	0.180832293	-1.338196797	10.46297569	25.528685	1166	27.119402	1165	27.420212	1648	28.043581	1947	10.48095161	10.7359147	10.48537254	10.76720252	10.468852	10.49150714	10.52795693	10.52223839	NM_002748	1.337674868	0.15549484	-1.337674868
ENSG00000071242	RPS6KA2	NaN		ribosomal protein S6 kinase A2	RPS6KA2	6196	12.46377557	101.602409	6623	46.460678	4911	100.390694	8340	27.999889	2320	3708.399833	0.011530202	-3.19545156	0.599335901	0.005166555	-2.796461574	10.78775254	38.84464	2450	6.313468	390	39.673847	3297	11.879852	1144	12.42706714	11.82256847	12.40316804	11.37509759	11.47256627	10.20058092	11.4906736	10.55194374	NM_001006932,NM_001318936,NM_001318937,NM_001318938,NM_021135	3.315292755	0.505542995	-3.315292755
ENSG00000071564	TCF3	NaN		transcription factor 3	TCF3	6929	10.74716727	28.96635	1405	30.620583	2277	28.128426	1622	27.529728	1548	1504.236058	0.078810701	-1.332692592	0.207654387	0.046004271	-1.995354118	10.33281353	20.462672	848	33.046416	1345	20.890215	1192	30.206003	2041	10.64874633	10.77559343	10.5523821	10.64619397	10.19490836	10.60056882	10.24625873	10.54881364	NM_001136139,NM_001351778,NM_001351779,NM_003200	4.522070291	0.091629213	-4.522070291
ENSG00000072062	PRKACA	206.6057858634363	P17612	protein kinase cAMP-activated catalytic subunit alpha	PRKACA	5566	11.0110227	48.639301	1450	58.485153	2821	50.684818	1951	54.200668	2049	1799.25257	0.007458077	-1.34504662	0.144981974	0.003180624	-2.949719647	10.58383286	44.662231	1290	50.160046	1363	43.023415	1636	48.12418	2113	10.78332729	11.06922727	10.81910769	10.99734451	10.6516871	10.7209326	10.62004651	10.6883914	NM_001304349,NM_002730,NM_207518	3.09700383	0.137936491	-3.09700383
ENSG00000072786	STK10	83.2470069440279	O94804	serine/threonine kinase 10	STK10	6793	10.126884	9.941433	668	15.440222	1677	10.164005	881	14.961552	1274	1767.633502	6.15E-5	2.161192777	0.257569857	1.58E-5	4.316606687	11.23907808	36.556881	2377	29.553843	1808	36.052807	3086	27.567291	2726	10.11147061	10.57031181	10.12733584	10.5407893	11.14189424	10.9186483	11.12832492	10.85964398	NM_005990	4.410296634	0.252181241	4.410296634
ENSG00000076984	MAP2K7	1.814476068441582	O14733	mitogen-activated protein kinase kinase 7	MAP2K7	5609	9.017388483	12.002398	470	8.648077	549	13.081037	665	7.51437	373	562.5177413	0.40374483	1.17020191	0.225367997	0.314336019	1.006165387	9.245141757	15.575613	592	14.282188	509	16.036714	800	9.915446	573	9.13517556	8.9816762	9.21396519	8.86305288	9.29999049	9.19312932	9.32233906	8.89483733	NM_001297555,NM_001297556,NM_145185	1.452619282	0.156788001	1.452619282
ENSG00000078061	ARAF	18.346819428833804	P10398	A-Raf proto-oncogene,serine/threonine kinase	ARAF	369	9.405293149	25.070033	619	20.066537	776	23.934718	735	18.389919	554	959.744632	8.01E-9	1.830463561	0.142977172	1.06E-9	6.100337862	10.27777323	52.184784	1238	38.136166	958	43.554406	1488	36.323678	1441	9.67406882	9.58216567	9.60633084	9.50498289	10.240188	10.03549422	10.15722626	9.97524408	NM_001256196,NM_001256197,NM_001654	12.5026299	0.069783725	12.5026299
ENSG00000082701	GSK3B	33.167216033505284	P49841	glycogen synthase kinase 3 beta	GSK3B	2932	10.86355976	19.790171	1565	15.843063	2025	20.308029	2072	17.089692	1712	1434.242713	1.07609E-4	-1.853596375	0.213021519	2.92E-5	-4.179517322	9.973402558	13.963064	1069	8.895763	644	13.956685	1406	8.899316	1036	10.7007353	10.62804171	10.72389264	10.6917195	10.33503625	9.95142719	10.33347286	9.9496478	NM_001146156,NM_002093	21.70723581	0.041007395	-21.70723581
ENSG00000083799	CYLD	NaN		CYLD lysine 63 deubiquitinase	CYLD	1540	9.40146186	6.294715	606	4.99733	777	5.813563	728	4.608929	567	563.9124047	4.29E-5	-1.499108355	0.132678402	1.07E-5	-4.402409549	8.818747844	4.729691	443	3.976631	352	4.374489	542	3.722604	529	9.35474623	9.27517988	9.29188316	9.2094446	9.0513774	8.8863578	8.98990073	8.83045668	NM_001042355,NM_001042412,NM_015247	9.758160589	0.059715559	-9.758160589
ENSG00000085511	MAP3K4	NaN		mitogen-activated protein kinase kinase kinase 4	MAP3K4	4216	9.390163296	7.906643	498	8.627855	875	8.275643	645	8.277151	661	568.3108994	0.007409863	-1.440426995	0.178351506	0.003157063	-2.952016232	8.863022949	5.268783	321	7.579727	437	5.894004	474	7.969292	740	9.18761036	9.38340584	9.19082241	9.34690869	8.79551142	9.06722282	8.88518021	9.10875854	NM_001291958,NM_001301072,NM_005922,NM_006724,NR_120425	5.134074804	0.102674847	-5.134074804
ENSG00000087586	AURKA	48.20868280640476	O14965	aurora kinase A	AURKA	6790	8.440808981	9.7124	281	9.018834	415	11.121462	391	8.134315	298	1311.431926	1.72E-12	6.547791762	0.366844719	1.47E-13	7.390070783	11.15189074	39.282801	1040	111.62813	2747	43.575754	1501	114.714016	4429	9.06755978	9.10139478	9.11889841	9.039134	10.07625999	11.02582441	10.15813787	11.02671988	NM_001323303,NM_001323304,NM_001323305,NM_003600,NM_198433,NM_198434,NM_198435,NM_198436,NM_198437	76.34167454	0.035512474	76.34167454
ENSG00000091436	MAP3K20	9.310650597944544	Q9NYL2,Q9NYL2-2				NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN	NaN	NaN
ENSG00000095015	MAP3K1	NaN		mitogen-activated protein kinase kinase kinase 1	MAP3K1	4214	7.795526563	2.320359	195	1.851877	251	2.248168	244	1.783137	190	372.0011644	2.47E-12	2.349789047	0.167942675	2.15E-13	7.338999726	9.027439811	5.884309	478	4.912644	375	6.752607	722	4.872352	602	8.12289827	8.05549424	8.09850452	8.02675085	8.84428136	8.65323259	8.96911616	8.65034542	NM_005921	28.63666724	0.043018737	28.63666724
ENSG00000096717	SIRT1	3.0902875554831306	Q96EB6	sirtuin 1	SIRT1	23411	9.173438387	12.40957	548	8.264079	610	12.951837	664	7.872992	456	585.3070943	0.847274709	1.028206613	0.152817719	0.792857573	0.262601721	9.212398501	12.453201	539	10.632591	433	12.921574	753	11.301005	761	9.29614651	9.10003356	9.2423019	9.05779351	9.24806155	9.08758221	9.29826084	9.15962424	NM_001142498,NM_001314049,NM_012238	0.343647345	0.11337237	0.343647345
ENSG00000097007	ABL1	NaN		ABL proto-oncogene 1,non-receptor tyrosine kinase	ABL1	25	10.89117442	27.502097	1749	16.130784	1712	26.902269	2165	22.520935	1807	1565.172387	7.3E-5	-1.541928333	0.146110327	1.9E-5	-4.275780665	10.26578734	17.368583	1104	16.094066	962	17.381446	1415	18.002204	1676	10.85909265	10.54758773	10.8229175	10.80052128	10.43212696	10.34419772	10.40961649	10.40620234	NM_005157,NM_007313	4.403315393	0.142026411	-4.403315393
ENSG00000100030	MAPK1	477.72726263684467	P28482	mitogen-activated protein kinase 1	MAPK1	5594	11.20275893	28.793001	1724	29.089085	2897	30.525512	2435	31.275429	2344	2162.016892	0.045203114	-1.198183659	0.115833503	0.024326629	-2.251931055	10.94177859	27.989872	1576	32.318184	1678	33.295033	2111	35.054017	2923	11.04388966	11.19875118	11.12124377	11.22272887	10.93552864	11.01103932	10.94906267	11.07718612	NM_002745,NM_138957	3.219960497	0.081050789	-3.219960497
ENSG00000100324	TAB1	18.032206194217252	Q15750	TGF-beta activated kinase 1 (MAP3K7) binding protein 1	TAB1	10454	8.878865576	12.791207	460	8.413313	490	11.752153	546	7.860637	359	371.3086478	5.29E-6	-1.732319734	0.162682579	1.1E-6	-4.872711239	8.086675181	7.532586	263	6.61024	217	6.575705	302	6.5048	345	8.85970536	8.62370483	8.78856072	8.56270816	8.35603095	8.2286231	8.24842248	8.21770727	NM_006116,NM_153497	5.711287383	0.138706099	-5.711287383
ENSG00000100393	EP300	2.2722006353915436	Q09472	E1A binding protein p300	EP300	2033	9.925652376	9.239347	903	6.995699	1106	8.318507	1050	6.345061	787	1064.263546	0.343551119	1.188442026	0.2204883	0.25862962	1.129636035	10.1748771	13.335409	1262	8.516023	759	12.541686	1563	8.154462	1174	10.06814332	9.95246848	9.97963155	9.8688416	10.32748851	9.91167961	10.27208568	9.87768157	NM_001429	3.034555663	0.082128902	3.034555663
ENSG00000100462	PRMT5	363.7682855553583	O14744	protein arginine methyltransferase 5	PRMT5	10419	9.945649834	22.79538	649	29.54227	1349	23.261063	848	31.010556	1099	2011.318326	4.82E-12	3.078677274	0.223900679	4.3E-13	7.245670948	11.56819168	80.465749	2201	116.204259	2974	80.231435	2891	113.177698	4695	10.13985826	10.43718693	10.14854429	10.46466073	11.10898263	11.4133153	11.10619933	11.39409242	NM_001039619,NM_001282953,NM_001282954,NM_001282955,NM_001282956,NM_006109	9.142284922	0.177476622	9.142284922
ENSG00000100614	PPM1A	81.54126664409199	P35813	Mg2+/Mn2+ dependent 1A,protein phosphatase	PPM1A	5494	10.09794282	10.343102	824	8.795884	1127	12.665273	1310	11.26917	1086	1011.483153	0.370561341	-1.181952076	0.224870994	0.283500706	-1.072488435	9.856478626	11.442445	806	9.701857	606	15.221047	1466	10.560482	1016	9.95990855	9.93772884	10.14065688	10.11211496	9.90769628	9.69638278	10.18673142	9.72791626	NM_021003,NM_177951,NM_177952	2.331295576	0.103575109	-2.331295576
ENSG00000100644	HIF1A	NaN		hypoxia inducible factor 1 alpha subunit	HIF1A	3091	13.22862371	128.198444	5726	199.432974	14400	123.20829	7103	197.705971	11337	11265.99554	0.182113552	1.347376661	0.277954615	0.121726733	1.547566371	13.65880152	284.180557	12280	222.36185	9015	307.291565	17666	224.642746	14963	13.03836478	13.52448462	13.00735538	13.52468219	13.64878661	13.40243802	13.72784409	13.42780909	NM_001243084,NM_001530,NM_181054	1.483644915	0.289946608	1.483644915
ENSG00000100784	RPS6KA5	8.96463368535694	O75582	ribosomal protein S6 kinase A5	RPS6KA5	9252	4.798782694	0.361786	28	0.204545	25	0.412411	41	0.163013	16	76.05853082	2.58E-12	4.485599438	0.295278222	2.25E-13	7.333086679	6.957484455	1.272995	92	1.269831	88	1.866508	165	1.679828	188	5.53974127	5.26930965	5.61666148	5.17583249	6.39561298	6.38122616	6.66840521	6.63123771	NM_001322227,NM_001322228,NM_001322229,NM_001322230,NM_001322231,NM_001322232,NM_001322233,NM_001322234,NM_001322235,NM_001322236,NM_001322237,NM_001322238,NM_004755,NM_182398	10.22173905	0.211187328	10.22173905
ENSG00000100906	NFKBIA	NaN		NFKB inhibitor alpha	NFKBIA	4792	9.773041029	50.45565	882	28.170355	797	51.55426	1164	26.997648	599	1186.50106	0.00514843	1.712328323	0.25222045	0.002094376	3.076512436	10.54888129	88.776962	1503	67.520363	1075	90.509766	2017	61.818844	1592	10.09398643	9.73743005	10.11294115	9.70220348	10.52698189	10.2534076	10.54377633	10.18045918	NM_020529	3.493203544	0.22209993	3.493203544
ENSG00000101213	PTK6	NaN		protein tyrosine kinase 6	PTK6	5753	4.008710948	0.552347	16	0.437673	20	0.669884	25	0.109841	4	61.64623754	7.56E-8	6.631359342	0.478367224	1.16E-8	5.705459103	6.744101547	4.417875	121	2.068959	54	4.826026	166	2.496173	104	4.95496725	4.88060089	5.05483262	4.40734229	6.44254366	5.76683787	6.48396055	5.91741108	NM_001256358,NM_005975	9.528362409	0.287078774	9.528362409
ENSG00000101266	CSNK2A1	NaN		casein kinase 2 alpha 1	CSNK2A1	1457	11.39476717	73.930999	2233	61.155323	3037	78.138937	3050	61.59422	2371	2654.563762	0.656923338	-1.028718974	0.07270902	0.574242983	-0.561813662	11.35345526	73.303263	2156	77.608139	2165	77.371298	3031	80.945984	3638	11.38865827	11.36149185	11.4376387	11.35452178	11.32495622	11.35214219	11.38016412	11.38795236	NM_001895,NM_177559,NM_177560	1.095733912	0.037702502	-1.095733912
ENSG00000101966	XIAP	9.310844517234326	P98170	X-linked inhibitor of apoptosis	XIAP	331	9.993603214	8.341482	786	7.776183	1183	9.015933	1098	8.251318	986	1005.991474	0.885512598	-1.026655115	0.188095935	0.840098611	-0.201767345	9.954942517	7.290832	666	9.026443	775	13.474209	1504	9.65046	1271	9.92130855	9.98028419	9.98858031	10.02928562	9.75297909	9.89960228	10.20839042	9.9142735	NM_001167,NM_001204401,NR_037916	0.868294751	0.044524854	-0.868294751
ENSG00000102081	FMR1	60.151984676820774	Q06787-5,Q06787-6,Q06787-8	fragile X mental retardation 1	FMR1	2332	9.592324423	14.766084	723	9.933271	785	13.925499	881	10.452781	650	866.8648312	0.016452159	1.246935102	0.119436799	0.007682113	2.665731026	9.909594049	17.047098	811	18.284118	813	18.386753	1118	17.966978	1276	9.7627142	9.5487207	9.71412127	9.59019302	9.82721574	9.8534095	9.86640037	9.83065795	NM_001185075,NM_001185076,NM_001185081,NM_001185082,NM_002024,NR_033699,NR_033700	3.142033506	0.100975889	3.142033506
ENSG00000102882	MAPK3	115.8390833947533	P27361	mitogen-activated protein kinase 3	MAPK3	5595	9.259086381	25.769675	520	21.194823	689	26.831462	693	21.072424	529	532.2653464	0.001329758	-1.356708327	0.125724173	4.64204E-4	-3.500604407	8.819571557	23.659453	444	18.431934	332	21.343607	537	19.304463	567	9.19183927	9.14190096	9.22009955	9.12044795	9.02287524	8.80751917	8.95134146	8.85374311	NM_001040056,NM_001109891,NM_002746	9.64959383	0.045547495	-9.64959383
ENSG00000103275	UBE2I	1292.2845609219717	P63279	ubiquitin conjugating enzyme E2 I	UBE2I	7329	10.91445655	45.296538	1448	46.741927	2417	46.539314	1924	46.949238	1904	2152.916495	0.035582113	1.23086126	0.127230303	0.018506731	2.3553206	11.21415969	58.219043	1839	73.312027	2137	60.918785	2483	74.485765	3533	10.89490648	11.03916505	10.9187955	11.0398641	11.06162004	11.21545846	11.08250782	11.23783185	NM_003345,NM_194259,NM_194260,NM_194261	3.881547033	0.077212291	3.881547033
ENSG00000104365	IKBKB	12.373726233721133	O14920	inhibitor of nuclear factor kappa B kinase subunit beta	IKBKB	3551	9.262074848	12.760417	590	7.973032	604	13.345663	803	7.394731	429	491.1657624	0.002364334	-1.667887974	0.221814652	8.77224E-4	-3.327203071	8.524894404	8.6766	379	6.749625	280	7.848673	450	5.915718	406	9.23675073	8.96562293	9.28267431	8.87894548	8.82618037	8.60941396	8.74154135	8.53120658	NM_001190720,NM_001242778,NM_001556,NR_033818,NR_033819,NR_040009	3.706517666	0.198887611	-3.706517666
ENSG00000105401	CDC37	1229.420259934702	Q16543	cell division cycle 37	CDC37	11140	10.85965435	71.481667	1332	85.495712	2578	67.632339	1628	80.24498	1896	2650.821717	1.16076E-4	1.853005609	0.213891661	3.18E-5	4.160364393	11.74965554	137.40683	2481	204.095764	3466	131.912643	3135	195.545761	5368	10.93103214	11.19182247	10.88847992	11.13534179	11.41560169	11.74081143	11.37910807	11.70449286	NM_007065	5.958638924	0.149363169	5.958638924
ENSG00000105810	CDK6	121.0110212688563	Q00534	cyclin dependent kinase 6	CDK6	1021	10.15807098	4.665823	610	7.651741	1619	4.929847	825	9.180635	1521	1270.872195	0.457224478	1.224553444	0.323320907	0.366038633	0.903918472	10.4503567	7.289388	923	11.592319	1381	8.032717	1339	11.849902	2281	9.84542369	10.36969223	9.88159711	10.52587356	10.1461377	10.51827644	10.22694147	10.54049906	NM_001145306,NM_001259	0.850606458	0.343620387	0.850606458
ENSG00000107643	MAPK8	24.878764667950193	P45983-3	mitogen-activated protein kinase 8	MAPK8	5599	8.70993269	4.872414	330	3.475234	380	6.646133	580	4.355168	370	461.269615	0.372727283	1.203796346	0.250564544	0.285541379	1.067953741	8.976687019	6.211877	396	6.967811	425	4.773946	414	9.296207	919	8.71634634	8.55622329	8.97760584	8.72826151	8.83517727	8.91899786	8.64383427	9.177832	NM_001278547,NM_001278548,NM_001323302,NM_001323320,NM_001323321,NM_001323322,NM_001323323,NM_001323324,NM_001323325,NM_001323326,NM_001323327,NM_001323328,NM_001323329,NM_001323330,NM_001323331,NM_139046,NM_139049,NR_136583,NR_136584,NR_136585	1.53294663	0.174014101	1.53294663
ENSG00000107758	PPP3CB	69.4531025629592	P16298	protein phosphatase 3 catalytic subunit beta	PPP3CB	5532	10.16908037	22.287644	814	24.195103	1443	25.129771	1235	23.908695	1115	1135.449632	0.800735037	-1.028342638	0.119343425	0.735470756	-0.337857261	10.12873354	26.621548	972	26.295226	852	27.858849	1280	30.737052	1619	10.0278208	10.22529635	10.16398656	10.20934125	10.1434241	10.05588755	10.14292306	10.19553142	NM_001142353,NM_001142354,NM_001289968,NM_001289969,NM_021132	0.449786246	0.089702232	-0.449786246
ENSG00000107984	DKK1	98.94921192755857	O94907	dickkopf WNT signaling pathway inhibitor 1	DKK1	22943	13.02391954	300.399963	6046	334.628143	10899	301.846832	7845	331.580963	8463	6058.773893	9.72E-9	-2.19836772	0.187300859	1.3E-9	-6.067418658	11.88744691	139.885529	2728	198.105972	3634	139.452652	3580	203.777588	6042	12.68902219	12.9160377	12.69395964	12.90349912	11.9934999	12.2428136	11.99032888	12.26843577	NM_012242	9.009428096	0.126142594	-9.009428096
ENSG00000108094	CUL2	74.37042375962744	Q13617	cullin 2	CUL2	8453	9.714209694	12.413336	607	13.606767	1036	13.612241	830	14.098989	873	1055.411347	0.002795313	1.512640938	0.182317543	0.001057038	3.274888201	10.31157072	19.288164	883	30.378313	1307	21.190536	1275	25.648615	1847	9.72807092	9.88708035	9.77446669	9.94409698	10.00468357	10.37414165	10.08318839	10.25628083	NM_001198777,NM_001198778,NM_001198779,NM_001324375,NM_001324376,NM_003591	6.003426459	0.099503347	6.003426459
ENSG00000108443	RPS6KB1	NaN		ribosomal protein S6 kinase B1	RPS6KB1	6198	9.669700725	12.748909	762	8.44572	824	12.437815	960	8.56044	664	842.2776265	0.553293239	1.069170317	0.131504647	0.463100395	0.733751187	9.765028893	12.268536	713	13.449217	733	13.005767	991	13.929694	1215	9.79299284	9.57331586	9.77243397	9.59265082	9.70243193	9.74964236	9.7478607	9.77384874	NM_001272042,NM_001272043,NM_001272044,NM_001272060,NM_003161	0.822586048	0.115888384	0.822586048
ENSG00000108984	MAP2K6	15.325587029775981	P52564	mitogen-activated protein kinase kinase 6	MAP2K6	5608	5.215845526	1.455692	31	0.14528	36	2.230372	61	0.107373	21	22.57829922	5.58E-6	-4.67861202	0.457927349	1.17E-6	-4.861209102	2.998610476	0.046049	7	0.041982	6	0.066092	13	0.030809	7	4.69484459	4.56320612	5.03422882	4.35759111	3.82922972	3.78459663	3.96723664	3.64993524	NM_001330450,NM_002758	7.805727201	0.284052337	-7.805727201
ENSG00000109332	UBE2D3	1453.818563825086	P61077	ubiquitin conjugating enzyme E2 D3	UBE2D3	7323	12.40438716	99.497677	4367	86.302564	6074	109.927165	6009	89.676128	5061	5316.568413	0.549647036	-1.039936122	0.0762978	0.459025343	-0.740452714	12.34761361	95.887316	4194	109.73468	4413	102.162759	5841	118.772765	7476	12.37012859	12.36215532	12.42540997	12.41107362	12.3020909	12.36902199	12.34907593	12.41201513	NM_001300795,NM_003340,NM_181886,NM_181887,NM_181888,NM_181889,NM_181890,NM_181891,NM_181892,NM_181893	1.842318114	0.030816366	-1.842318114
ENSG00000111206	FOXM1	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732
ENSG00000112062	MAPK14	388.1837785177519	Q16539,Q16539-2	mitogen-activated protein kinase 14	MAPK14	1432	10.00172871	16.916278	808	11.537889	894	22.027355	1368	15.973361	979	1491.542769	9.74E-6	1.909542137	0.196865152	2.13E-6	4.740436516	10.93506026	34.378935	1596	41.777157	1835	40.657284	2435	31.274307	2204	10.16160359	9.97673021	10.38359303	10.23554168	10.70327976	10.85405259	10.83525762	10.59174235	NM_001315,NM_139012,NM_139013,NM_139014	5.517584973	0.169155809	5.517584973
