ID	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network
SMARCB1	 	transcription regulator	 	-1.410	4.62E-6	CCNA2,CDKN1A,MDM2,MYC,TP53	 
SNAI1	 	transcription regulator	Inhibited	-2.183	4.38E-5	CD55,CDH1,COL1A1,KRT8,SPARC	9 (2)
SNAI2	 	transcription regulator	 	0.319	2.3E-6	BRCA2,CDH1,ITGA3,ITGB1,ITGB4	 
SP1	-1.556	transcription regulator	 	0.152	1.26E-6	CAV1,CDH1,CDKN1A,COL1A1,EZR,FN1,IGFBP3,LTBP3,PRKCA,SOCS1	 
SP3	 	transcription regulator	 	 	2.53E-4	CDKN1A,COL1A1,IGFBP3,ITGB8,TGFBR1	 
SPDEF	 	transcription regulator	 	 	2.05E-9	CDKN1A,EGFR,ITGA5,ITGA6,PLAUR,PTPRF,VASP	 
SRSF2	 	transcription regulator	 	 	7.13E-4	CDH1,MAPT	 
SSRP1	 	transcription regulator	 	 	2.26E-4	COP1,HNRNPK,KRT8,MSN	 
STAT3	1.167	transcription regulator	 	0.365	5.69E-10	BCL3,CASP3,CDH1,CDKN1A,CHEK1,FN1,ITGAV,ITGB1,JAK2,KAT2B	53 (8)
SUPT16H	 	transcription regulator	 	 	2.26E-4	COP1,HNRNPK,KRT8,MSN	 
TFAP2C	 	transcription regulator	 	0.492	2.36E-6	CDH1,CDKN1A,EGFR,ERBB2,KRT8,TGFA	28 (5)
TWIST1	 	transcription regulator	 	-0.816	3.03E-7	CASP3,CDKN1A,COL1A1,DCN,FAS,RHOA,TP53	 
TWIST2	 	transcription regulator	 	-1.877	3.45E-9	CD44,CDH1,CDKN1A,CTNNB1,FN1,TGFB1,VIM	26 (5)
VDR	 	transcription regulator	 	 	7.34E-4	CDKN1A,COL1A1,PLCG1	 
WWC1	 	transcription regulator	 	 	2.9E-4	CDH1,CTGF,VIM	 
WWTR1	 	transcription regulator	 	 	1.96E-4	CD44,CTGF,FN1	 
XBP1	 	transcription regulator	 	 	8.67E-4	CRK,ICAM1,MYC,TFDP1	 
YAP1	 	transcription regulator	 	1.109	1.81E-7	AURKB,CASP3,CASP8,CDC42,CTGF,EGFR,PLK1	 
YY1	 	transcription regulator	 	 	1.96E-4	BRCA1,ERBB2,NR3C1	 
ZEB1	 	transcription regulator	 	-1.963	1.15E-4	CDH1,COL1A1,FN1,VIM	 
