Perturbation Number	Number of flipped signs	Number of Perturbed Nodes	Perturbed Nodes
4181	1	5	EGFR (0), HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), RELA (inhibited), 
4183	1	5	EGFR (inhibited), HDAC3 (inhibited), MAPK6 (inhibited), PRPF4 (0), RELA (inhibited), 
4252	1	5	EGFR (0), HDAC3 (inhibited), MAPK6 (inhibited), RELA (0), ZBTB17 (activated), 
4355	1	6	EGFR (inhibited), HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), PRPF4 (0), RELA (inhibited), 
4636	1	4	HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), RELA (0), 
4928	1	5	EGFR (inhibited), HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), ZBTB17 (activated), 
4993	1	4	HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), ZBTB17 (activated), 
5115	1	4	EGFR (inhibited), HDAC3 (inhibited), MAPK6 (inhibited), ZBTB17 (activated), 
5199	1	6	EGFR (0), HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), RELA (inhibited), ZBTB17 (activated), 
5331	1	5	EGFR (inhibited), HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), RELA (0), 
5477	1	4	EGFR (inhibited), HDAC3 (inhibited), MAPK6 (inhibited), RELA (0), 
5893	1	4	EGFR (inhibited), HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), 
6076	1	3	EGFR (inhibited), HDAC3 (inhibited), MAPK6 (inhibited), 
6203	1	4	EGFR (inhibited), HDAC3 (inhibited), MAPK6 (inhibited), RELA (inhibited), 
6237	1	6	EGFR (inhibited), HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), RELA (0), ZBTB17 (activated), 
6391	1	5	EGFR (inhibited), HDAC3 (inhibited), MAPK1 (inhibited), MAPK6 (inhibited), RELA (inhibited), 
6437	1	5	EGFR (inhibited), HDAC3 (inhibited), MAPK6 (inhibited), RELA (0), ZBTB17 (activated), 
