ID	Gene symbol ID	Gene symbol ID_1
ENSG00000136999	NOV	NOV
ENSG00000137462	TLR2	TLR2
ENSG00000137575	SDCBP	SDCBP
ENSG00000137801	THBS1	THBS1
ENSG00000138448	ITGAV	ITGAV
ENSG00000138685	FGF2	FGF2
ENSG00000138794	CASP6	CASP6
ENSG00000139687	RB1	RB1
ENSG00000140285	FGF7	FGF7
ENSG00000140299	BNIP2	BNIP2
ENSG00000140443	IGF1R	IGF1R
ENSG00000141646	SMAD4	SMAD4
ENSG00000141736	ERBB2	ERBB2
ENSG00000141753	IGFBP4	IGFBP4
ENSG00000142208	AKT1	AKT1
ENSG00000142798	HSPG2	HSPG2
ENSG00000142864	SERBP1	SERBP1
ENSG00000142949	PTPRF	PTPRF
ENSG00000143379	SETDB1	SETDB1
ENSG00000145675	PIK3R1	PIK3R1
ENSG00000145715	RASA1	RASA1
ENSG00000146648	EGFR	EGFR
ENSG00000146674	IGFBP3	IGFBP3
ENSG00000147044	CASK	CASK
ENSG00000148848	ADAM12	ADAM12
ENSG00000149269	PAK1	PAK1
ENSG00000149948	HMGA2	HMGA2
ENSG00000150093	ITGB1	ITGB1
ENSG00000150760	DOCK1	DOCK1
ENSG00000150995	ITPR1	ITPR1
ENSG00000151150	ANK3	ANK3
ENSG00000151491	EPS8	EPS8
ENSG00000152104	PTPN14	PTPN14
ENSG00000154133	ROBO4	ROBO4
ENSG00000154134	ROBO3	ROBO3
ENSG00000154229	PRKCA	PRKCA
ENSG00000154380	ENAH	ENAH
ENSG00000158195	WASF2	WASF2
ENSG00000160691	SHC1	SHC1
ENSG00000161638	ITGA5	ITGA5
ENSG00000161955	TNFSF13	TNFSF13
ENSG00000162434	JAK1	JAK1
ENSG00000162512	SDC3	SDC3
ENSG00000163235	TGFA	TGFA
ENSG00000163453	IGFBP7	IGFBP7
ENSG00000163520	FBLN2	FBLN2
ENSG00000163629	PTPN13	PTPN13
ENSG00000163932	PRKCD	PRKCD
ENSG00000164305	CASP3	CASP3
ENSG00000165025	SYK	SYK
ENSG00000165702	GFI1B	GFI1B
ENSG00000165806	CASP7	CASP7
ENSG00000166033	HTRA1	HTRA1
ENSG00000166147	FBN1	FBN1
ENSG00000166402	TUB	TUB
ENSG00000166598	HSP90B1	HSP90B1
ENSG00000166886	NAB2	NAB2
ENSG00000166949	SMAD3	SMAD3
ENSG00000167193	CRK	CRK
ENSG00000167244	IGF2	IGF2
ENSG00000168036	CTNNB1	CTNNB1
ENSG00000168056	LTBP3	LTBP3
ENSG00000168610	STAT3	STAT3
ENSG00000168685	IL7R	IL7R
ENSG00000169031	COL4A3	COL4A3
ENSG00000169047	IRS1	IRS1
ENSG00000169398	PTK2	PTK2
ENSG00000169439	SDC2	SDC2
ENSG00000170027	YWHAG	YWHAG
ENSG00000170312	CDK1	CDK1
ENSG00000170365	SMAD1	SMAD1
ENSG00000170458	CD14	CD14
ENSG00000171105	INSR	INSR
ENSG00000171132	PRKCE	PRKCE
ENSG00000173039	RELA	RELA
ENSG00000173230	GOLGB1	GOLGB1
ENSG00000173762	CD7	CD7
ENSG00000173801	JUP	JUP
ENSG00000174130	TLR6	TLR6
ENSG00000174775	HRAS	HRAS
ENSG00000175220	ARHGAP1	ARHGAP1
ENSG00000175387	SMAD2	SMAD2
ENSG00000175866	BAIAP2	BAIAP2
ENSG00000177885	GRB2	GRB2
ENSG00000179295	PTPN11	PTPN11
ENSG00000179409	GEMIN4	GEMIN4
ENSG00000180370	PAK2	PAK2
ENSG00000182492	BGN	BGN
ENSG00000182752	PAPPA	PAPPA
ENSG00000185104	FAF1	FAF1
ENSG00000185359	HGS	HGS
ENSG00000185591	SP1	SP1
ENSG00000186575	NF2	NF2
ENSG00000186868	MAPT	MAPT
ENSG00000187498	COL4A1	COL4A1
ENSG00000188153	COL4A5	COL4A5
ENSG00000189143	CLDN4	CLDN4
ENSG00000196230	TUBB	TUBB
ENSG00000196352	CD55	CD55
ENSG00000196405	EVL	EVL
ENSG00000196504	PRPF40A	PRPF40A
ENSG00000196712	NF1	NF1
ENSG00000196924	FLNA	FLNA
ENSG00000197043	ANXA6	ANXA6
ENSG00000197122	SRC	SRC
ENSG00000197321	SVIL	SVIL
ENSG00000197467	COL13A1	COL13A1
ENSG00000197471	SPN	SPN
ENSG00000197565	COL4A6	COL4A6
ENSG00000197694	SPTAN1	SPTAN1
ENSG00000198668	CALM1	CALM1
ENSG00000254087	LYN	LYN
ENSG00000259207	ITGB3	ITGB3
ENSG00000261371	PECAM1	PECAM1
